expt,subject_id,condition,median_rt
Experiment3,member007_new,Same-scene valid,1.266968
Experiment3,member008_new,Same-scene valid,0.8215942
Experiment3,member010_new,Same-scene valid,0.9329834
Experiment3,matisse320,Same-scene valid,1.141724
Experiment3,matisse324,Same-scene valid,0.9539795
Experiment3,matisse327,Same-scene valid,1.1974795
Experiment3,matisse334,Same-scene valid,0.765625
Experiment3,matisse341,Same-scene valid,0.8493652
Experiment3,matisse342,Same-scene valid,1.072083
Experiment3,matisse343,Same-scene valid,1.3367005
Experiment3,matisse344,Same-scene valid,1.099915
Experiment3,matisse349,Same-scene valid,0.9328613
Experiment3,matisse350,Same-scene valid,0.9606934
Experiment3,matisse357,Same-scene valid,1.11377
Experiment3,matisse346,Same-scene valid,1.155579
Experiment3,matisse352,Same-scene valid,0.9329529
Experiment3,matisse348,Same-scene valid,1.127808
Experiment3,matisse360,Same-scene valid,1.246094
Experiment3,matisse359,Same-scene valid,1.071899
Experiment3,matisse353,Same-scene valid,0.9607239
Experiment3,matisse347,Same-scene valid,0.9605713
Experiment3,matisse363,Same-scene valid,1.225342
Experiment3,matisse367,Same-scene valid,1.072266
Experiment3,matisse370,Same-scene valid,0.79406735
Experiment3,matisse371,Same-scene valid,1.211365
Experiment3,member003,Same-scene valid,0.72406005
Experiment3,member007_new,Neutral valid,1.36438
Experiment3,member008_new,Neutral valid,0.8912659
Experiment3,member010_new,Neutral valid,0.94003295
Experiment3,matisse320,Neutral valid,1.183594
Experiment3,matisse324,Neutral valid,0.9399414
Experiment3,matisse327,Neutral valid,1.211426
Experiment3,matisse334,Neutral valid,0.8493652
Experiment3,matisse341,Neutral valid,0.8493042
Experiment3,matisse342,Neutral valid,1.03364473972942
Experiment3,matisse343,Neutral valid,1.40625
Experiment3,matisse344,Neutral valid,1.058136
Experiment3,matisse349,Neutral valid,1.0042220333339
Experiment3,matisse350,Neutral valid,1.07011287179343
Experiment3,matisse357,Neutral valid,1.141907
Experiment3,matisse346,Neutral valid,1.218384
Experiment3,matisse352,Neutral valid,0.99554425
Experiment3,matisse348,Neutral valid,1.148743
Experiment3,matisse360,Neutral valid,1.225159
Experiment3,matisse359,Neutral valid,1.141846
Experiment3,matisse353,Neutral valid,0.921105414287557
Experiment3,matisse347,Neutral valid,1.0790715
Experiment3,matisse363,Neutral valid,1.2668765
Experiment3,matisse367,Neutral valid,1.092957
Experiment3,matisse370,Neutral valid,0.9606934
Experiment3,matisse371,Neutral valid,1.280945
Experiment3,member003,Neutral valid,0.8770752
Experiment3,member007_new,Same-scene invalid,1.36875062376237
Experiment3,member008_new,Same-scene invalid,0.8909912
Experiment3,member010_new,Same-scene invalid,0.9607239
Experiment3,matisse320,Same-scene invalid,1.40658123333568
Experiment3,matisse324,Same-scene invalid,1.016602
Experiment3,matisse327,Same-scene invalid,1.232239
Experiment3,matisse334,Same-scene invalid,0.812906452629719
Experiment3,matisse341,Same-scene invalid,0.970037583331169
Experiment3,matisse342,Same-scene invalid,1.05092698901148
Experiment3,matisse343,Same-scene invalid,1.26709
Experiment3,matisse344,Same-scene invalid,1.11668041620623
Experiment3,matisse349,Same-scene invalid,0.9606934
Experiment3,matisse350,Same-scene invalid,1.00175893589686
Experiment3,matisse357,Same-scene invalid,1.197388
Experiment3,matisse346,Same-scene invalid,1.225281
Experiment3,matisse352,Same-scene invalid,0.9185791
Experiment3,matisse348,Same-scene invalid,1.22999205376238
Experiment3,matisse360,Same-scene invalid,1.36362528570894
Experiment3,matisse359,Same-scene invalid,1.072266
Experiment3,matisse353,Same-scene invalid,1.044373
Experiment3,matisse347,Same-scene invalid,1.19303213627458
Experiment3,matisse363,Same-scene invalid,1.2738955
Experiment3,matisse367,Same-scene invalid,1.15575586538335
Experiment3,matisse370,Same-scene invalid,0.931548629166622
Experiment3,matisse371,Same-scene invalid,1.267029
Experiment3,member003,Same-scene invalid,0.902904895943679
Experiment3,member007_new,Neutral invalid,1.322632
Experiment3,member008_new,Neutral invalid,1.009613
Experiment3,member010_new,Neutral invalid,0.9191895
Experiment3,matisse320,Neutral invalid,1.51354253086534
Experiment3,matisse324,Neutral invalid,1.057983
Experiment3,matisse327,Neutral invalid,1.22522
Experiment3,matisse334,Neutral invalid,0.894046176314412
Experiment3,matisse341,Neutral invalid,0.965318804011228
Experiment3,matisse342,Neutral invalid,1.002441
Experiment3,matisse343,Neutral invalid,1.42280830434497
Experiment3,matisse344,Neutral invalid,1.21815580645118
Experiment3,matisse349,Neutral invalid,0.964259666667352
Experiment3,matisse350,Neutral invalid,0.994120871797753
Experiment3,matisse357,Neutral invalid,1.19761004999921
Experiment3,matisse346,Neutral invalid,1.17069456521588
Experiment3,matisse352,Neutral invalid,1.03412868686882
Experiment3,matisse348,Neutral invalid,1.13143760752773
Experiment3,matisse360,Neutral invalid,1.183411
Experiment3,matisse359,Neutral invalid,1.169678
Experiment3,matisse353,Neutral invalid,1.0790405
Experiment3,matisse347,Neutral invalid,1.17948706667091
Experiment3,matisse363,Neutral invalid,1.183472
Experiment3,matisse367,Neutral invalid,1.0790405
Experiment3,matisse370,Neutral invalid,0.9748535
Experiment3,matisse371,Neutral invalid,1.239258
Experiment3,member003,Neutral invalid,0.969268808823906
