expt,subject_id,condition,median_rt
PilotA,Q16,Same-scene,1.0307615
PilotA,Q26,Same-scene,1.406433
PilotA,Q20,Same-scene,1.083496
PilotA,Q25,Same-scene,1.18335
PilotA,Q04,Same-scene,1.016418
PilotA,Q17,Same-scene,1.1416935
PilotA,Q18,Same-scene,0.9885864
PilotA,member006_si,Same-scene,1.0975645
PilotA,member001_si,Same-scene,1.016602
PilotA,Q14_2,Same-scene,0.8907471
PilotA,Q31_2,Same-scene,0.8353271
PilotA,Q28_2,Same-scene,0.81311035
PilotA,Q37_2,Same-scene,0.9885254
PilotA,Q19_2,Same-scene,0.8911133
PilotA,Q35_2,Same-scene,0.8909912
PilotA,member003_si,Same-scene,0.7869873
PilotA,caro115,Same-scene,1.239014
PilotA,member015_si,Same-scene,1.30542
PilotA,Q16,Neutral,1.1277465
PilotA,Q26,Neutral,1.266846
PilotA,Q20,Neutral,1.2221375
PilotA,Q25,Neutral,1.225098
PilotA,Q04,Neutral,0.9053955
PilotA,Q17,Neutral,1.197266
PilotA,Q18,Neutral,1.0163265
PilotA,member006_si,Neutral,1.236267
PilotA,member001_si,Neutral,1.023743
PilotA,Q14_2,Neutral,0.9602661
PilotA,Q31_2,Neutral,0.9327393
PilotA,Q28_2,Neutral,0.944397
PilotA,Q37_2,Neutral,1.114319
PilotA,Q19_2,Neutral,0.9881592
PilotA,Q35_2,Neutral,0.9608154
PilotA,member003_si,Neutral,1.030762
PilotA,caro115,Neutral,1.2390445
PilotA,member015_si,Neutral,1.291809
PilotA,Q16,ThirdCondition,1.322815
PilotA,Q26,ThirdCondition,1.350403
PilotA,Q20,ThirdCondition,1.347534
PilotA,Q25,ThirdCondition,1.343506
PilotA,Q04,ThirdCondition,1.002686
PilotA,Q17,ThirdCondition,1.183716
PilotA,Q18,ThirdCondition,1.044006
PilotA,member006_si,ThirdCondition,1.610779
PilotA,member001_si,ThirdCondition,1.169434
PilotA,Q14_2,ThirdCondition,1.0164185
PilotA,Q31_2,ThirdCondition,1.058258
PilotA,Q28_2,ThirdCondition,1.05542
PilotA,Q37_2,ThirdCondition,1.433899
PilotA,Q19_2,ThirdCondition,1.002441
PilotA,Q35_2,ThirdCondition,1.058289
PilotA,member003_si,ThirdCondition,1.197266
PilotA,caro115,ThirdCondition,1.287964
PilotA,member015_si,ThirdCondition,1.472046
