expt,subject_id,condition,median_rt
PilotB,wyeth503,Same-scene,1.083008
PilotB,wyeth504,Same-scene,1.169739
PilotB,wyeth512,Same-scene,1.113831
PilotB,wyeth514,Same-scene,1.270325
PilotB,wyeth518,Same-scene,1.194092
PilotB,wyeth519,Same-scene,1.027588
PilotB,wyeth520,Same-scene,1.1872865
PilotB,wyeth527,Same-scene,1.0442505
PilotB,wyeth537,Same-scene,1.503784
PilotB,wyeth538,Same-scene,0.9886475
PilotB,wyeth536,Same-scene,1.392334
PilotB,wyeth546,Same-scene,1.482849
PilotB,wyeth553,Same-scene,1.1455385
PilotB,wyeth558,Same-scene,1.037262
PilotB,wyeth555,Same-scene,1.249695
PilotB,wyeth557,Same-scene,1.263611
PilotB,wyeth551,Same-scene,1.1177675
PilotB,wyeth556,Same-scene,1.1177675
PilotB,wyeth549,Same-scene,1.093018
PilotB,wyeth564,Same-scene,1.3123475
PilotB,wyeth498,Same-scene,1.148682
PilotB,wyeth565,Same-scene,1.155701
PilotB,wyeth503,Neutral,1.0901795
PilotB,wyeth504,Neutral,1.294861
PilotB,wyeth512,Neutral,1.197388
PilotB,wyeth514,Neutral,1.360901
PilotB,wyeth518,Neutral,1.235901
PilotB,wyeth519,Neutral,1.0830385
PilotB,wyeth520,Neutral,1.235901
PilotB,wyeth527,Neutral,1.252808
PilotB,wyeth537,Neutral,1.573486
PilotB,wyeth538,Neutral,0.9746704
PilotB,wyeth536,Neutral,1.239136
PilotB,wyeth546,Neutral,1.489868
PilotB,wyeth553,Neutral,1.2012025
PilotB,wyeth558,Neutral,1.05835
PilotB,wyeth555,Neutral,1.471863
PilotB,wyeth557,Neutral,1.319092
PilotB,wyeth551,Neutral,1.15271
PilotB,wyeth556,Neutral,1.15271
PilotB,wyeth549,Neutral,1.294861
PilotB,wyeth564,Neutral,1.333252
PilotB,wyeth498,Neutral,1.115784
PilotB,wyeth565,Neutral,1.253174
PilotB,wyeth503,ThirdCondition,1.163818
PilotB,wyeth504,ThirdCondition,1.239197
PilotB,wyeth512,ThirdCondition,1.113892
PilotB,wyeth514,ThirdCondition,1.28186
PilotB,wyeth518,ThirdCondition,1.3017885
PilotB,wyeth519,ThirdCondition,1.049347
PilotB,wyeth520,ThirdCondition,1.214966
PilotB,wyeth527,ThirdCondition,1.076477
PilotB,wyeth537,ThirdCondition,1.601074
PilotB,wyeth538,ThirdCondition,1.072021
PilotB,wyeth536,ThirdCondition,1.56958
PilotB,wyeth546,ThirdCondition,1.700012
PilotB,wyeth553,ThirdCondition,1.227417
PilotB,wyeth558,ThirdCondition,1.072144
PilotB,wyeth555,ThirdCondition,1.352661
PilotB,wyeth557,ThirdCondition,1.550934
PilotB,wyeth551,ThirdCondition,1.273071
PilotB,wyeth556,ThirdCondition,1.273071
PilotB,wyeth549,ThirdCondition,1.197449
PilotB,wyeth564,ThirdCondition,1.24231
PilotB,wyeth498,ThirdCondition,1.115387
PilotB,wyeth565,ThirdCondition,1.119934
