expt,subject_id,condition,median_rt
PilotC,akers608,Same-scene,1.08606
PilotC,akers610,Same-scene,0.9469604
PilotC,akers611,Same-scene,1.294922
PilotC,akers612,Same-scene,1.1175845
PilotC,akers613,Same-scene,0.96783445
PilotC,akers614,Same-scene,1.141602
PilotC,akers616,Same-scene,1.0791015
PilotC,akers617,Same-scene,1.057373
PilotC,member001,Same-scene,1.058289
PilotC,akers618,Same-scene,0.8911133
PilotC,akers619,Same-scene,1.288147
PilotC,akers622,Same-scene,1.224976
PilotC,akers623,Same-scene,1.350769
PilotC,akers624,Same-scene,1.043884
PilotC,akers625,Same-scene,1.113464
PilotC,akers297,Same-scene,0.9613037
PilotC,akers626,Same-scene,0.988678
PilotC,akers627,Same-scene,1.030426
PilotC,akers628,Same-scene,1.183594
PilotC,akers629,Same-scene,1.0300905
PilotC,akers643,Same-scene,1.051544
PilotC,akers608,Neutral,1.141602
PilotC,akers610,Neutral,1.197327
PilotC,akers611,Neutral,1.296204
PilotC,akers612,Neutral,1.127258
PilotC,akers613,Neutral,1.058258
PilotC,akers614,Neutral,1.2320255
PilotC,akers616,Neutral,1.169373
PilotC,akers617,Neutral,1.0301205
PilotC,member001,Neutral,1.09967
PilotC,akers618,Neutral,1.016449
PilotC,akers619,Neutral,1.4062805
PilotC,akers622,Neutral,1.183594
PilotC,akers623,Neutral,1.301758
PilotC,akers624,Neutral,1.085876
PilotC,akers625,Neutral,1.1349795
PilotC,akers297,Neutral,1.002991
PilotC,akers626,Neutral,1.1485905
PilotC,akers627,Neutral,1.12793
PilotC,akers628,Neutral,1.379333
PilotC,akers629,Neutral,1.044495
PilotC,akers643,Neutral,1.141724
PilotC,akers608,ThirdCondition,1.099854
PilotC,akers610,ThirdCondition,0.9613953
PilotC,akers611,ThirdCondition,1.233276
PilotC,akers612,ThirdCondition,1.163391
PilotC,akers613,ThirdCondition,0.9184265
PilotC,akers614,ThirdCondition,1.1817015
PilotC,akers616,ThirdCondition,1.0362545
PilotC,akers617,ThirdCondition,0.9476013
PilotC,member001,ThirdCondition,1.155762
PilotC,akers618,ThirdCondition,1.028076
PilotC,akers619,ThirdCondition,1.276428
PilotC,akers622,ThirdCondition,1.205688
PilotC,akers623,ThirdCondition,1.316101
PilotC,akers624,ThirdCondition,1.030701
PilotC,akers625,ThirdCondition,1.087067
PilotC,akers297,ThirdCondition,0.9890747
PilotC,akers626,ThirdCondition,0.9393616
PilotC,akers627,ThirdCondition,1.028076
PilotC,akers628,ThirdCondition,1.197388
PilotC,akers629,ThirdCondition,0.91415405
PilotC,akers643,ThirdCondition,1.130371
