trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,arrowDirection,sameScenePrime,correctResponse,response,roll,pitch,yaw,rt,timestamp,condition,familiarityTarget,familiarityPrime,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
1,YellowHallway,0,YellowHallway,-90,-90,none,1,open,open,5.02753,-3.426239,-175.8094,1.169586,102.4208,1,missing,missing,member010_pilot,remote,NaN,NaN,0.895522388059702,0.9
2,neutral,0,Dublin2,-90,-90,none,0,closed,closed,2.783427,-3.070251,-171.6176,1.579475,105.1,2,missing,missing,member010_pilot,remote,NaN,NaN,0.935483870967742,0.9
3,SeattleNeighborhood9,0,SeattleNeighborhood9,90,90,none,1,open,open,-1.778809,-3.596283,160.7099,1.294868,113.3953,1,missing,missing,member010_pilot,remote,NaN,NaN,0.895522388059702,0.9
4,neutral,0,TriangleArchway,90,90,none,0,closed,closed,-2.338745,-4.59848,170.2516,1.207611,115.6194,2,missing,missing,member010_pilot,remote,NaN,NaN,0.935483870967742,0.9
5,ChiltonArch,0,ChiltonArch,-90,-90,none,1,open,open,4.135565,-1.515991,-171.4048,0.9880219,117.6687,1,missing,missing,member010_pilot,remote,NaN,NaN,0.895522388059702,0.9
6,ColumbiaStSeattle,0,DiningHall,170,90,none,0,open,open,-3.354767,-2.778961,253.3539,1.032341,119.7249,3,missing,missing,member010_pilot,remote,NaN,NaN,0.875,0.9
8,YellowHallway,0,OceanLot,90,90,none,0,open,open,-3.331879,-5.949921,165.4642,1.095428,131.0983,3,missing,missing,member010_pilot,remote,NaN,NaN,0.875,0.9
9,Dublin2,0,Dublin2,90,90,none,1,open,open,-1.722778,-7.001923,163.0564,0.9884796,133.2005,1,missing,missing,member010_pilot,remote,NaN,NaN,0.895522388059702,0.9
10,neutral,0,TrescaBoston,90,90,none,0,closed,closed,-2.316681,-2.440948,171.6992,0.9134674,135.1023,2,missing,missing,member010_pilot,remote,NaN,NaN,0.935483870967742,0.9
11,NewHavenMuseum2,252,ChurchLot,-90,-90,none,0,closed,closed,3.851724,-2.357605,-169.2806,0.9624634,137.1005,3,missing,missing,member010_pilot,remote,NaN,NaN,0.875,0.9
