trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,arrowDirection,condition,correctResponse,response,roll,pitch,yaw,rt,timestamp,familiarityTarget,familiarityPrime,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc,arrowValidity,primeCondition
3,Hop2,-1,Hop2,89,90,left,3,open,open,-11.26392,1.617453,156.4467,1.36361782352945,758.3948,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
4,NeutralFairbanks,0,Fairbanks,90,90,left,4,closed,closed,-8.877289,-0.3921509,157.5734,1.41966482352934,762.6259,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
5,NeutralBakerBerryHistoric2,0,BakerBerryHistoric2,90,-90,right,4,closed,closed,6.89099,5.620238,19.90668,1.24865424752476,766.9391,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
6,PineEntrance,0,PineEntrance,-90,-90,left,1,open,open,7.48248,3.303928,-160.9646,1.18335,770.8094,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
7,AllenSt,0,AllenSt,90,90,right,1,closed,closed,-11.92468,4.140247,155.2552,1.22522,775.1951,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
8,RaunerFirst,0,RaunerFirst,90,90,right,1,open,open,-11.90707,1.21155,154.9261,1.837952,779.8035,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
9,MooreLot,180,MooreLot,90,-90,left,1,closed,closed,5.689636,5.841635,22.39108,0.9467773,783.4927,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
10,Neutral53Commons,0,53Commons,90,90,right,2,open,open,-12.42944,1.510511,160.3088,1.601074,787.8727,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
11,NeutralBakerBerryCharter,0,BakerBerryCharter,0,90,right,2,closed,closed,-12.60187,3.023383,71.00166,1.127747,791.8411,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
12,McLaughlinCluster,172,McLaughlinCluster,82,-90,left,1,closed,closed,4.286453,2.697351,19.52518,0.9326782,795.5585,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
13,RaunerBackHall,0,RaunerBackHall,-90,-90,left,1,closed,closed,7.767882,3.012307,-155.2847,1.197388,799.3873,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
15,BakerBerry2nd,94,BakerBerry2nd,4,-90,left,1,closed,closed,10.01658,1.215316,-64.82446,1.26709,808.6735,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
16,PineEntrance,0,PineEntrance,-90,-90,left,1,open,open,8.85551,1.398354,-160.0003,1.420166,812.8222,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
18,53Commons,0,53Commons,90,90,right,1,open,open,-15.33228,0.5542439,159.3079,1.308533,820.9667,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
19,Hop4,-3,Hop4,-93,-90,right,3,open,open,8.125257,2.663418,-161.6483,1.37336524752474,825.1992,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
20,MooreLot,180,MooreLot,270,90,right,1,open,open,-10.763,4.610382,341.4764,1.740234,829.7795,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
22,AllenSt,0,AllenSt,-90,-90,right,3,open,open,8.002278,2.424171,-159.7045,1.391663,838.0634,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
23,Hop4,-3,Hop4,87,90,right,1,closed,closed,-13.24207,1.271821,156.2323,1.267151,842.087,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
25,RollinsChapel3,177,RollinsChapel3,267,90,right,1,closed,closed,-13.45941,4.536753,336.6431,1.378479,850.5101,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
26,Umplebys,-50,Umplebys,40,90,right,1,closed,closed,-13.44794,3.42924,110.4014,1.211426,854.5335,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
27,NeutralBakerBerry2nd,0,BakerBerry2nd,184,90,right,2,open,open,-13.19672,2.911541,257.1157,1.406067,858.7515,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
28,McLaughlinCluster,172,McLaughlinCluster,82,-90,right,3,closed,closed,8.98773,-2.394867,17.96204,1.058228,862.4967,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
29,NeutralZimmerman,0,Zimmerman,-190,-90,left,2,closed,closed,9.434346,0.9396696,-257.4814,1.169373,866.6367,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
31,BakerBerryCharter,-90,BakerBerryCharter,-180,-90,left,1,open,open,8.036995,2.248256,-248.6819,1.40625,874.3776,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
32,Umplebys,-50,Umplebys,40,90,right,1,closed,closed,-13.11685,1.227417,111.1723,1.559448,878.4429,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
33,NeutralBakerBerryCharter,0,BakerBerryCharter,-180,-90,left,2,open,open,8.912041,4.133025,-246.1327,1.531494,882.4802,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
34,AllenSt,0,AllenSt,-90,-90,left,1,open,open,7.903934,3.898181,-157.6813,1.44812,886.4622,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
35,RaunerFirst,0,RaunerFirst,90,90,left,3,open,open,-14.07306,3.189465,156.0876,1.322632,890.2906,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
36,BakerBerry2nd,94,BakerBerry2nd,4,-90,left,1,closed,closed,9.494591,2.005148,-60.24167,1.336548,894.2028,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
37,McLaughlinCluster,172,McLaughlinCluster,82,-90,left,1,closed,closed,10.93294,-0.4685364,23.53729,1.239319,898.0176,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
45,53Commons,0,53Commons,90,90,left,3,open,open,-11.1087,-0.1834412,143.7896,1.573364,929.3332,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
48,NeutralMaynard,0,Maynard,90,90,right,2,closed,closed,-13.19678,0.3660037,151.489,1.531555,943.3036,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
49,BakerBerryHistoric2,180,BakerBerryHistoric2,270,90,left,3,open,open,-11.83331,1.085241,330.6941,1.503723,947.912,missing,missing,member007_new,remote,NaN,NaN,0.933333333333333,0.905027932960894,invalid,Same-scene
50,Hop2,-1,Hop2,-91,-90,left,1,closed,closed,9.987375,-3.648956,-145.6109,0.75177,951.337,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
51,NeutralPineBackHall,0,PineBackHall,270,90,right,2,closed,closed,-13.23251,2.830093,333.6417,1.406311,955.2957,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
52,BakerBerryCharter,-90,BakerBerryCharter,-180,-90,left,1,open,open,9.881428,0.860605,-234.5002,1.392334,959.3608,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
53,53Commons,0,53Commons,-90,-90,left,1,closed,closed,10.97776,-1.783142,-150.2999,1.197388,978.3787,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
54,BakerBerry2nd,94,BakerBerry2nd,184,90,right,1,open,open,-14.31296,1.535443,248.8213,0.7936401,981.7061,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
55,Hop4,-3,Hop4,-93,-90,left,1,open,open,8.989942,1.323727,-154.0183,0.8492432,985.1031,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
56,MooreLot,180,MooreLot,270,90,right,1,open,open,-1.294128,-0.1555176,323.6614,1.545532,989.2521,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
57,Hop4,-3,Hop4,-93,-90,left,1,open,open,5.096106,-1.246735,-148.807,1.127686,993.1642,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
60,NeutralAllenSt,0,AllenSt,-90,-90,right,4,open,open,8.277587,-0.648407,-152.6446,1.4152032475247,1006.102,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
61,NeutralBakerBerry2nd,0,BakerBerry2nd,4,-90,left,2,closed,closed,6.772978,1.539901,-60.63657,1.211304,1010.07,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
62,NeutralPineBackHall,0,PineBackHall,270,90,left,4,closed,closed,-7.793732,-0.6456299,339.556,1.37722082352948,1014.678,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
63,RollinsChapel3,177,RollinsChapel3,87,-90,left,1,open,open,7.098593,-0.4710693,28.56653,1.085999,1018.381,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
64,NeutralRaunerFirst,0,RaunerFirst,90,90,left,4,open,open,-7.596954,0.2251157,154.828,1.253235,1022.512,missing,missing,member007_new,remote,NaN,NaN,0.9,0.905027932960894,invalid,Neutral
65,53Commons,0,53Commons,-90,-90,left,1,closed,closed,7.336223,-2.668579,-149.7063,1.099976,1026.16,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
66,Umplebys,-50,Umplebys,40,90,right,1,closed,closed,-8.409698,-1.448486,108.7063,1.183228,1030.127,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
68,NeutralMooreLot,0,MooreLot,270,90,right,2,open,open,-8.931793,0.2497992,332.3625,1.796143,1038.127,missing,missing,member007_new,remote,NaN,NaN,0.9375,0.905027932960894,valid,Neutral
69,BakerBerry2nd,94,BakerBerry2nd,184,90,right,1,open,open,-11.71716,1.555879,245.9575,1.225098,1042.234,missing,missing,member007_new,remote,NaN,NaN,0.885057471264368,0.905027932960894,valid,Same-scene
