trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,sameScenePrime,correctResponse,response,roll,pitch,yaw,rt,timestamp,condition,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
3,RaunerFirst,0,RaunerFirst,-90,90,2,closed,closed,-3.994507,7.543729,69.50072,1.197388,646.473,3,yes,yes,degas711,inperson,1,1,0.892857142857143,0.895238095238095
4,RaunerBackHall,0,RaunerBackHall,-90,-90,1,closed,closed,3.220298,9.011661,-95.72559,1.364502,649.7864,1,yes,yes,degas711,inperson,0.666666666666667,0.666666666666667,0.911111111111111,0.895238095238095
5,Fairbanks,0,Fairbanks,-90,90,2,open,open,-3.70636,6.752927,72.65071,1.281067,653.114,3,yes,yes,degas711,inperson,1,1,0.892857142857143,0.895238095238095
6,Umplebys,0,Umplebys,90,-90,2,closed,closed,2.743889,7.399765,-65.33127,0.9328003,655.7869,3,unsure,unsure,degas711,inperson,1,1,0.892857142857143,0.895238095238095
7,BakerBerryHistoric2,0,BakerBerryHistoric2,-90,90,2,closed,closed,-4.233856,8.368893,68.61271,0.9328613,658.1955,3,unsure,unsure,degas711,inperson,1,1,0.892857142857143,0.895238095238095
8,BakerBerryCharter,0,BakerBerryCharter,-90,-90,1,open,open,1.59949,8.677506,-73.39413,0.8075562,660.7851,1,yes,yes,degas711,inperson,0.666666666666667,0.666666666666667,0.911111111111111,0.895238095238095
9,PineEntrance,0,PineEntrance,90,90,1,closed,closed,-3.907837,9.580816,75.94945,1.002502,663.2911,1,yes,yes,degas711,inperson,0.666666666666667,0.666666666666667,0.911111111111111,0.895238095238095
10,neutral,0,BakerBerryCharter,90,90,0,closed,closed,-5.228485,9.119605,78.32538,0.9329224,665.6022,2,na,yes,degas711,inperson,NaN,0.666666666666667,0.875,0.895238095238095
12,PineBackHall,0,PineBackHall,90,90,1,closed,closed,-4.567444,9.424919,71.48765,1.127747,671.1989,1,no,no,degas711,inperson,1,1,0.911111111111111,0.895238095238095
13,BakerBerryCharter,0,BakerBerryCharter,-90,90,2,open,open,-3.729645,9.946856,68.98401,1.058105,673.524,3,yes,yes,degas711,inperson,0.666666666666667,0.666666666666667,0.892857142857143,0.895238095238095
15,MooreLot,0,MooreLot,90,90,1,open,open,-2.460968,9.179185,66.8141,0.8076782,678.5639,1,yes,yes,degas711,inperson,0.333333333333333,0.333333333333333,0.911111111111111,0.895238095238095
16,Hop4,0,Hop4,-90,90,2,open,open,-3.371704,9.192049,68.49262,1.197449,681.2369,3,yes,yes,degas711,inperson,1,1,0.892857142857143,0.895238095238095
17,RollinsChapel3,0,RollinsChapel3,-90,90,2,open,open,-4.838562,6.353126,69.52125,1.113953,683.757,3,yes,yes,degas711,inperson,1,1,0.892857142857143,0.895238095238095
18,neutral,0,Hop4,90,90,0,closed,closed,-4.788757,8.073039,72.50085,0.8493042,685.9427,2,na,yes,degas711,inperson,NaN,1,0.875,0.895238095238095
20,neutral,0,Umplebys,-90,-90,0,open,open,1.660148,6.68048,-79.00134,1.15564,690.913,2,na,unsure,degas711,inperson,NaN,1,0.875,0.895238095238095
21,PineBackHall,0,PineBackHall,90,90,1,closed,closed,-3.31662,7.38762,64.57578,1.030334,693.2797,1,no,no,degas711,inperson,1,1,0.911111111111111,0.895238095238095
22,neutral,0,BakerBerryHistoric2,90,90,0,open,open,-4.68512,9.857866,73.90833,1.253174,695.7301,2,na,unsure,degas711,inperson,NaN,1,0.875,0.895238095238095
