trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,sameScenePrime,correctResponse,response,roll,pitch,yaw,rt,timestamp,condition,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
1,neutral,0,RaunerFirst,-90,-90,0,closed,closed,1.414978,-0.2219543,-187.3963,0.9468384,724.3716,2,na,yes,Q16,remote,NaN,NaN,1,0.956043956043956
2,Zimmerman,-100,Zimmerman,170,90,2,closed,closed,-11.44229,-4.707153,257.0741,1.768127,734.6185,3,no,no,Q16,remote,0.666666666666667,0.666666666666667,0.863636363636364,0.956043956043956
4,BakerBerryHistoric2,180,BakerBerryHistoric2,270,90,1,open,open,-11.7739,14.4016,362.0316,1.43396,742.0531,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
5,BakerBerryCharter,-90,BakerBerryCharter,-180,-90,1,open,open,3.083186,5.020244,-271.7015,1.00238,745.5474,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
7,BakerBerry2nd,94,BakerBerry2nd,184,90,1,open,open,-12.54803,-1.385223,264.3889,1.32312,760.1662,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
8,RaunerBackHall,0,RaunerBackHall,90,90,1,open,open,-14.32071,-1.624298,177.7953,1.308838,764.4959,1,no,no,Q16,remote,1,1,0.978723404255319,0.956043956043956
9,Hop2,-1,Hop2,269,90,2,closed,closed,-11.91489,-0.7725525,350.8019,1.378662,767.6424,3,yes,yes,Q16,remote,1,1,0.863636363636364,0.956043956043956
10,BakerBerryHistoric2,180,BakerBerryHistoric2,270,-90,2,open,open,4.123346,15.13754,187.3008,1.392456,771.0811,3,yes,yes,Q16,remote,1,1,0.863636363636364,0.956043956043956
11,neutral,0,McLaughlinCluster,262,90,0,open,open,-6.234589,2.410638,356.8547,1.364319,776.2043,2,na,yes,Q16,remote,NaN,0.666666666666667,1,0.956043956043956
12,Zimmerman,-100,Zimmerman,-190,-90,1,closed,closed,3.70374,-9.364044,-285.695,1.378418,779.6573,1,no,no,Q16,remote,0.666666666666667,0.666666666666667,0.978723404255319,0.956043956043956
13,Hop2,-1,Hop2,-91,-90,1,closed,closed,6.024675,3.709375,-181.36,1.155457,782.4276,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
15,neutral,0,AllenSt,90,90,0,closed,closed,-9.334778,3.390309,171.3308,1.684814,793.8998,2,na,yes,Q16,remote,NaN,1,1,0.956043956043956
16,53Commons,0,53Commons,90,-90,2,open,open,7.31067,1.225857,1.216278,1.322815,797.2552,3,yes,yes,Q16,remote,0,0,0.863636363636364,0.956043956043956
17,BakerBerryHistoric2,180,BakerBerryHistoric2,270,90,1,open,open,-14.21442,12.58186,355.3601,1.252808,800.1509,1,yes,yes,Q16,remote,1,1,0.978723404255319,0.956043956043956
