trialIdx,primeName,targetName,targetSide,condition,correctResponse,response,roll,pitch,yaw,rt,timestamp,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
1,BakerBerry2nd,BakerBerry2nd,-90,1,closed,closed,-4.646973,15.60761,-74.6763,1.36084,780.1118,yes,yes,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
2,NeutralZimmerman,Zimmerman,90,2,open,open,1.070038,7.259223,89.50825,1.083191,797.2462,na,yes,wyeth503,inperson,NaN,1,0.857142857142857,0.912621359223301
3,BakerBerryHistoric2,BakerBerryHistoric2,90,1,open,open,4.535933,17.28517,77.983,1.638367,803.1472,no,no,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
5,Umplebys,Umplebys,90,1,closed,closed,4.095128,11.93833,66.30195,1.166382,811.7535,yes,yes,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
8,Zimmerman,Zimmerman_mirror,90,3,open,open,1.922462,4.521175,82.4789,1.295959,824.9041,yes,yes,wyeth503,inperson,1,NaN,0.91304347826087,0.912621359223301
9,Maynard,Maynard_mirror,90,3,closed,closed,0.279519,9.631217,37.52617,1.610901,828.7363,no,no,wyeth503,inperson,1,NaN,0.91304347826087,0.912621359223301
10,RollinsChapel3,RollinsChapel3,90,1,closed,closed,3.982224,10.21088,77.38818,1.38855,833.4156,yes,yes,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
13,NeutralFairbanks,Fairbanks,-90,2,open,open,1.089849,1.692785,-95.49432,1.249878,847.4838,na,yes,wyeth503,inperson,NaN,1,0.857142857142857,0.912621359223301
14,PineBackHall,PineBackHall,90,1,closed,closed,5.158465,12.37463,58.37263,1.110779,850.6771,yes,yes,wyeth503,inperson,0.666666666666667,0.666666666666667,0.942307692307692,0.912621359223301
16,Hop2,Hop2,-90,1,closed,closed,-1.841919,11.66213,-72.83832,1.013855,859.0637,yes,yes,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
17,Maynard,Maynard,-90,1,open,open,0.9749323,3.269014,-89.85269,1.069519,862.3959,no,no,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
19,Hop4,Hop4,-90,1,open,open,0.003660862,4.811511,-81.37134,1.083069,869.0389,yes,yes,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
20,Hop2,Hop2,-90,1,closed,closed,0.3662349,6.151287,-80.41522,1.013672,871.8991,yes,yes,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
23,Umplebys,Umplebys,90,1,closed,closed,3.473105,10.44663,76.98967,1.069153,885.2961,yes,yes,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
24,AllenSt,AllenSt,90,1,closed,closed,2.860296,9.609236,75.78732,0.9581299,888.6008,yes,yes,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
25,53Commons,53Commons,90,1,open,open,3.639928,9.228068,77.19791,1.027588,891.5027,yes,yes,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
26,BakerBerryCharter,BakerBerryCharter_mirror,90,3,closed,closed,3.523432,10.33861,78.6598,1.002625,894.8101,no,no,wyeth503,inperson,1,NaN,0.91304347826087,0.912621359223301
27,PineEntrance,PineEntrance_mirror,90,3,closed,closed,3.782442,11.45379,66.17873,0.9507446,898.0519,yes,yes,wyeth503,inperson,1,NaN,0.91304347826087,0.912621359223301
28,NeutralAllenSt,AllenSt,-90,2,open,open,3.27414,4.736323,-82.74866,1.11084,901.3954,na,yes,wyeth503,inperson,NaN,1,0.857142857142857,0.912621359223301
29,RaunerFirst,RaunerFirst,90,1,open,open,2.133638,7.930489,72.46413,1.249634,904.5057,unsure,unsure,wyeth503,inperson,1,1,0.942307692307692,0.912621359223301
30,NeutralMaynard,Maynard,90,2,closed,closed,1.464514,6.972158,81.18018,1.180481,907.5109,na,no,wyeth503,inperson,NaN,1,0.857142857142857,0.912621359223301
