trialIdx,primeName,targetName,targetSide,condition,correctResponse,response,roll,pitch,yaw,rt,timestamp,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
1,BakerBerry2nd,BakerBerry2nd,-90,1,closed,closed,-0.06384277,2.040658,-96.40994,1.141479,643.8613,yes,yes,akers608,inperson,0.666666666666667,0.666666666666667,0.907407407407407,0.942307692307692
2,NeutralZimmerman,Zimmerman,90,2,open,open,-2.700287,3.546027,88.02567,1.016663,648.7504,na,yes,akers608,inperson,NaN,0.333333333333333,1,0.942307692307692
3,BakerBerryHistoric2,BakerBerryHistoric2,90,1,open,open,-1.511597,6.154571,83.76661,1.016541,651.173,no,no,akers608,inperson,1,1,0.907407407407407,0.942307692307692
5,Umplebys,Umplebys,90,1,closed,closed,-0.2200928,4.294242,87.92146,0.8770752,657.4557,no,no,akers608,inperson,1,1,0.907407407407407,0.942307692307692
6,NeutralMooreLot,MooreLot,90,2,open,open,-3.492126,5.104971,85.43999,1.197571,660.0518,na,yes,akers608,inperson,NaN,0.666666666666667,1,0.942307692307692
9,Maynard,Maynard_mirror,90,3,closed,closed,-9.529938,2.949808,87.71706,1.218567,668.8301,unsure,unsure,akers608,inperson,0.666666666666667,NaN,0.954545454545455,0.942307692307692
11,Zimmerman,Zimmerman,-90,1,closed,closed,1.536747,3.449967,-80.24695,1.016418,674.5245,yes,yes,akers608,inperson,0.333333333333333,0.333333333333333,0.907407407407407,0.942307692307692
14,PineBackHall,PineBackHall,90,1,closed,closed,-2.995941,7.015542,89.32719,1.058289,684.526,no,no,akers608,inperson,1,1,0.907407407407407,0.942307692307692
15,RaunerFirst,RaunerFirst,90,1,open,open,-2.929657,5.61615,74.10029,1.141785,687.1991,no,no,akers608,inperson,1,1,0.907407407407407,0.942307692307692
18,NeutralBakerBerryCharter,BakerBerryCharter,90,2,closed,closed,-1.943024,5.477062,81.43313,0.90448,695.6854,na,yes,akers608,inperson,NaN,0.666666666666667,1,0.942307692307692
21,NeutralHop4,Hop4,90,2,closed,closed,-3.298584,6.503848,82.23483,0.9331665,703.371,na,no,akers608,inperson,NaN,0.666666666666667,1,0.942307692307692
22,NeutralPineEntrance,PineEntrance,90,2,closed,closed,-4.928711,5.796615,82.37384,0.9049072,705.7024,na,yes,akers608,inperson,NaN,0.666666666666667,1,0.942307692307692
23,Umplebys,Umplebys,90,1,closed,closed,-4.145508,4.197387,84.5331,1.002563,708.0415,no,no,akers608,inperson,1,1,0.907407407407407,0.942307692307692
24,AllenSt,AllenSt,90,1,closed,closed,-2.286163,4.824927,82.37013,1.447937,711.007,yes,yes,akers608,inperson,1,1,0.907407407407407,0.942307692307692
25,53Commons,53Commons,90,1,open,open,-3.557678,2.806233,84.12424,1.002808,713.5548,yes,yes,akers608,inperson,0.666666666666667,0.666666666666667,0.907407407407407,0.942307692307692
26,BakerBerryCharter,BakerBerryCharter_mirror,90,3,closed,closed,-6.270172,4.070125,86.28981,1.161316,716.2338,yes,yes,akers608,inperson,0.666666666666667,NaN,0.954545454545455,0.942307692307692
27,PineEntrance,PineEntrance_mirror,90,3,closed,closed,-7.921356,5.25163,87.62798,1.038208,718.9013,yes,yes,akers608,inperson,0.666666666666667,NaN,0.954545454545455,0.942307692307692
