trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -4.211487, 6.448535, 342.3771, 1.90741, 765.3962
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -6.429413, 9.660289, 168.5788, 1.40625, 777.7314
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -0.4527893, 2.02295, -214.7356, 1.475891, 782.6599
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 4.111689, 4.169509, -161.9534, 1.043945, 787.4211
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -4.560059, 7.976525, 73.9786, 0.8631592, 791.4309
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 3.157281, 4.641937, -164.3857, 0.9465942, 796.6795
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -4.774597, 7.150553, 77.23197, 0.9328613, 800.3829
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -3.950256, 8.254014, 165.5415, 1.336487, 804.5038
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -3.308136, 5.984712, 166.396, 0.9606323, 808.4857
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -0.7019653, 10.59713, 348.7532, 1.461975, 812.1752
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -5.00354, 11.04417, 168.9538, 0.9470215, 816.0874
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 4.417113, 7.559126, -169.3788, 1.113708, 819.8045
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 4.452652, 5.13158, -210.7174, 1.030457, 823.0763
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 5.444349, 5.158512, -67.51389, 1.016052, 826.1947
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 5.379288, 0.3889257, -160.8752, 1.058289, 828.9238
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -5.109161, 5.948725, 153.6681, 0.751709, 831.5131
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 5.4387, 4.183707, -159.2239, 0.7938843, 834.2003
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, 6.924115, 0.7472392, -159.3054, 0.8771973, 836.9291
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -4.08429, 4.616956, 163.408, 1.183167, 839.9362
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 5.310932, 2.961493, -161.3752, 1.183411, 843.0409
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -4.380798, 5.265116, 253.2694, 1.197571, 846.5634
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, -4.666718, 7.552811, 345.0083, 1.949219, 851.7562
23, Hop4, -3, Hop4, -93, -90, 1, open, open, 5.310517, 5.389992, -165.9256, 1.04425, 855.5989
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, closed, 5.095622, 3.705294, -164.5641, 1.225159, 858.9541
