trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -4.320404, 3.213332, 338.0912, 1.378357, 652.7203
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -5.831024, 10.0155, 159.8456, 1.15564, 660.2385
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 5.808103, 5.136328, -220.239, 1.0578, 666.9626
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 6.390485, 6.679666, -174.3278, 0.9047852, 669.942
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -3.689758, 7.427092, 69.10664, 0.8356323, 672.4344
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 5.099733, 7.528832, -174.4704, 1.030212, 674.9959
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -3.450378, 8.026739, 65.64956, 1.614868, 678.2399
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -3.930756, 7.005953, 157.3905, 1.545227, 681.3167
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -3.670563, 6.791465, 160.6219, 1.099792, 684.6997
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -2.859192, 7.406733, 336.7359, 1.225159, 687.4424
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -4.413574, 11.24897, 160.1147, 1.086243, 690.0321
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 3.376986, 4.508636, -169.0964, 1.392395, 692.9557
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 3.209122, 6.008755, -220.6065, 1.03064, 695.2253
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 5.135415, 7.549732, -78.31247, 1.030457, 697.6197
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 5.470062, 5.66733, -172.8993, 1.058289, 699.9031
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -3.243011, 9.11727, 154.5427, 1.211487, 702.2977
