trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -16.23721, -1.34726, 349.5095, 2.444763, 579.4094
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, open, -15.07458, 2.200319, 169.0454, 1.5, 585.1454
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 8.536838, 4.703909, -202.9158, 1.083435, 588.7012
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 9.823709, 4.978687, -152.1587, 1.277649, 592.7847
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -11.27435, -0.7855225, 71.55239, 1.388916, 596.5623
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 10.08957, 4.018697, -155.2845, 1.611084, 599.4789
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -16.09006, 0.346729, 76.77515, 1.430847, 602.7154
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, closed, -10.5448, -0.4460754, 160.2321, 1.764099, 605.9236
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -13.69418, -1.125336, 167.7742, 1.430298, 609.854
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -11.89362, 2.991213, 342.8227, 1.347168, 612.5348
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -14.85562, -3.035126, 162.2688, 1.097473, 615.2571
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, open, 10.4608, 2.853161, -153.1372, 1.624878, 618.1042
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 10.55489, 4.816293, -204.2161, 1.361206, 620.6739
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 9.908665, 6.851544, -57.34717, 2.416626, 624.2571
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 7.611506, 4.097002, -150.1684, 1.666748, 627.6043
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -3.765503, -1.715729, 145.7004, 1.375366, 630.6185
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 6.991867, 4.759363, -150.3034, 1.402466, 633.5072
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, 8.01919, 0.7257725, -145.7337, 1.41687, 636.4518
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -13.55157, 0.7710513, 157.3209, 1.70813, 639.5352
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 8.197292, 5.758943, -154.9463, 1.65271, 642.7712
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -13.31396, 7.943688, 258.4017, 1.291443, 645.535
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, -20.00806, 11.39996, 350.0706, 2.305542, 649.6603
23, Hop4, -3, Hop4, -93, -90, 1, open, open, 7.662875, 7.113953, -156.6844, 1.305725, 652.6744
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, open, 11.36209, 5.034039, -151.3148, 1.208313, 655.2159
25, neutral, 0, Zimmerman, -190, -90, 0, closed, open, 9.071678, 2.824626, -249.4109, 1.264038, 657.9108
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, closed, 9.795165, 3.421472, -149.2935, 1.263733, 660.6882
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, open, 10.36944, 1.841839, -250.4122, 1.319458, 663.6744
