trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -4.945221, 0.6735403, 342.2358, 2.130066, 686.3713
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -7.116791, 8.360669, 165.9457, 1.43457, 695.3655
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 0.2613983, -5.68457, -213.3231, 1.05835, 698.8598
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 1.847317, -3.263794, -168.5488, 1.308777, 701.7835
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -6.170715, 6.866174, 59.53571, 2.08844, 705.5007
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -0.4673462, -2.687836, -157.7117, 1.378357, 709.4127
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -8.743988, 5.997968, 67.08073, 1.141602, 712.1276
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, closed, -10.27133, 5.922309, 160.6247, 1.503906, 715.9843
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -5.523834, 4.490436, 163.2597, 1.12793, 719.6042
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, -6.169922, -3.468445, 289.854, 2.422485, 723.8085
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -6.538452, 11.54666, 155.9042, 1.461975, 729.1407
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -0.7550354, 5.434444, -171.3977, 1.280701, 732.301
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -0.6759949, -0.3631592, -221.1437, 1.44812, 735.1135
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, -0.9945679, 6.586259, -79.29529, 1.573486, 738.0372
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, -0.0826416, 0.2029962, -166.8014, 1.267212, 741.1836
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -10.51236, 0.6445013, 155.6086, 1.11438, 743.8431
