trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -2.745453, 4.959982, 343.2704, 1.071716, 517.1097
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -2.379028, 4.274437, 168.0817, 0.9047852, 519.226
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 1.939797, 7.204281, -207.9649, 0.7932739, 521.1613
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 1.581985, 6.707019, -163.2263, 1.044067, 523.3332
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, open, -3.757629, 5.112634, 82.24545, 1.044373, 525.4913
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 2.712748, 4.708023, -161.4043, 0.8353271, 527.663
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -2.679718, 4.764084, 79.24289, 0.918457, 529.7095
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -2.461517, 5.619539, 163.8978, 0.8769531, 531.7281
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -1.491516, 4.038082, 163.5156, 0.9186401, 533.7192
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -1.589447, 5.90303, 341.8731, 0.7515869, 535.5846
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -3.30011, 3.942533, 156.4573, 0.835144, 537.5755
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 2.697912, 4.214205, -159.3476, 1.391968, 540.0536
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 2.137225, 5.908374, -208.7915, 0.8074951, 541.975
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 1.778109, 5.442591, -64.4444, 1.225281, 544.3141
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 0.8478834, 5.997273, -160.9828, 1.016357, 546.4301
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -3.82132, 5.924619, 164.8172, 0.8773193, 548.449
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 1.219213, 7.462207, -162.9293, 0.737854, 550.3564
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, -0.4653931, 5.101207, -160.8801, 0.8770752, 552.3194
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -3.990936, 3.996161, 162.8571, 0.8355103, 554.213
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 0.5728074, 5.728306, -157.8266, 0.8495483, 556.1899
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -2.539124, 4.206515, 254.6707, 1.281067, 558.529
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, closed, -2.469788, 4.975162, 345.723, 1.002441, 560.6866
23, Hop4, -3, Hop4, -93, -90, 1, open, open, 1.758611, 4.861348, -161.8779, 1.434265, 563.2764
