trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, 2.872421, 0.02753015, 334.685, 1.583191, 612.1538
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, 2.688173, 4.125097, 162.7605, 1.222229, 617.9319
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -1.234039, 0.3109307, -219.6471, 1.138855, 622.2375
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -0.1681519, -0.7862549, -165.0619, 0.9863281, 625.3627
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, 3.137062, 3.040175, 67.25198, 1.041748, 628.7098
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 0.1353438, -0.5144653, -164.9783, 0.847229, 631.6821
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, 2.326824, 2.941713, 60.93241, 0.9585571, 634.7933
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, closed, 0.9282967, 0.4797365, 143.5743, 1.055786, 638.6128
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, 3.489952, -0.1108704, 158.2139, 1.402039, 642.849
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, 5.667953, 8.859781, 340.639, 1.833252, 646.4878
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, 3.837037, 4.882691, 161.1013, 0.805481, 650.6962
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -2.160706, 2.601093, -34.28365, 0.388855, 652.7656
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -1.459991, -1.774841, -213.0581, 1.153381, 656.572
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, -0.3630676, 1.389635, -68.96616, 1.097595, 659.0992
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, -0.7381897, 0.08999248, -174.5041, 1.194519, 661.6548
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, 1.023176, 5.05038, 143.5253, 1.013611, 664.613
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 0.6176983, 3.557486, -172.3481, 1.083557, 667.0299
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, 0.03340011, -1.771149, -166.1918, 1.027771, 669.3215
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, 2.929629, 4.74014, 153.0252, 1.193909, 671.8771
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 1.498623, 0.6013535, -170.1643, 1.097534, 674.419
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, 4.023796, 5.728477, 248.7526, 1.125305, 676.7523
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, 6.887749, 13.37585, 347.013, 1.569458, 679.7523
23, Hop4, -3, Hop4, -93, -90, 1, open, open, -0.7271423, 0.0976868, -167.2213, 0.8892212, 682.0165
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, closed, 0.250202, -0.6738892, -169.3972, 0.958374, 684.3635
25, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, -0.2598267, 1.538331, -278.2987, 1.472168, 687.2106
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, closed, -0.06201172, 2.069104, -170.4564, 1.097046, 689.4466
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, closed, 1.432261, 0.5106401, -277.7008, 1.277832, 692.058
28, Maynard, 0, Maynard, 90, 90, 1, closed, closed, 3.450116, 3.243208, 147.0818, 0.972168, 694.4609
29, neutral, 0, AllenSt, 90, 90, 0, closed, closed, 5.928793, 4.96426, 153.6583, 1.278015, 697.0441
30, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 1.319682, -4.452087, 128.2109, 0.305542, 698.8775
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, closed, 1.245958, 2.070782, 5.413086, 1.111328, 702.586
32, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, 4.847714, 5.065467, 153.0227, 1.222229, 705.1138
33, BakerBerryCharter, -90, PineBackHall, 270, 90, 0, closed, closed, 4.627928, 10.23726, 337.5327, 1.180725, 708.0582
34, neutral, 0, Fairbanks, -90, -90, 0, open, open, -1.477997, -1.411835, -173.3181, 1.541931, 711.0445
35, neutral, 0, Hop2, 89, 90, 0, open, open, 5.758628, 2.643175, 162.3082, 1.000122, 735.0585
36, Zimmerman, -100, Umplebys, 40, 90, 0, closed, closed, 6.2526, 6.291375, 114.8004, 0.97229, 737.9059
37, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 3.081556, -3.038239, -167.5816, 0.9168091, 740.156
38, Umplebys, -50, RaunerBackHall, -90, -90, 0, closed, closed, 0.8740911, 1.183441, -162.9767, 0.791626, 742.2947
39, Hop4, -3, Hop4, -93, -90, 1, open, open, 0.0084134, 3.213327, -174.5916, 0.9586182, 744.4615
40, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, closed, 2.278455, 8.468798, 325.3507, 1.194641, 746.9338
41, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, 6.474577, 4.192234, 72.39207, 1.110901, 749.2532
42, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 0.5957785, 3.682013, -252.7263, 1.111023, 752.2949
43, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, -1.529724, 3.662563, 9.750244, 1.041748, 754.4756
44, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 0.7217784, 4.198434, 15.49561, 0.9584351, 756.8505
45, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, 4.217504, 1.77335, 164.9105, 0.9723511, 758.9896
46, neutral, 0, McLaughlinCluster, 82, -90, 0, closed, open, 0.2646737, 1.08654, 8.501648, 1.153198, 761.3093
47, RaunerFirst, 0, PineEntrance, -90, -90, 0, open, open, 0.7490919, 2.691872, -167.8575, 0.9868164, 763.8094
48, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, 3.711121, 0.5462142, 56.20364, 1.416626, 766.8506
49, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 1.579154, -1.011505, 12.51468, 0.8331909, 768.8784
50, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, 4.735235, 3.394957, 156.326, 1.250854, 771.4626
51, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, closed, 8.152418, -1.909729, 334.2452, 1.111389, 773.7816
52, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, 0.6945431, 3.476282, 15.46997, 0.9863281, 775.976
53, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, 5.225279, 6.762067, 338.78, 1.069214, 778.684
54, Maynard, 0, McLaughlinCluster, 82, -90, 0, closed, closed, 1.351471, -2.538361, 4.589966, 1.069824, 781.0594
55, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, 0.7643297, 6.479264, 155.7144, 1.25, 783.6289
56, 53Commons, 0, 53Commons, 90, 90, 1, open, open, 5.475266, 1.931107, 158.5203, 0.8473511, 788.0455
57, neutral, 0, Umplebys, 40, 90, 0, closed, closed, 5.166956, 3.034693, 109.2148, 1.16687, 790.7402
58, neutral, 0, PineEntrance, -90, -90, 0, open, open, 0.2713295, 4.961607, -164.8005, 1.416443, 793.4482
59, RaunerBackHall, 0, Hop2, 89, 90, 0, open, open, 3.643492, 5.381646, 157.5988, 1.028015, 795.8096
60, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, -1.547455, -0.6257324, 17.35852, 0.8612671, 798.0735
61, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, -1.648438, 2.48673, -255.5983, 0.8057861, 800.1293
62, neutral, 0, Maynard, -90, -90, 0, open, open, 1.167274, 3.652394, -167.6449, 1.194702, 802.7126
63, neutral, 0, PineBackHall, 270, 90, 0, closed, closed, 2.77589, 6.826435, 332.5496, 0.8887329, 804.8511
64, neutral, 0, BakerBerryHistoric2, 270, 90, 0, open, open, 7.156136, 4.821973, 338.4039, 0.819397, 806.9623
65, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 2.858372, 3.841789, -68.98178, 0.791748, 808.9625
66, BakerBerryHistoric2, 180, RollinsChapel3, 87, -90, 0, open, open, -0.4168701, 3.752289, 11.7403, 0.8470459, 811.1707
67, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, 1.391401, 5.200747, 142.9446, 1.069702, 813.5601
68, neutral, 0, 53Commons, -90, -90, 0, closed, closed, 3.822837, 3.060619, -162.9772, 0.8195801, 815.7402
69, neutral, 0, MooreLot, 270, 90, 0, open, closed, 4.535339, 5.066227, 336.0891, 1.43042, 818.6708
70, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, 4.026764, 0.251918, 156.2394, 1.402771, 821.8654
71, neutral, 0, BakerBerry2nd, 184, 90, 0, open, open, 4.796411, 1.490407, 253.6127, 0.7640381, 837.5878
72, PineEntrance, 0, AllenSt, 90, 90, 0, closed, closed, 2.47883, 3.007989, 151.2574, 1.028076, 840.3104
73, PineBackHall, 180, Fairbanks, 90, 90, 0, closed, closed, -2.187866, 0.4692583, 153.1668, 0.958374, 842.602
74, AllenSt, 0, Zimmerman, -10, 90, 0, open, open, 5.822874, 0.908788, 59.96966, 1.235962, 845.2128
75, Hop4, -3, RollinsChapel3, 267, 90, 0, closed, closed, 4.444822, 4.595094, 336.0298, 1.708252, 848.1573
76, BakerBerryHistoric2, 180, RaunerFirst, 90, 90, 0, open, closed, 0.02540702, 0.8616749, 148.5984, 0.8474731, 850.2409
77, neutral, 0, BakerBerryCharter, -180, -90, 0, open, open, 0.2658331, 2.537757, -255.7395, 1.305664, 854.0602
78, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 0.07206727, 2.280843, -172.6721, 0.9306641, 856.2688
79, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, -2.719574, -2.340881, 2.067932, 1.180847, 858.7133
80, Maynard, 0, Maynard, -90, -90, 1, open, open, 1.402419, 1.720508, -171.1259, 1.180237, 861.3519
81, neutral, 0, RollinsChapel3, 267, 90, 0, closed, closed, 3.069098, -3.323883, 324.4497, 1.000366, 863.6859
82, PineEntrance, 0, BakerBerryCharter, -180, -90, 0, open, open, 3.132481, 1.719708, -259.4529, 0.9859009, 865.9631
83, Umplebys, -50, AllenSt, -90, -90, 0, open, open, -0.7544861, 1.027363, -168.1057, 0.972168, 868.1021
84, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, -1.626282, 4.067898, 13.12277, 1.111328, 870.4218
85, 53Commons, 0, 53Commons, -90, -90, 1, closed, closed, 0.8002931, 0.8780782, -162.4066, 0.9863281, 872.6302
86, MooreLot, 180, Hop4, -93, -90, 0, open, open, 0.06184832, 2.836464, -165.3636, 0.944458, 874.7411
87, Hop2, -1, Umplebys, -140, -90, 0, open, open, -0.6142273, 3.937067, -218.8738, 0.9168701, 876.8386
88, 53Commons, 0, McLaughlinCluster, 262, 90, 0, open, closed, 2.990586, 6.330012, 332.5184, 1.833069, 879.8939
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, 2.503026, 1.554861, -158.7665, 0.8609619, 882.4357
90, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, -0.2029419, 0.627809, -165.1625, 1.000244, 884.7553
91, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 4.83579, -1.350372, -280.1304, 0.9879761, 887.2432
92, Hop2, -1, Hop2, 89, 90, 1, open, open, 2.997627, 0.4912564, 151.5072, 1.250366, 889.7416
93, AllenSt, 0, AllenSt, 90, 90, 1, closed, closed, 1.953173, -1.848236, 150.7002, 1.05542, 892.0607
94, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -0.650238, 0.3574995, 192.9091, 0.7775269, 894.1581
95, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, 3.591299, 2.021031, 151.1566, 0.875061, 897.3943
96, PineBackHall, 180, PineBackHall, 270, 90, 1, closed, closed, 1.615553, 3.481423, 331.4803, 0.9724121, 899.5749
97, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 3.596758, 0.4496276, -252.9375, 1.041565, 901.8665
98, RollinsChapel3, 177, Maynard, 90, 90, 0, closed, closed, 10.64026, -0.5668945, 143.9093, 1.347412, 904.5055
