trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -0.0001218056, -11.09665, 328.633, 1.559509, 779.1809
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, open, 2.10692, -7.22464, 147.6206, 1.698547, 782.0212
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 8.726586, -7.192505, -217.7058, 1.280701, 784.5827
4, Hop2, -1, Hop2, -91, -90, 1, closed, open, 10.82255, -5.312195, -171.8134, 1.30896, 787.0193
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, 2.416847, -7.310333, 54.07547, 1.280945, 789.4694
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 9.131259, -4.194794, -171.4626, 1.54541, 792.0587
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, 2.157745, -9.567169, 51.15278, 1.545715, 794.7182
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -0.3757629, -5.996338, 147.3977, 2.868042, 798.6723
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, 2.306804, -8.073212, 143.2411, 1.489624, 801.4565
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, 1.294286, -6.565521, 319.7852, 1.239197, 803.8232
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, 1.274737, -7.163086, 137.8609, 1.558533, 806.4963
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 10.50551, -5.750427, -162.3584, 1.392639, 808.8217
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 8.133304, -5.861328, -204.0301, 1.225464, 811.0212
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 12.06141, -8.532593, -60.38437, 1.267273, 813.1376
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 10.84969, -9.528534, -147.0985, 1.114136, 815.3928
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, 0.6839814, -11.2439, 126.9147, 1.253418, 817.7459
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 8.545995, -9.475189, -149.2186, 0.9467773, 819.8478
