trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, 0.6105168, 2.293317, 350.1328, 2.46405, 699.4858
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -0.2698975, 14.43944, 181.5696, 1.433716, 705.6811
3, Umplebys, -50, Umplebys, -140, -90, 1, open, closed, -5.180695, 2.082413, -227.7794, 1.322937, 713.269
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -2.63562, 4.281591, -173.5678, 1.294922, 716.9305
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -1.315918, 1.953597, 93.09775, 1.19751, 719.9516
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -2.3862, 0.2845545, -168.8832, 1.183472, 724.3789
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -0.9888306, 0.1295902, 93.85187, 1.378235, 728.3883
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -2.53598, 2.869438, 174.0674, 2.102234, 733.8321
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, 0.5087107, 2.745123, 179.6347, 1.127319, 737.4239
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, 0.6462971, 6.587302, 362.6061, 1.322632, 741.0718
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -1.233398, 4.651152, 184.2778, 1.211548, 744.8308
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -3.398468, 3.99746, -185.8446, 1.19751, 748.0746
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -4.104797, 2.29537, -228.3396, 1.434082, 755.6066
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, -3.277283, 0.1161495, -87.35367, 1.754089, 759.2819
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, -3.090881, 1.931365, -170.9089, 1.752869, 762.7626
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -1.29306, 3.082022, 174.4025, 1.392456, 766.0762
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, -2.766327, 2.103087, -179.2363, 1.05719, 769.0833
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, -1.942657, -2.456146, -172.8395, 1.211182, 771.7704
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -0.4924011, 1.661858, 179.8975, 1.15564, 774.2346
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -4.347992, -0.5683289, -181.2957, 1.448059, 777.1027
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -2.247803, 2.209774, 270.9896, 1.461853, 780.4022
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, -0.3279724, 10.81694, 369.0984, 1.670471, 783.3257
23, Hop4, -3, Hop4, -93, -90, 1, open, open, -3.298676, 3.283759, -179.3473, 1.462036, 786.4307
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, open, -3.856537, -0.1459351, -163.7615, 1.907104, 789.6464
25, neutral, 0, Zimmerman, -190, -90, 0, closed, open, -2.263458, -0.372467, -273.5825, 1.573181, 792.6399
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, closed, -3.096252, 0.2978944, -171.2656, 1.197388, 795.2155
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, open, -2.312927, -1.425629, -270.1985, 1.224976, 797.9302
28, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -1.114166, 1.771736, 180.6344, 1.378418, 800.9932
29, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -0.6209106, 9.108889, 182.645, 1.253052, 803.6525
30, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, -2.995575, 4.933519, -3.576599, 1.447327, 807.5645
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, closed, -1.869904, 7.811738, 17.18585, 1.754395, 810.8224
32, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -2.13327, 4.375779, 179.5449, 1.336792, 813.621
33, BakerBerryCharter, -90, PineBackHall, 270, 90, 0, closed, closed, -2.072388, 2.884552, 358.5833, 1.656982, 816.6977
34, neutral, 0, Fairbanks, -90, -90, 0, open, open, 0.2757506, 0.2445203, -179.8718, 1.016602, 818.9949
35, neutral, 0, Hop2, 89, 90, 0, open, open, -1.80545, 2.61938, 176.7831, 1.295349, 834.1846
36, Zimmerman, -100, Umplebys, 40, 90, 0, closed, closed, 0.06373721, 7.955711, 135.0716, 1.183472, 836.5646
37, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -4.852692, 0.1811446, -172.3447, 0.9188843, 838.5278
38, Umplebys, -50, RaunerBackHall, -90, -90, 0, closed, closed, -4.597931, 5.871545, -174.8733, 0.8353882, 842.0501
39, Hop4, -3, Hop4, -93, -90, 1, open, open, -4.603394, 2.144706, -172.4773, 1.085938, 844.8066
40, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, 0.6247815, 6.625288, 357.664, 0.9187622, 851.3222
41, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -0.3955994, 8.711529, 75.20309, 0.9330444, 853.8423
42, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, closed, -5.455597, 1.951638, -257.1842, 1.058411, 856.4459
43, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, -5.738495, 3.491311, 14.57007, 1.336426, 859.1049
44, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, -5.037323, 2.404377, 18.8898, 1.322693, 861.9034
45, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, open, -3.642609, 1.227191, 166.0772, 1.531128, 864.7853
46, neutral, 0, McLaughlinCluster, 82, -90, 0, closed, open, -5.622833, -3.265015, 6.44223, 1.239136, 867.3886
47, RaunerFirst, 0, PineEntrance, -90, -90, 0, open, closed, -3.945862, 3.125285, -158.6523, 1.47583, 870.3681
