trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -1.883362, -2.12442, 365.9468, 1.336243, 960.597
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, open, -3.316345, -0.4824829, 194.1635, 1.016296, 967.0847
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -0.7625122, -6.019104, -232.2905, 1.238892, 979.3643
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 2.453982, -5.741974, -181.4705, 1.461731, 983.7915
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -4.366913, 0.315542, 103.5064, 1.42041, 987.7875
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 0.944622, -5.057037, -185.9305, 1.19751, 993.3144
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -4.834106, -1.158508, 95.77097, 1.684998, 999.0366
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -3.807007, -0.9588928, 176.8584, 1.280762, 1005.761
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -3.948364, -2.331177, 184.3517, 1.015991, 1008.503
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, -2.562225, -1.483215, 365.1874, 1.03064, 1013.029
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -2.452606, -0.8628235, 177.778, 1.503662, 1019.099
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 1.34473, -2.598938, -186.9796, 1.517639, 1023.512
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -1.500641, -4.19458, -235.1082, 1.030396, 1027.939
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 0.7003819, -2.165375, -93.45413, 1.016235, 1031.796
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 2.05381, -4.080078, -178.2403, 1.433716, 1035.61
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -2.344788, -1.734192, 185.0095, 1.100098, 1040.414
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 1.131472, -2.736786, -180.294, 0.9190674, 1043.992
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, 2.812717, -8.278046, -173.9808, 1.601318, 1047.876
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -2.792908, -3.28302, 176.9018, 2.450439, 1052.22
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 2.793735, -3.068329, -184.2686, 1.072144, 1057.371
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -4.945526, -0.3096313, 277.1443, 1.266968, 1061.381
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, -3.400757, 1.974104, 362.4198, 2.241577, 1065.251
23, Hop4, -3, Hop4, -93, -90, 1, open, open, 3.015017, -1.906189, -180.9221, 1.252808, 1069.274
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, closed, 2.534691, -4.053162, -173.5344, 1.002441, 1072.045
25, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, 0.8511625, -5.565613, -275.5941, 0.9606934, 1076.862
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, open, 1.958677, 0.4884671, -176.4952, 1.155518, 1080.593
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, closed, 1.27992, -6.306335, -270.6792, 1.461792, 1086.357
28, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -4.362305, -0.4845581, 173.3426, 1.48999, 1089.392
29, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -2.977936, 0.7956982, 174.2057, 0.9748535, 1091.829
30, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 3.897613, -0.6737671, 8.16864, 1.211304, 1094.362
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, closed, -0.3051758, 2.490072, 4.180115, 1.072266, 1096.841
32, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -3.173096, 4.615476, 177.246, 1.002563, 1099.695
33, BakerBerryCharter, -90, PineBackHall, 270, 90, 0, closed, closed, -3.702637, 3.043158, 355.8339, 1.016357, 1102.061
34, neutral, 0, Fairbanks, -90, -90, 0, open, closed, -0.665741, -1.37381, -172.8196, 0.9329834, 1104.512
35, neutral, 0, Hop2, 89, 90, 0, open, open, -5.187195, 1.326634, 176.6134, 1.141602, 1124.81
36, Zimmerman, -100, Umplebys, 40, 90, 0, closed, closed, -5.535797, 1.037897, 133.0809, 1.322754, 1129.001
37, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 1.147408, -0.5489807, -172.6676, 0.9609375, 1131.298
38, Umplebys, -50, RaunerBackHall, -90, -90, 0, closed, closed, 1.378597, -2.827026, -172.2991, 0.9466553, 1134.459
39, Hop4, -3, Hop4, -93, -90, 1, open, open, 2.909279, -0.2359314, -178.9017, 0.9193115, 1137.453
40, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, -2.783508, 8.068954, 353.1381, 1.434082, 1140.835
41, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -6.664398, -1.302765, 86.94819, 1.684692, 1144.316
42, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 4.603008, -1.943481, -267.7332, 1.977173, 1149.69
