trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -0.9492188, 10.94361, 340.9417, 1.656677, 622.5523
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -5.419922, 8.396646, 157.0034, 0.9885254, 627.6479
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 0.3526202, 3.484691, -209.3996, 1.155396, 630.2375
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 2.791713, 1.562176, -164.0659, 1.253174, 632.7437
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -4.680908, 4.988634, 64.99074, 1.141846, 636.5863
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 2.067813, 0.3094554, -161.8271, 1.225342, 639.9971
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -3.78894, 4.930397, 65.44506, 1.225098, 642.517
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -3.191345, 4.757843, 154.3705, 1.294617, 645.1901
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -3.559082, 2.98242, 153.8836, 1.196777, 647.8074
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -0.8486938, 4.241498, 325.4274, 1.113708, 650.4944
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -2.205109, 3.615078, 149.7018, 0.9745483, 652.931
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 1.478939, 0.6412558, -163.2354, 1.33667, 655.8685
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 0.03875742, -1.011597, -208.8064, 1.04425, 660.3655
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, -1.074799, -1.453003, -68.36301, 1.016357, 662.5928
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 1.05215, -1.75946, -161.7448, 1.712036, 665.767
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -1.952972, 7.762041, 150.1597, 2.394409, 671.879
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 2.816, 2.559442, -166.0438, 1.239197, 675.8332
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, 1.410478, -0.8742676, -163.1758, 1.462097, 678.8682
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -2.937622, 2.37759, 153.2509, 1.253113, 681.6111
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 1.455387, 1.400692, -165.6324, 0.9608154, 685.6205
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -3.142914, 4.779042, 246.0602, 1.322632, 688.8365
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, -3.015198, 5.769606, 332.7122, 1.211121, 691.8018
23, Hop4, -3, Hop4, -93, -90, 1, open, open, 0.6245707, 2.86787, -161.494, 1.197327, 694.851
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, closed, 1.396868, 0.9553213, -160.8254, 1.280823, 697.6492
25, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, 1.698094, 0.09005662, -262.4891, 1.447937, 700.3364
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, closed, 1.497071, 0.2676234, -163.1038, 1.142151, 702.9264
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, closed, 0.9680536, 1.373428, -260.3077, 1.308838, 705.9887
28, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -3.696503, 6.058416, 152.3905, 0.9886475, 708.6201
29, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -0.8234863, 7.756104, 148.8135, 0.9468384, 710.9868
30, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, -0.7382813, 4.254329, 20.31067, 0.9328003, 713.618
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, -0.01586914, 5.08479, 15.7381, 0.9328003, 716.9315
32, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -3.02121, 4.166672, 151.4937, 1.016541, 719.3403
33, BakerBerryCharter, -90, PineBackHall, 270, 90, 0, closed, closed, -2.868469, 6.063767, 330.1188, 1.281067, 722.0273
34, neutral, 0, Fairbanks, -90, -90, 0, open, open, 1.010829, -0.7554016, -160.6471, 1.072083, 725.2435
35, neutral, 0, Hop2, 89, 90, 0, open, open, -5.133911, 5.618094, 154.7826, 1.114319, 739.6115
36, Zimmerman, -100, Umplebys, 40, 90, 0, closed, closed, -1.143616, 9.866797, 106.6861, 1.127808, 742.5904
37, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -0.09680176, -0.4529419, -160.4251, 0.8770752, 744.7763
38, Umplebys, -50, RaunerBackHall, -90, -90, 0, closed, closed, 1.558684, 3.353467, -163.0937, 1.058167, 747.0317
39, Hop4, -3, Hop4, -93, -90, 1, open, open, 1.283613, 2.709831, -160.6774, 1.559265, 750.0529
40, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, -2.142334, 8.08303, 329.0018, 1.36438, 752.865
41, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -2.25885, 2.039391, 56.52701, 0.9747925, 755.1765
42, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 1.559685, 1.665752, -252.937, 0.9052124, 757.4875
43, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, -1.98172, 2.263866, 18.07813, 1.336792, 760.3694
44, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 0.1059025, 1.835166, 19.2879, 0.8493652, 763.4044
45, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, -2.467407, 4.003268, 155.6041, 1.211426, 766.0079
46, neutral, 0, McLaughlinCluster, 82, -90, 0, closed, closed, -2.711761, -1.049896, 19.34875, 1.155762, 768.4305
47, RaunerFirst, 0, PineEntrance, -90, -90, 0, open, open, 0.3549177, 2.095737, -161.7294, 1.768005, 771.5488
