trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, 0.7743613, 7.598265, 348.0897, 1.944519, 728.0981
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, 0.1663354, 8.405043, 181.6332, 0.9866333, 734.8066
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -1.337433, 6.68966, -228.7389, 1.15271, 740.7646
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -3.274902, 8.207998, -177.3086, 1.041748, 745.6677
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, open, 1.870204, 6.893983, 86.99019, 1.194885, 750.5567
6, Hop2, -1, Hop2, -91, -90, 1, closed, open, -0.769043, 7.960572, -184.9583, 0.930603, 758.2509
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -1.52713, 6.763773, 97.33664, 1.34668, 763.1818
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, 0.3983255, 8.679014, 183.526, 1.333679, 769.182
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, 0.3174109, 6.342432, 191.2661, 1.069519, 776.0709
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, 1.599184, 10.30476, 360.8135, 1.653137, 780.4323
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -0.6099854, 8.826038, 185.3726, 1.028259, 783.4461
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -0.5596008, 9.055147, -187.4998, 1.069458, 786.6265
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -3.281708, 8.120364, -229.058, 1.500488, 792.2659
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, -1.295319, 9.335958, -98.14984, 1.194763, 795.0851
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, -2.525604, 8.896853, -183.8564, 1.569397, 799.3628
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, 1.605176, 9.096933, 177.6966, 0.749939, 801.7935
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, -2.273987, 9.55489, -188.6607, 0.9584961, 805.6546
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, -1.677338, 7.238569, -180.4504, 0.805603, 808.2656
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, 0.2708917, 6.411361, 174.035, 1.750122, 812.1132
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -2.227814, 8.766782, -179.373, 0.9864502, 814.6548
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, 1.261473, 8.548138, 273.7476, 1.222351, 817.3771
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, 1.100891, 10.32145, 364.3836, 1.236511, 820.3772
23, Hop4, -3, Hop4, -93, -90, 1, open, open, -0.6385803, 7.900227, -172.6288, 1.542114, 823.7661
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, closed, -1.733276, 8.935329, -179.6646, 1.555786, 827.0159
25, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, -2.45343, 9.251153, -279.8833, 1.388977, 830.1548
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, closed, -2.403809, 9.775979, -186.0943, 1.097534, 833.0857
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, closed, -2.046936, 9.710007, -283.5224, 1.388977, 836.3495
28, Maynard, 0, Maynard, 90, 90, 1, closed, closed, 1.365991, 7.750477, 179.259, 1.291687, 839.3495
29, neutral, 0, AllenSt, 90, 90, 0, closed, closed, 2.497169, 8.300381, 174.7851, 1.278015, 842.1274
30, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, -1.645325, 12.30973, -8.467529, 1.09729, 844.6691
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, closed, -4.303375, 19.31533, -16.55386, 1.875, 848.4052
32, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -0.7475281, 8.254655, 182.5352, 1.013672, 853.3635
33, BakerBerryCharter, -90, PineBackHall, 270, 90, 0, closed, closed, 0.5648603, 12.63954, 370.7536, 0.8057861, 861.0999
34, neutral, 0, Fairbanks, -90, -90, 0, open, open, -0.2850647, 5.828877, -174.4516, 1.402954, 1122.381
35, neutral, 0, Hop2, 89, 90, 0, open, open, 0.4067752, 8.239837, 173.4001, 1.541992, 1138.451
36, Zimmerman, -100, Umplebys, 40, 90, 0, closed, closed, 2.569281, 8.304789, 144.7088, 1.083618, 1143.368
37, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -1.77948, 8.19563, -182.939, 1.180664, 1147.159
38, Umplebys, -50, RaunerBackHall, -90, -90, 0, closed, closed, -4.026794, 9.99711, -187.8416, 0.84729, 1149.813
39, Hop4, -3, Hop4, -93, -90, 1, open, open, -2.461517, 9.923376, -188.9274, 1.000366, 1152.938
40, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, 1.317999, 11.42164, 350.8374, 1.111084, 1155.521
41, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, 0.5871684, 6.695896, 80.14329, 1.430542, 1158.382
42, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, -1.389374, 14.13802, -276.9877, 1.43042, 1162.813
