trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -10.47275, 2.753971, 341.7746, 1.055542, 635.6638
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -12.05896, 7.432047, 169.813, 1.180359, 641.8168
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -2.710968, 2.273339, -217.1934, 1.06958, 644.1085
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -3.011688, 6.206549, -153.6375, 1.083252, 646.5807
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -11.89279, 6.66846, 70.16519, 1.22229, 648.6503
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -1.097168, 8.693795, -175.0581, 0.7364502, 653.1366
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -11.67572, 11.85219, 66.75472, 1.138977, 655.8033
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -8.671143, 4.249117, 158.3661, 1.680542, 658.4699
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -8.435944, -1.70163, 346.5971, 1.527771, 663.8309
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -7.855743, 9.004092, 153.9277, 1.097229, 661.1365
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -7.772186, 11.29742, 147.3569, 0.9720459, 666.3032
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -2.001129, 6.958214, -161.9249, 1.028015, 668.4979
13, Umplebys, -50, Umplebys, -140, -90, 1, open, closed, -1.82666, 2.824247, -214.5446, 1.16687, 674.8176
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 0.4453295, -3.956024, -160.1059, 1.27771, 679.8591
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, -1.696198, -0.9608459, -62.12698, 1.222473, 677.4147
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -6.238159, 5.387632, 137.7177, 0.819397, 682.0259
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, -1.353638, -7.194641, -146.4385, 1.097473, 686.8593
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 0.5930167, -2.559265, -116.23, 1.389282, 684.6093
19, Maynard, 0, Maynard, 90, 90, 1, closed, open, -8.042938, -0.3579102, 143.1376, 1.125183, 689.1092
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -0.7342834, -0.9063416, -150.1774, 1.528137, 692.2205
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -7.275909, 1.32572, 258.8486, 1.347229, 694.6926
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, -4.711273, 24.53274, 327.6392, 2.763855, 698.4288
23, Hop4, -3, Hop4, -93, -90, 1, open, open, 9.371934, 6.541218, -163.3582, 1.430481, 703.54
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, closed, -0.6529236, -0.8842468, -154.3994, 1.069519, 705.8038
