trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -9.113007, -2.10611, 340.9462, 2.394958, 626.5357
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -11.16046, 1.548602, 160.3967, 1.350586, 629.6263
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 14.17141, 2.496738, -212.3432, 1.781799, 632.2852
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 19.40095, 6.76018, -164.0691, 1.531372, 635.4039
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -9.933594, 3.690122, 69.62167, 1.336609, 637.9239
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 17.6045, 8.638421, -163.2265, 1.434326, 640.3048
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -13.87234, 0.906728, 74.56548, 1.796143, 643.2839
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -14.09286, 4.462064, 162.1837, 1.447815, 645.8734
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -12.22421, -0.5421143, 161.8109, 1.448608, 648.4498
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -10.45142, 4.676947, 335.074, 1.141785, 650.7881
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -11.94852, 9.385337, 158.9333, 1.128052, 653.0995
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 15.6777, 6.278077, -163.2637, 1.754272, 656.1066
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 14.55028, 8.165936, -208.6406, 1.517639, 659.0302
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 13.4991, 6.522342, -66.75504, 1.489807, 661.6895
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 14.62894, -0.7232971, -159.9912, 1.615051, 664.6966
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -14.14838, 3.42056, 159.8785, 1.21167, 667.1333
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 16.65711, 8.626077, -161.9597, 0.9191895, 669.2213
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, 17.03299, 2.527547, -162.9914, 1.476135, 672.1033
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -10.85864, -0.7606812, 161.2353, 1.155701, 674.4005
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 15.23731, 3.390981, -161.3285, 1.00238, 676.5304
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -18.5448, 2.717141, 253.3468, 1.795898, 679.4681
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, -19.62268, 6.017595, 341.6478, 1.378357, 681.9602
23, Hop4, -3, Hop4, -93, -90, 1, open, open, 12.24704, 3.09843, -158.1888, 1.030212, 684.1179
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, closed, 12.46273, 4.243189, -151.5732, 1.907288, 687.181
25, neutral, 0, Zimmerman, -190, -90, 0, closed, open, 15.62474, 3.352956, -258.6539, 2.227783, 690.62
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, closed, 13.64857, 2.53078, -159.3045, 1.197449, 693.1399
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, open, 14.93681, 2.943688, -258.8307, 1.5177, 695.7711
28, Maynard, 0, Maynard, 90, 90, 1, closed, open, -15.23535, 3.237038, 159.368, 2.394592, 699.3074
29, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -15.15921, 10.53622, 156.8478, 2.3526, 702.7738
