trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -2.505585, 2.834635, 341.0022, 1.824219, 656.0417
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -2.85202, 4.927466, 163.3649, 1.085999, 660.622
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 1.657253, 1.510708, -212.4993, 1.044006, 663.7822
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 3.111945, 1.521124, -160.5638, 0.8214722, 666.0518
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -5.313354, 4.16795, 67.94357, 0.696167, 668.2513
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 2.841203, 0.08527495, -161.8326, 0.9328613, 670.6182
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -5.891724, 3.305423, 66.69678, 0.793457, 672.9151
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -6.092682, 3.528896, 154.226, 0.8497925, 675.5889
9, 53Commons, 0, 53Commons, 90, 90, 1, open, closed, -7.494904, 2.207256, 152.5842, 0.9048462, 678.1362
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, -7.633087, 6.20289, 328.313, 1.099854, 681.2825
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -8.454102, 5.340895, 149.8982, 0.7521973, 684.1647
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 7.99635, 0.6737701, -157.2785, 1.26709, 686.8656
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 8.236443, 2.290152, -203.0314, 1.044189, 689.4968
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 1.962286, 1.697205, -58.41379, 1.475952, 692.5041
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 4.928637, 0.7291309, -155.8463, 2.589783, 696.9454
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -13.14877, 4.744446, 141.622, 0.9052124, 699.8272
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 5.434507, 2.881764, -157.7253, 1.002563, 702.7646
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, 6.715581, -1.661072, -159.7229, 1.183594, 705.6049
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -7.44635, 4.76759, 148.111, 0.7935791, 707.8323
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 6.348694, -0.2870789, -155.4566, 1.04425, 710.4499
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -10.53851, 4.935584, 243.1684, 1.155518, 713.3457
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, -9.269684, 10.27461, 335.4447, 1.447815, 716.9514
23, Hop4, -3, Hop4, -93, -90, 1, open, open, 4.102854, 2.687558, -163.2721, 0.9471436, 719.778
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, open, 10.00863, -0.8459473, -151.583, 1.587036, 723.2028
25, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, 2.806518, -2.352264, -260.8261, 2.325317, 728.2845
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, closed, 6.499566, 1.817765, -156.8988, 1.211365, 731.598
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, open, 8.601608, -1.634888, -254.7631, 0.9746704, 734.4519
28, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -18.97003, 1.794194, 140.7568, 1.322815, 737.3757
29, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -13.78439, 3.492871, 144.5947, 1.295166, 740.2854
30, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 9.560671, -3.397797, 22.68768, 1.503662, 743.3204
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, 11.18139, -0.4888, 21.95169, 1.225342, 745.9518
32, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -13.67999, 1.73588, 146.3011, 1.197327, 748.9033
33, BakerBerryCharter, -90, PineBackHall, 270, 90, 0, closed, closed, -11.85699, 4.365783, 329.135, 1.267029, 751.827
34, neutral, 0, Fairbanks, -90, -90, 0, open, open, 11.14586, -3.357635, -157.4133, 1.002441, 754.472
35, neutral, 0, Hop2, 89, 90, 0, open, open, -7.480652, 5.607995, 156.44, 0.9885254, 763.1179
36, Zimmerman, -100, Umplebys, 40, 90, 0, closed, closed, -7.408173, 1.073027, 100.7176, 1.016724, 767.7123
37, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 8.754879, -0.7833557, -162.8439, 1.225342, 770.5247
38, Umplebys, -50, RaunerBackHall, -90, -90, 0, closed, closed, 8.582377, 0.1895257, -157.5085, 0.9471436, 775.2026
39, Hop4, -3, Hop4, -93, -90, 1, open, open, 8.30238, -1.64267, -159.3572, 0.9885864, 777.9175
40, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, -10.57703, -0.03994751, 315.2015, 1.294922, 780.7297
41, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -4.583374, 9.312699, 66.69551, 1.754211, 783.8621
42, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 3.537251, 4.144888, -248.4548, 1.057922, 786.9668
43, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, 3.08436, 1.49064, 18.6929, 0.9747314, 789.5146
44, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 3.406157, 3.441387, 20.92194, 0.8635254, 792.0345
45, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, open, -7.641937, 4.362858, 150.122, 1.239136, 794.7773
46, neutral, 0, McLaughlinCluster, 82, -90, 0, closed, closed, 5.444226, -2.7453, 17.01373, 1.072327, 797.3669
47, RaunerFirst, 0, PineEntrance, -90, -90, 0, open, open, 4.757715, 0.2076922, -157.4743, 1.058228, 799.9285
48, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -16.75519, 11.17329, 60.46108, 0.8494873, 802.3373
49, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 5.185036, 5.667145, 18.51404, 0.8770142, 804.9683
50, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -5.938721, 4.871679, 153.104, 0.9885254, 807.5162
51, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, -10.37329, 6.232, 324.2978, 1.392273, 810.4119
52, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, 3.314733, -6.557861, 22.99445, 1.086121, 812.8624
53, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, -12.35327, 8.014462, 327.7867, 1.252808, 815.6048
