trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, 0.03293827, -0.9566345, 343.3236, 1.225342, 487.4513
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -1.311859, 2.121029, 167.356, 0.9605103, 490.319
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 3.148257, 0.5765235, -211.982, 1.183472, 492.8807
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 4.21782, 1.424164, -165.438, 0.9884644, 495.011
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -1.60675, 2.846558, 73.36092, 1.085938, 497.2664
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 3.243571, 5.054674, -162.8858, 1.113831, 499.5079
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -2.283386, 6.843505, 76.81737, 1.057953, 501.6935
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -1.102295, 3.987126, 165.6169, 1.100067, 503.9493
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -1.293762, 1.869306, 165.0834, 0.9467468, 506.1347
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -0.6700745, 1.164578, 342.7669, 1.072052, 508.5713
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -1.902863, 3.730473, 163.9454, 1.085724, 510.924
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 4.796928, 5.606878, -166.9678, 1.211487, 513.4163
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 2.052384, -0.3777466, -206.9655, 0.8634033, 515.4211
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 4.036924, 3.139592, -69.27258, 1.127747, 517.7878
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 3.493633, 0.8579472, -166.0574, 0.9328003, 519.7509
