trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, 1.913964, 8.588063, 338.172, 2.185547, 642.7466
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, 0.7236295, 5.241484, 157.798, 1.211304, 648.5107
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -2.415894, 2.223765, -218.901, 1.113831, 652.1722
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -2.954407, 1.187516, -175.9965, 1.016235, 655.597
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, 0.6359029, 3.614465, 63.09933, 1.141602, 658.8411
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -1.442047, 1.945645, -174.728, 1.016174, 662.3215
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, 0.5723631, 2.237259, 61.61307, 1.099854, 665.3984
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, 0.1089158, 2.344678, 153.4138, 1.447876, 668.6005
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -0.9349976, 2.199849, 155.984, 1.141724, 671.5521
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, 1.544846, 7.343462, 338.5695, 1.768311, 675.7568
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, 2.445879, 7.17658, 157.3825, 1.253357, 679.655
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, -2.798676, 4.156279, -172.8009, 1.350586, 682.7735
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -3.756195, 2.193011, -222.9873, 1.099792, 685.4326
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, -2.564667, 1.064326, -80.70197, 1.072388, 688.0919
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, -3.978149, -1.085205, -172.1548, 0.9609375, 690.4448
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, 1.307353, 3.610782, 147.8737, 1.113586, 693.4796
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, -3.099701, 2.84793, -172.0229, 1.058167, 696.1667
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, -3.860992, -0.519989, -170.553, 1.09967, 698.7004
19, Maynard, 0, Maynard, 90, 90, 1, closed, open, -1.290985, 2.781614, 150.3202, 1.350525, 701.6382
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -1.393799, 2.247979, -172.0556, 1.030579, 705.6199
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, 0.9926674, 2.083492, 245.8568, 1.420105, 708.4323
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, closed, 1.889452, 2.515297, 332.778, 1.252991, 710.994
23, Hop4, -3, Hop4, -93, -90, 1, open, closed, -1.07489, 1.862677, -169.4666, 1.865662, 714.586
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, closed, 0.339048, 4.739195, -192.8006, 1.933472, 717.8714
25, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, 2.808359, 0.06407572, -256.2537, 2.394958, 721.6445
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, closed, -2.887909, -0.2242737, -180.3762, 1.04425, 723.8583
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, closed, -2.823395, 1.737737, -278.4848, 1.09967, 726.1414
28, Maynard, 0, Maynard, 90, 90, 1, closed, open, -5.669189, 2.313692, 145.1189, 2.617676, 730.0259
29, neutral, 0, AllenSt, 90, 90, 0, closed, closed, 5.216336, 3.902244, 150.8027, 1.448242, 733.4646
30, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, -4.763824, 2.388275, 3.854797, 0.9746704, 735.8035
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, closed, -3.993042, 4.378914, 2.76709, 1.127625, 738.212
32, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, 1.286212, 7.183035, 153.0216, 1.267212, 740.7181
33, BakerBerryCharter, -90, PineBackHall, 270, 90, 0, closed, closed, 3.094058, 10.15379, 340.2617, 1.726685, 743.7115
34, neutral, 0, Fairbanks, -90, -90, 0, open, open, -2.373993, -0.4190979, -176.8776, 1.016724, 745.8972
35, neutral, 0, Hop2, 89, 90, 0, open, open, -10.82867, 3.421479, 154.7696, 1.183655, 755.9074
36, Zimmerman, -100, Umplebys, 40, 90, 0, closed, closed, -7.634705, 2.858958, 104.8062, 1.085876, 758.6916
37, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 0.18137, -3.687927, -174.8318, 0.8636475, 760.85
38, Umplebys, -50, RaunerBackHall, -90, -90, 0, closed, closed, 1.264308, -3.61557, -174.9429, 0.8632202, 762.9518
39, Hop4, -3, Hop4, -93, -90, 1, open, open, 2.747603, -1.326202, -176.6528, 1.183411, 765.2908
40, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, closed, -6.980804, 6.592685, 338.9601, 1.935181, 768.3678
41, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -9.342896, 3.107708, 54.96981, 1.308472, 770.7761
42, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 2.881594, 0.02132791, -266.637, 1.141663, 773.0317
43, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, 0.3269389, -1.288513, 5.835754, 1.043823, 775.2172
44, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 0.9847368, -2.302917, 7.150269, 0.9329834, 777.3477
45, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, -12.42947, 3.432518, 159.6481, 1.350098, 779.8395
46, neutral, 0, McLaughlinCluster, 82, -90, 0, closed, closed, 0.7501881, -3.697998, -5.270782, 1.782227, 782.7635
47, RaunerFirst, 0, PineEntrance, -90, -90, 0, open, open, 0.1973786, -1.786255, -169.7283, 1.406006, 785.3112
48, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -10.40903, 3.388941, 56.32091, 1.072205, 787.4971
49, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 0.08390573, -4.202911, 7.965179, 0.9467773, 789.5852
50, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -13.74518, 3.368531, 156.9594, 1.141418, 791.8683
51, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, closed, -14.74597, 6.333026, 329.2, 1.113953, 794.138
52, PineBackHall, 180, PineBackHall, 90, -90, 1, open, closed, 0.4259735, -2.088348, 7.905029, 1.04425, 796.3655
53, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -6.420013, 6.614796, 333.342, 0.9884644, 798.4539
54, Maynard, 0, McLaughlinCluster, 82, -90, 0, closed, closed, -1.778809, -2.674927, 32.96252, 1.600952, 801.1965
55, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -10.27719, 3.670798, 155.6779, 1.072083, 803.3823
56, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -9.270874, 2.833315, 156.7285, 1.545227, 806.0553
57, neutral, 0, Umplebys, 40, 90, 0, closed, closed, -10.32614, 0.1613459, 109.267, 1.072266, 808.2691
58, neutral, 0, PineEntrance, -90, -90, 0, open, open, 5.842743, -1.906189, -170.6796, 1.127991, 810.608
59, RaunerBackHall, 0, Hop2, 89, 90, 0, open, open, -6.13327, 1.222526, 152.6487, 1.252197, 813.0583
60, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, -1.753113, -6.349731, 10.68381, 0.848999, 815.0629
61, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 0.9863934, -5.496979, -261.1658, 1.141663, 817.3325
62, neutral, 0, Maynard, -90, -90, 0, open, open, -0.6698303, -5.835938, -169.2541, 1.267151, 819.8246
63, neutral, 0, PineBackHall, 270, 90, 0, closed, closed, -10.95236, 3.805371, 336.315, 1.030212, 823.9731
64, neutral, 0, BakerBerryHistoric2, 270, 90, 0, open, open, -12.43127, 7.627288, 337.3581, 1.127869, 826.2287
65, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 1.63202, -2.428802, -79.99158, 0.9745483, 828.2891
66, BakerBerryHistoric2, 180, RollinsChapel3, 87, -90, 0, open, open, -1.578278, -3.245728, 8.381134, 0.9191895, 830.308
67, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -11.65216, 6.209508, 158.3405, 0.9464111, 832.424
68, neutral, 0, 53Commons, -90, -90, 0, closed, closed, 6.368192, 0.8652036, -155.3203, 3.257751, 836.7958
69, neutral, 0, MooreLot, 270, 90, 0, open, open, -9.66861, 4.762933, 334.5534, 1.197388, 839.0931
70, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, -11.94183, 1.560372, 150.8328, 1.851685, 842.0585
71, neutral, 0, BakerBerry2nd, 184, 90, 0, open, open, -15.86884, 6.391202, 250.2967, 1.127808, 850.8293
72, PineEntrance, 0, AllenSt, 90, 90, 0, closed, closed, -12.1369, 3.91175, 151.3549, 1.364197, 853.3492
73, PineBackHall, 180, Fairbanks, 90, 90, 0, closed, closed, -13.07745, 3.010517, 150.9298, 1.391907, 855.8273
74, AllenSt, 0, Zimmerman, -10, 90, 0, open, open, -14.07495, 4.522476, 52.57188, 1.099976, 858.0551
75, Hop4, -3, RollinsChapel3, 267, 90, 0, closed, closed, -15.17856, 5.19495, 329.8432, 1.615234, 860.7981
76, BakerBerryHistoric2, 180, RaunerFirst, 90, 90, 0, open, open, -16.64337, 2.723342, 152.7175, 1.127869, 863.0533
77, neutral, 0, BakerBerryCharter, -180, -90, 0, open, open, 0.6584839, 0.3943093, -256.0119, 1.447815, 865.6149
78, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 2.406838, -1.776398, -170.4348, 1.141785, 867.9401
79, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, 0.6261584, -8.74704, 5.02063, 1.336609, 870.3904
80, Maynard, 0, Maynard, -90, -90, 1, open, open, 2.047697, -4.240265, -164.5014, 1.086121, 872.5762
81, neutral, 0, RollinsChapel3, 267, 90, 0, closed, closed, -11.17615, 3.721972, 324.3656, 2.046814, 875.8062
82, PineEntrance, 0, BakerBerryCharter, -180, -90, 0, open, open, 2.02666, -2.897675, -256.372, 1.559021, 878.4373
83, Umplebys, -50, AllenSt, -90, -90, 0, open, open, -1.016785, -2.246826, -169.571, 0.9467163, 880.5397
84, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, 0.1591478, -0.479187, 14.6864, 1.183655, 882.823
85, 53Commons, 0, 53Commons, -90, -90, 1, closed, closed, 2.222728, -1.882111, -167.2887, 1.364136, 885.2592
86, MooreLot, 180, Hop4, -93, -90, 0, open, open, 3.173836, 2.758734, -160.8754, 2.603455, 889.0045
87, Hop2, -1, Umplebys, -140, -90, 0, open, open, 1.439689, -1.763519, -215.1517, 0.9189453, 891.0372
88, 53Commons, 0, McLaughlinCluster, 262, 90, 0, open, open, -8.318237, 5.067388, 322.1686, 1.573303, 893.7658
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, -2.100586, -4.053284, -163.9439, 1.253113, 896.1466
90, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 2.622947, -1.322845, -169.3402, 0.9605103, 898.2488
91, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, 1.230321, -4.727905, -265.1929, 1.114136, 900.4766
92, Hop2, -1, Hop2, 89, 90, 1, open, open, -10.93109, 3.611642, 149.6932, 1.127808, 902.7041
93, AllenSt, 0, AllenSt, 90, 90, 1, closed, closed, -7.022827, 1.812487, 147.6152, 1.002747, 904.8342
94, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, 1, open, open, -10.94382, 0.6991993, 233.4605, 1.503662, 907.939
95, neutral, 0, PineEntrance, 90, 90, 0, closed, closed, -10.82468, 4.212222, 150.9903, 0.9887085, 910.1246
96, PineBackHall, 180, PineBackHall, 270, 90, 1, closed, closed, -10.01376, 3.010058, 329.0749, 1.085876, 912.5051
97, Zimmerman, -100, Zimmerman, -190, -90, 1, closed, closed, -0.3054199, -2.612183, -265.6116, 1.07135, 914.9554
98, RollinsChapel3, 177, Maynard, 90, 90, 0, closed, open, -10.55521, 1.604172, 149.3746, 1.100098, 917.1693
99, MooreLot, 180, MooreLot, 270, 90, 1, open, open, -10.78052, 0.8692535, 327.2275, 1.197388, 919.522
100, RollinsChapel3, 177, RollinsChapel3, 87, -90, 1, open, open, 0.871569, -1.706909, 17.09979, 0.9049072, 921.7079
101, neutral, 0, RaunerFirst, 90, 90, 0, open, open, -10.10315, -0.2626343, 144.4966, 1.128052, 924.1026
102, neutral, 0, Fairbanks, 90, 90, 0, closed, closed, -9.534149, -1.147308, 147.3983, 1.308533, 929.1981
103, neutral, 0, 53Commons, 90, 90, 0, open, open, -11.6499, -1.190491, 148.1462, 1.030029, 933.0129
104, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, 1, closed, closed, -12.64114, 1.32101, 62.62864, 1.072266, 935.4771
105, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 2.515886, -2.640747, -169.6259, 0.9886475, 937.5932
106, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -8.304993, 8.993009, 333.8665, 1.392212, 940.3221
107, neutral, 0, Zimmerman, -10, 90, 0, open, open, -8.848602, 0.3532468, 51.33831, 1.04425, 949.3436
108, neutral, 0, BakerBerry2nd, 4, -90, 0, closed, closed, -1.080566, -2.88681, -75.3533, 1.12793, 951.6409
109, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, -1.401398, -6.853912, 9.762482, 1.169373, 953.91
110, BakerBerry2nd, 94, PineBackHall, 90, -90, 0, open, closed, 0.9096917, -4.544769, 15.01208, 1.266724, 956.2907
111, neutral, 0, Hop4, -93, -90, 0, open, open, 0.6451797, -5.184143, -163.8187, 1.253235, 958.6163
112, MooreLot, 180, MooreLot, 270, 90, 1, open, open, -9.392273, 2.283067, 327.2025, 1.002197, 960.7459
113, neutral, 0, PineBackHall, 90, -90, 0, open, closed, -2.156342, -3.818085, 18.50543, 0.8770142, 962.709
114, neutral, 0, Maynard, 90, 90, 0, closed, open, -9.207397, -2.139526, 136.5564, 0.8913574, 964.6864
115, BakerBerryCharter, -90, MooreLot, 90, -90, 0, closed, closed, -1.351227, -5.086639, 23.22275, 1.211243, 967.0111
116, neutral, 0, RaunerBackHall, 90, 90, 0, open, closed, -9.63092, -2.586761, 132.974, 0.7937012, 968.8907
117, Fairbanks, 0, BakerBerry2nd, 4, -90, 0, closed, closed, 0.05766847, -6.121368, -65.35172, 1.044373, 971.174
118, Umplebys, -50, Umplebys, 40, 90, 1, closed, closed, -6.877228, -3.600891, 90.28001, 1.099854, 973.4013
119, neutral, 0, MooreLot, 90, -90, 0, closed, closed, -1.580353, -9.137451, 21.89108, 1.043457, 975.601
120, Maynard, 0, PineEntrance, 90, 90, 0, closed, closed, -9.490326, -0.3893738, 142.6758, 1.044128, 977.7868
121, neutral, 0, McLaughlinCluster, 262, 90, 0, open, closed, -10.89963, 1.762641, 314.0066, 1.782227, 980.6689
122, RaunerFirst, 0, RaunerFirst, -90, -90, 1, closed, closed, 4.559164, -0.6782227, -176.7632, 2.868103, 984.6925
123, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, -1.314026, -1.601196, -162.5724, 1.113892, 986.8782
124, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -7.0289, -0.868988, 128.1383, 0.9329224, 989.0779
125, neutral, 0, Hop2, -91, -90, 0, closed, closed, 0.2314609, -1.035736, -157.3268, 1.253052, 991.4865
126, RaunerFirst, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, -0.6601257, 2.4492, 28.74634, 1.224182, 993.8253
127, AllenSt, 0, AllenSt, 90, 90, 1, closed, closed, -11.24149, -1.538055, 133.2105, 1.002686, 995.9001
128, Hop4, -3, Hop4, 87, 90, 1, closed, closed, -8.797913, 0.5730799, 123.2917, 0.8770752, 998.0994
129, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, 1, open, open, -12.87213, 5.445514, 323.9368, 1.420166, 1000.647
