trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -3.41687, 8.533259, 349.8984, 1.447815, 611.6832
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, open, -1.05722, -0.3491516, 83.53177, 0.5709839, 617.1547
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -0.9386902, -0.1380615, -145.1374, 0.4179688, 618.4775
4, Hop2, -1, Hop2, -91, -90, 1, closed, open, -1.234772, -0.1679077, -96.19617, 0.3061523, 619.8696
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -1.489716, 0.3637464, -5.071167, 0.4313354, 621.2477
6, Hop2, -1, Hop2, -91, -90, 1, closed, open, -1.515839, -0.4088745, -96.01822, 0.7515259, 623.2668
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -1.559174, -0.3901062, -5.123871, 1.002441, 625.4942
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -1.622772, -0.105072, 84.38266, 0.9607544, 627.6383
9, 53Commons, 0, 53Commons, 90, 90, 1, open, closed, -1.62439, -0.6382141, 84.8345, 1.183777, 630.1724
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, -1.882996, -0.5519409, 261.865, 1.099731, 632.8311
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -1.603943, -0.4864197, 81.67459, 1.044312, 635.1284
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, open, -1.485474, -0.5324707, -95.75647, 0.9049072, 637.328
13, Umplebys, -50, Umplebys, -140, -90, 1, open, closed, -2.035004, -0.6459656, -144.9619, 1.00238, 639.5839
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, open, -1.779266, -0.1737061, -1.27536, 0.9188232, 641.8805
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, closed, -2.129517, -0.7590942, -94.97736, 1.016418, 644.2615
16, Hop2, -1, Hop4, 87, 90, 0, closed, open, -2.18512, -0.8035889, 82.06946, 0.9883423, 646.6699
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, -2.055603, -0.3418884, -94.9476, 0.9749756, 649.0372
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, -1.774323, -0.3595886, -95.48657, 1.044006, 651.4592
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -1.791962, -0.6195984, 84.44214, 0.8773193, 653.6871
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -1.921997, -0.3959045, -95.68958, 1.086182, 656.1651
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, closed, -1.833313, -0.4676208, 178.3898, 0.9049072, 658.3648
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, closed, -1.856659, -0.7695923, 264.4606, 1.057922, 660.7036
23, Hop4, -3, Hop4, -93, -90, 1, open, open, -2.176331, -0.5597229, -98.54346, 0.8632813, 662.9871
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, open, -1.708984, -0.6375122, -95.67685, 0.8769531, 665.284
25, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, -2.007782, -0.5517883, -195.2082, 0.8212891, 667.3028
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, open, -1.589478, -0.4788513, -94.59534, 1.141357, 669.8643
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, closed, -2.424988, -0.9029236, -194.269, 1.127625, 672.2733
28, Maynard, 0, Maynard, 90, 90, 1, closed, open, -2.245422, -1.054626, 85.41968, 1.211121, 674.7651
29, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -1.951324, 0.1287694, 84.64752, 1.141479, 677.1179
30, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, open, -1.844269, -0.5471497, 85.25919, 1.058228, 679.5269
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, -1.957092, 0.1041252, 84.98206, 0.9327393, 681.7265
32, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, closed, -2.062958, -0.1384277, 84.75824, 0.9468384, 683.912
33, BakerBerryCharter, -90, PineBackHall, 270, 90, 0, closed, open, -1.997559, -0.08596802, 264.6597, 0.9467163, 686.0424
34, neutral, 0, Fairbanks, -90, -90, 0, open, closed, -1.999817, -0.5010681, -95.26328, 0.8769531, 688.1584
35, neutral, 0, Hop2, 89, 90, 0, open, closed, -2.222107, 0.241794, 84.52585, 1.169556, 697.5422
36, Zimmerman, -100, Umplebys, 40, 90, 0, closed, open, -2.342133, 0.2235576, 35.46765, 0.9884644, 699.8809
37, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -1.421997, -1.219635, -90.85684, 1.155701, 717.0057
38, Umplebys, -50, RaunerBackHall, -90, -90, 0, closed, closed, -1.305267, -0.5197449, -90.4639, 1.127991, 719.3723
39, Hop4, -3, Hop4, -93, -90, 1, open, open, -2.197449, -1.299683, -93.01111, 1.156128, 721.7814
40, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, 6.190595, 23.42487, 241.8855, 1.545654, 724.8995
41, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -8.320831, 10.22238, 72.9474, 1.253235, 740.9659
42, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, closed, -1.867004, 0.7063377, -183.5748, 0.9608765, 743.1935
43, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, -1.334503, 0.7277959, 83.75534, 0.9606323, 745.3651
44, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, open, -1.106873, 1.407211, 87.46396, 0.8215332, 747.3978
45, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, open, -4.387421, 3.391779, 91.8152, 1.002441, 749.7368
46, neutral, 0, McLaughlinCluster, 82, -90, 0, closed, open, -0.4843445, 3.087553, 78.00903, 0.7796631, 751.6581
47, RaunerFirst, 0, PineEntrance, -90, -90, 0, open, closed, -1.260529, 2.332527, -92.02887, 0.737915, 753.5514
48, Zimmerman, -100, Zimmerman, -10, 90, 1, open, closed, -1.261871, 2.582719, -12.90204, 0.876709, 756.1547
49, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, -1.889832, 1.627493, 87.25369, 0.9053345, 758.3409
50, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, 1.713659, 7.594244, 81.53299, 0.4598389, 761.1254
51, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, closed, -3.089447, 0.4543774, 256.6022, 0.6407471, 762.9075
52, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, -3.166473, 0.5092021, 84.4982, 0.4734497, 764.5363
53, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -3.139404, 0.7942492, 261.8454, 0.5153809, 766.2627
54, Maynard, 0, McLaughlinCluster, 82, -90, 0, closed, open, -3.511261, 0.5934824, 76.8783, 0.6265259, 768.1422
55, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, closed, -3.666504, 0.5169206, 84.79514, 0.9049683, 770.2026
56, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -3.387756, 0.3507802, 84.69357, 0.9743652, 772.3326
57, neutral, 0, Umplebys, 40, 90, 0, closed, closed, -6.573944, 11.78155, 125.9682, 1.615112, 775.1033
58, neutral, 0, PineEntrance, -90, -90, 0, open, open, 17.17073, 9.549572, -153.0449, 1.22522, 777.6648
