trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -10.45374, 2.730646, 345.0373, 1.197144, 668.7038
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, open, -13.63306, 6.268561, 168.8611, 1.030334, 672.7273
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 4.963951, 3.952397, -212.0807, 0.8218384, 675.8738
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 2.683391, 2.225245, -156.7947, 1.3927, 678.6724
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -14.93851, 1.851583, 77.4677, 1.824219, 682.306
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 4.001893, 5.999232, -163.6678, 1.057861, 688.9467
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -11.99292, 2.529615, 75.43321, 1.085266, 691.3554
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -6.759216, -2.931122, 151.8086, 0.75177, 693.4298
9, 53Commons, 0, 53Commons, 90, 90, 1, open, closed, -6.521332, 0.6153184, 158.0227, 0.9608765, 695.8801
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, open, -10.31329, 6.068045, 342.735, 1.058411, 699.862
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -10.52847, 6.319005, 158.9667, 1.252747, 704.0942
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 6.461607, 4.916622, -160.5054, 1.378113, 707.338
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 4.734185, 5.516893, -207.9219, 1.252747, 709.9138
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 6.065559, 5.786126, -66.83185, 1.350342, 713.2271
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, 5.832931, 3.129837, -160.4334, 1.782349, 716.4156
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -9.244934, 2.545763, 153.5555, 0.8215942, 718.5597
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 3.883323, 5.405914, -157.1909, 0.9887695, 720.8986
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, 5.800954, 2.981981, -160.6525, 1.169189, 723.2374
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -10.8194, 4.627445, 162.8417, 1.099976, 725.6877
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 5.35476, 2.954298, -162.942, 0.7518921, 727.6509
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -9.694183, 2.08227, 256.8843, 1.740662, 730.7557
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, -11.40125, 21.47479, 346.7289, 1.642822, 733.7488
23, Hop4, -3, Hop4, -93, -90, 1, open, open, 5.635706, 5.935905, -160.7426, 1.155579, 736.2408
24, MooreLot, 180, 53Commons, -90, -90, 0, closed, closed, 5.488191, 6.943607, -157.9903, 1.851807, 739.2622
25, neutral, 0, Zimmerman, -190, -90, 0, closed, closed, 6.931666, 5.467476, -259.5032, 0.9748535, 741.6429
26, AllenSt, 0, RaunerFirst, -90, -90, 0, closed, closed, 5.809153, 8.293224, -158.5121, 1.002441, 743.9262
27, RollinsChapel3, 177, Zimmerman, -190, -90, 0, closed, closed, 6.310858, 4.253576, -258.3768, 1.350647, 746.613
28, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -15.17578, 4.06824, 163.7661, 1.419922, 749.3416
29, neutral, 0, AllenSt, 90, 90, 0, closed, closed, -10.90112, 7.019576, 160.9709, 1.573059, 752.3349
30, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 5.351042, 4.788948, 25.90021, 0.8913574, 754.9246
31, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, 4.740899, 3.762991, 27.87964, 0.8630981, 757.0128
32, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -11.80731, 3.069469, 164.1401, 1.336731, 759.533
33, BakerBerryCharter, -90, PineBackHall, 270, 90, 0, closed, closed, -12.51529, 3.940841, 343.9909, 1.030518, 761.9136
34, neutral, 0, Fairbanks, -90, -90, 0, open, open, 6.925979, 1.747719, -159.5546, 1.099609, 764.2383
35, neutral, 0, Hop2, 89, 90, 0, open, open, -10.92874, 0.7740552, 157.5588, 1.141541, 797.0811
36, Zimmerman, -100, Umplebys, 40, 90, 0, closed, closed, -11.79758, 3.779392, 114.9099, 1.350281, 799.8377
37, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 5.739515, 2.778415, -158.6397, 0.7659302, 801.7732
38, Umplebys, -50, RaunerBackHall, -90, -90, 0, closed, closed, 3.42626, 5.268795, -146.3498, 1.420227, 804.2932
39, Hop4, -3, Hop4, -93, -90, 1, open, open, 4.212077, 2.947675, -161.0593, 1.239319, 806.646
40, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, -9.579926, 9.646836, 339.9866, 1.392334, 809.2356
41, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -11.91623, 3.669007, 64.78719, 1.545288, 813.607
42, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, closed, 6.436844, 6.882128, -243.3379, 1.197571, 816.0156
43, neutral, 0, RollinsChapel3, 87, -90, 0, open, open, 2.309254, 3.885322, 22.20367, 1.197388, 819.009
44, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, 1, closed, closed, 6.014257, 8.817691, 25.86377, 1.224854, 821.5287
45, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, -9.825775, 3.49527, 146.1899, 1.476013, 824.2158
46, neutral, 0, McLaughlinCluster, 82, -90, 0, closed, closed, 2.052582, 0.3382628, 20.1911, 1.378357, 826.8752
47, RaunerFirst, 0, PineEntrance, -90, -90, 0, open, open, 6.158206, 7.371739, -157.6039, 1.976746, 830.3276
48, Zimmerman, -100, Zimmerman, -10, 90, 1, open, open, -9.536072, -0.5144653, 59.01286, 1.447998, 833.0148
49, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 2.167513, 3.629363, 30.42752, 1.071655, 835.2421
50, RaunerBackHall, 0, RaunerBackHall, 90, 90, 1, open, open, -9.18454, 4.092598, 164.2461, 0.9887085, 837.4979
51, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, 1, open, open, -10.21768, 10.76874, 340.0022, 1.447998, 840.157
52, PineBackHall, 180, PineBackHall, 90, -90, 1, open, open, 8.77335, 7.022166, 21.91653, 0.8493042, 842.3843
53, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -9.699585, 7.685391, 346.6756, 0.9326172, 844.5144
54, Maynard, 0, McLaughlinCluster, 82, -90, 0, closed, closed, 2.664252, 1.415194, 27.57935, 1.252808, 846.9787
55, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -10.70334, 5.109538, 164.4579, 0.8078613, 848.9282
56, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -11.46579, 4.674456, 163.8282, 0.8908691, 851.0718
57, neutral, 0, Umplebys, 40, 90, 0, closed, closed, -8.332397, 3.784884, 113.1949, 1.684937, 853.9263
58, neutral, 0, PineEntrance, -90, -90, 0, open, open, 6.971734, 7.161412, -158.9911, 1.336548, 856.7803
59, RaunerBackHall, 0, Hop2, 89, 90, 0, open, open, -10.3476, 2.616812, 160.9702, 1.462097, 859.4117
60, MooreLot, 180, MooreLot, 90, -90, 1, closed, closed, 4.407602, 5.709899, 28.04706, 1.127808, 861.7923
61, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, 1, open, open, 9.83359, 9.11729, -244.654, 1.364075, 864.451
62, neutral, 0, Maynard, -90, -90, 0, open, open, 6.632045, 7.193834, -155.9891, 1.113831, 866.8182
63, neutral, 0, PineBackHall, 270, 90, 0, closed, closed, -10.49216, 3.475063, 337.9343, 1.141785, 869.3658
64, neutral, 0, BakerBerryHistoric2, 270, 90, 0, open, open, -14.13376, 18.22544, 342.3694, 1.086243, 871.6354
65, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 11.53269, 9.587087, -64.05927, 0.8356323, 874.3086
66, BakerBerryHistoric2, 180, RollinsChapel3, 87, -90, 0, open, open, 3.113825, 5.705361, 23.89307, 1.253113, 876.7866
67, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -12.30725, 21.90837, 155.692, 1.225159, 879.3064
68, neutral, 0, 53Commons, -90, -90, 0, closed, closed, 9.312207, 6.222032, -156.9877, 1.169189, 881.673
69, neutral, 0, MooreLot, 270, 90, 0, open, open, -8.899017, 4.127334, 342.1074, 1.002441, 883.9564
70, Fairbanks, 0, Fairbanks, 90, 90, 1, closed, closed, -11.0376, 3.964334, 160.8579, 1.587524, 886.8245
71, neutral, 0, BakerBerry2nd, 184, 90, 0, open, open, -8.782501, 3.851144, 256.25, 0.8355103, 908.1953
72, PineEntrance, 0, AllenSt, 90, 90, 0, closed, closed, -7.113831, 3.747822, 157.9955, 1.182983, 911.1187
73, PineBackHall, 180, Fairbanks, 90, 90, 0, closed, open, -12.59277, 1.795973, 165.418, 1.155823, 913.5972
74, AllenSt, 0, Zimmerman, -10, 90, 0, open, open, -11.28156, -2.096619, 63.33681, 1.00293, 915.978
75, Hop4, -3, RollinsChapel3, 267, 90, 0, closed, closed, -9.192596, 12.24579, 344.4378, 2.213379, 919.4023
76, BakerBerryHistoric2, 180, RaunerFirst, 90, 90, 0, open, open, -10.67651, 4.050995, 162.6651, 1.112976, 921.9365
77, neutral, 0, BakerBerryCharter, -180, -90, 0, open, open, 9.114315, 5.95904, -247.6526, 1.057983, 924.4843
78, PineEntrance, 0, PineEntrance, -90, -90, 1, open, open, 9.311657, 4.047087, -160.0179, 1.447754, 927.213
79, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, 1, closed, closed, 4.36531, 0.5761208, 20.03607, 1.420654, 929.8447
80, Maynard, 0, Maynard, -90, -90, 1, open, open, 8.799283, 2.460187, -158.708, 1.155579, 932.2249
81, neutral, 0, RollinsChapel3, 267, 90, 0, closed, closed, -6.927704, 12.63183, 341.4472, 2.171814, 935.5525
82, PineEntrance, 0, BakerBerryCharter, -180, -90, 0, open, open, 9.128531, 6.946215, -245.4494, 1.197632, 938.2814
83, Umplebys, -50, AllenSt, -90, -90, 0, open, open, 7.288959, 3.62266, -155.0402, 1.366882, 940.8732
84, neutral, 0, BakerBerryHistoric2, 90, -90, 0, closed, closed, 7.19979, 4.153683, 31.1218, 1.002502, 943.1124
85, 53Commons, 0, 53Commons, -90, -90, 1, closed, closed, 5.464544, 4.279405, -152.018, 1.378296, 945.869
86, MooreLot, 180, Hop4, -93, -90, 0, open, open, 7.868506, 3.987431, -157.3031, 1.183716, 948.3332
87, Hop2, -1, Umplebys, -140, -90, 0, open, open, 6.50981, 3.62181, -203.7971, 1.211975, 950.7004
88, 53Commons, 0, McLaughlinCluster, 262, 90, 0, open, open, -9.163544, 9.958689, 339.4449, 1.475769, 953.3591
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, 1, closed, closed, 8.472974, 5.106474, -157.4624, 0.7379761, 955.6982
90, Fairbanks, 0, Fairbanks, -90, -90, 1, open, open, 7.0204, 2.115985, -157.005, 1.072144, 957.9397
