trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -18.96713, -0.855896, 336.9139, 1.016235, 596.5021
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -20.6076, -1.527802, 150.7882, 0.9190063, 598.6463
3, Umplebys, -50, Umplebys, -140, -90, 1, open, closed, 14.32388, -1.548767, -207.2512, 1.113647, 600.7347
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 18.10644, 5.268337, -164.7064, 1.238953, 602.8509
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, open, -17.15564, 4.569802, 62.78628, 0.9883423, 605.1897
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 16.49057, -3.588684, -162.9881, 1.670654, 607.7517
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -14.21378, 2.893345, 60.10329, 1.100281, 609.687
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -12.25146, 8.939408, 152.9223, 1.169556, 611.761
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -13.35281, 7.545586, 152.25, 1.085754, 613.9328
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -10.38043, 6.184786, 331.7148, 1.016174, 616.0768
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -13.88202, 10.88134, 150.7127, 1.058472, 618.2352
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 18.54317, 4.814103, -161.9022, 0.9605103, 620.2814
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 18.07086, 4.130565, -212.8409, 1.266235, 622.6484
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, 11.60435, 4.903985, -56.36923, 1.322632, 624.8483
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, closed, 17.95057, 9.805124, -165.9859, 1.099976, 627.0338
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -14.62839, 9.201408, 151.3157, 1.002197, 629.1085
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 16.53845, 8.680634, -165.9319, 0.8909912, 631.0574
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, 14.16747, 14.7951, -172.4266, 0.9049072, 633.0483
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -9.732178, 12.28699, 155.8983, 1.058289, 635.0948
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, 15.55308, 8.03028, -170.7261, 0.8491821, 636.8491
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -7.795441, 11.82425, 248.3491, 1.044006, 638.7562
