trialIdx, primeName, primeAngleYaw, targetName, targetAngleYaw, targetSide, sameScenePrime, correctResponse, response, roll, pitch, yaw, rt, timestamp
1, PineBackHall, 180, MooreLot, 270, 90, 0, open, open, -4.282715, 1.628731, 354.2377, 1.08606, 612.7635
2, PineEntrance, 0, PineEntrance, 90, 90, 1, closed, closed, -4.877197, 2.774098, 176.2906, 0.8914795, 616.4531
3, Umplebys, -50, Umplebys, -140, -90, 1, open, open, -0.9247437, -1.607971, -219.2971, 0.9328613, 618.7777
4, Hop2, -1, Hop2, -91, -90, 1, closed, closed, -1.327209, -2.067474, -168.749, 0.8077393, 622.0357
5, neutral, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -6.276459, 3.019092, 82.04321, 0.9884033, 624.9871
6, Hop2, -1, Hop2, -91, -90, 1, closed, closed, 0.6220347, -2.850006, -171.4758, 0.8492432, 627.1172
7, Fairbanks, 0, BakerBerryCharter, 0, 90, 0, closed, closed, -8.029144, 2.734258, 82.34001, 0.9888916, 629.3732
8, RaunerFirst, 0, RaunerFirst, 90, 90, 1, open, open, -8.968567, 2.757764, 169.367, 0.9047241, 631.6697
9, 53Commons, 0, 53Commons, 90, 90, 1, open, open, -8.671051, 1.262142, 173.7941, 0.8631592, 634.0506
10, RollinsChapel3, 177, RollinsChapel3, 267, 90, 1, closed, closed, -4.09021, 3.949049, 349.4426, 0.9051514, 636.2502
11, neutral, 0, Hop4, 87, 90, 0, closed, closed, -7.264465, 3.572859, 168.3055, 0.8911743, 638.5475
12, neutral, 0, RaunerFirst, -90, -90, 0, closed, closed, 0.3988608, -0.2466736, -174.545, 0.961853, 640.8456
13, Umplebys, -50, Umplebys, -140, -90, 1, open, open, 0.4699143, -1.435272, -219.2642, 0.8220825, 642.8502
14, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, 1, closed, closed, -1.375458, -0.4260559, -78.38675, 0.9191284, 644.938
15, McLaughlinCluster, 172, Maynard, -90, -90, 0, open, open, -1.3013, -3.475677, -173.5576, 0.9746704, 647.1932
16, Hop2, -1, Hop4, 87, 90, 0, closed, closed, -8.017059, 3.307518, 164.8534, 0.9606323, 649.3789
17, neutral, 0, RaunerBackHall, -90, -90, 0, closed, closed, 0.9012846, -0.1054688, -169.6912, 0.9050293, 651.551
18, 53Commons, 0, Fairbanks, -90, -90, 0, open, open, 0.8879417, -3.083893, -172.4485, 0.9050903, 653.6534
19, Maynard, 0, Maynard, 90, 90, 1, closed, closed, -7.331512, 2.398646, 167.9971, 0.9747314, 655.8391
20, AllenSt, 0, AllenSt, -90, -90, 1, open, open, -3.491882, -1.235779, -170.4639, 0.8214722, 657.83
21, Hop4, -3, BakerBerry2nd, 184, 90, 0, open, open, -8.40802, 2.655904, 259.6027, 1.016174, 659.9738
22, BakerBerry2nd, 94, BakerBerryHistoric2, 270, 90, 0, open, open, -7.3414, 7.35655, 345.0445, 1.308777, 662.5636
23, Hop4, -3, Hop4, -93, -90, 1, open, open, -1.949738, 2.209819, -171.9092, 0.8772583, 664.6935
