1, YellowHallway, 0, YellowHallway, -90, -90, none, 1, open, closed, -1.154022, 3.952647, -177.6286, 1.666229, 357.3394
2, neutral, 0, Dublin2, -90, -90, none, 0, closed, closed, -3.360016, 4.076281, -192.7873, 1.801208, 364.6945
3, SeattleNeighborhood9, 0, SeattleNeighborhood9, 90, 90, none, 1, open, open, -3.570709, 2.953674, 184.1239, 1.721863, 369.9325
4, neutral, 0, TriangleArchway, 90, 90, none, 0, closed, closed, -2.583282, -0.6711121, 189.6944, 1.690369, 374.7334
5, ChiltonArch, 0, ChiltonArch, -90, -90, none, 1, open, open, -0.8579102, 5.502813, -188.5582, 1.805206, 382.7991
6, ColumbiaStSeattle, 0, DiningHall, 170, 90, none, 0, open, closed, -7.52652, -3.428101, 259.7887, 1.590881, 385.987
7, RosaPortsmouth, 0, RosaPortsmouth, -90, -90, none, 1, closed, closed, -2.104309, 3.202358, -185.9904, 1.499725, 392.1631
8, YellowHallway, 0, OceanLot, 90, 90, none, 0, open, open, -4.509338, 3.822, 183.0039, 1.559998, 396.5556
9, Dublin2, 0, Dublin2, 90, 90, none, 1, open, open, -3.832275, 2.510484, 180.5495, 2.235352, 401.0266
10, neutral, 0, TrescaBoston, 90, 90, none, 0, closed, closed, -3.391693, 3.316549, 195.5308, 1.602966, 404.6982
11, NewHavenMuseum2, 252, ChurchLot, -90, -90, none, 0, closed, open, -2.097473, 3.327139, -171.8498, 1.388489, 408.3959
12, Hollingworth, 0, Hollingworth, -90, -90, none, 1, open, open, -2.172913, 5.961508, -182.5416, 1.916199, 412.7749
13, ColumbiaStSeattle, 0, ColumbiaStSeattle, 90, 90, none, 1, open, open, -3.773712, 1.768536, 185.6672, 1.360809, 416.8987
14, FenningStEngland, 0, FenningStEngland, 90, 90, none, 1, closed, closed, -4.069977, 2.990024, 189.8783, 2.554962, 421.9437
15, DownhillDriveway, 0, DownhillDriveway, 90, 90, none, 1, closed, closed, -5.809021, 2.907991, 181.0375, 1.638672, 425.7157
16, Rotman, 0, RueRousseletParis, 90, 90, none, 0, closed, closed, -4.569641, 2.228577, 189.4043, 1.646759, 429.1163
17, ChurchLot, 0, ColumbiaStSeattle, -90, -90, none, 0, closed, open, -2.742096, 4.30318, -172.7072, 1.416351, 433.365
18, neutral, 0, WalnutApartment, 90, 90, none, 0, open, open, -3.930511, 6.068156, 182.8307, 3.199524, 437.9528
19, WoodshopDoorway, 0, WoodshopDoorway, -90, -90, none, 1, closed, closed, -2.901398, 6.222036, -162.9861, 1.99939, 443.599
20, RueRousseletParis, 0, RosaPortsmouth, 90, 90, none, 0, open, open, -5.105316, 2.947617, 189.2685, 1.263519, 447.695
21, WallOfHonor, 90, WallOfHonor, 180, 90, none, 1, open, open, -3.381744, 6.750607, 261.0141, 1.860748, 452.657
22, MontessoriBooks, 0, MontessoriBooks, 90, 90, none, 1, open, open, -4.834473, 4.570289, 180.9803, 1.374939, 456.3831
23, neutral, 0, Reykjavik, -90, -90, none, 0, closed, closed, -3.697784, 5.295553, -189.5681, 2.146088, 461.3199
24, OceanLot, 0, ChiltonArch, 90, 90, none, 0, closed, closed, -5.398102, 7.037799, 195.8983, 1.69397, 466.0268
25, SketchBurger, 0, SketchBurger, 90, 90, none, 1, open, open, -6.334259, 5.295263, 184.5836, 1.276917, 469.7077
26, WoodshopDoorway, 0, NorthPlaza, 90, 90, none, 0, open, open, -4.455078, 3.552115, 181.941, 1.591736, 473.9792
27, neutral, 0, Hollingworth, 90, 90, none, 0, closed, closed, -4.680084, 6.079121, 185.4435, 2.027161, 478.3529
28, ChurchLot, 0, ChurchLot, 90, 90, none, 1, open, open, -5.140259, 4.109752, 193.6313, 1.707916, 482.4073
29, neutral, 0, FuFoundation, 180, -90, none, 0, open, closed, -2.878784, 3.19914, 79.77982, 1.754852, 486.3696
30, NewHavenMuseum2, 252, NewHavenMuseum2, 342, 90, none, 1, closed, open, -5.265411, 4.648755, 441.583, 1.374725, 490.8683
31, neutral, 0, MontessoriBooks, -90, -90, none, 0, closed, closed, -3.427216, 5.367647, -182.7087, 1.667053, 494.84
32, neutral, 0, BennettPlace, 90, 90, none, 0, closed, closed, -4.259064, 6.954187, 192.0314, 2.266235, 499.8823
33, RueRousseletParis, 0, RueRousseletParis, -90, -90, none, 1, open, open, -2.966431, 4.353117, -177.9724, 1.777466, 504.0062
34, 31stStNewYork, 0, 31stStNewYork, -90, -90, none, 1, open, open, -2.242157, 1.388466, -171.7388, 1.569122, 508.4095
35, DiningHall, 80, CottageAve, -90, -90, none, 0, open, closed, -3.732666, 2.58567, -185.726, 2.580078, 532.4689
36, TriangleArchway, 0, TriangleArchway, -90, -90, none, 1, open, closed, -1.777374, 7.502784, -175.6402, 1.610535, 536.0372
37, KnoxCollege, 84, KnoxCollege, -6, -90, none, 1, open, open, -2.833038, 7.36015, -90.13043, 1.958069, 540.7501
38, neutral, 0, SketchBurger, -90, -90, none, 0, closed, closed, -1.969086, 9.271691, -169.4339, 1.860779, 544.749
39, Portland3, 0, SwarthmoreFriends, 50, -90, none, 0, closed, closed, -2.430939, 6.895427, -37.80554, 1.425598, 548.8499
40, neutral, 0, KnoxCollege, 174, 90, none, 0, closed, closed, -3.693115, 8.971403, 281.7118, 1.361084, 552.2239
41, neutral, 0, DownhillDriveway, -90, -90, none, 0, open, open, -0.9212341, 8.30541, -174.839, 1.33313, 555.7367
42, WalnutApartment, 0, WalnutApartment, -90, -90, none, 1, closed, closed, -3.634003, 10.48351, -174.9149, 1.930054, 559.916
43, SeattleNeighborhood9, 0, FuFoundationHall, 90, 90, none, 0, closed, closed, -4.014313, 5.797223, 181.527, 1.288025, 563.0089
44, Portland3, 0, Portland3, 90, 90, none, 1, open, open, -4.815063, 4.148599, 176.3683, 1.610657, 566.6189
45, MountVernon, 0, MountVernon, 90, 90, none, 1, closed, closed, -3.878082, 6.073205, 180.8071, 1.58313, 570.3448
46, WallOfHonor, 90, SeattleNeighborhood9, -90, -90, none, 0, closed, closed, 0.5496154, 8.048018, -174.4406, 1.666382, 575.3016
47, BennettPlace, 0, BennettPlace, -90, -90, none, 1, open, open, -2.832458, 4.6149, -169.4897, 1.458008, 579.217
48, FuFoundation, 270, FuFoundation, 360, 90, none, 1, closed, closed, -4.321442, 6.431355, 456.2176, 1.374634, 582.7297
49, neutral, 0, MarketColorado, -90, -90, none, 0, open, open, -2.900208, 5.93384, -178.2692, 1.917725, 586.7579
50, Rotman, 0, Rotman, 90, 90, none, 1, open, open, -4.904724, 6.66591, 187.5433, 1.485657, 590.3265
51, neutral, 0, ViaAgency, 90, 90, none, 0, open, open, -6.058105, 6.97757, 192.6473, 2.059692, 594.191
52, TrescaBoston, 0, TrescaBoston, -90, -90, none, 1, open, closed, -1.570587, 9.702182, -174.5917, 2.360352, 598.6202
53, Reykjavik, 0, Reykjavik, 90, 90, none, 1, open, open, -4.295898, 5.312444, 183.602, 1.29126, 601.8135
54, ChiltonArch, 0, NewHavenMuseum2, 162, -90, none, 0, open, open, -1.685364, 6.907363, 79.08307, 1.458069, 605.4932
55, DiningHall, 80, DiningHall, -10, -90, none, 1, closed, closed, -0.9611816, 6.87353, -92.34436, 1.305298, 608.4921
56, CottageAve, 0, CottageAve, 90, 90, none, 1, closed, closed, -5.464172, 7.265355, 180.997, 1.430298, 612.0883
57, neutral, 0, FenningStEngland, -90, -90, none, 0, open, open, -1.583588, 7.745044, -175.9818, 1.582886, 615.6566
58, NorthPlaza, 0, NorthPlaza, -90, -90, none, 1, closed, closed, -0.7268372, 7.111149, -172.717, 1.360779, 618.9055
59, SwarthmoreFriends, 140, SwarthmoreFriends, 230, 90, none, 1, open, open, -4.665741, 6.617177, 322.8563, 1.444275, 622.2239
60, neutral, 0, ZebraEntry, 90, 90, none, 0, open, closed, -4.602692, 8.294942, 177.827, 2.186523, 626.5763
61, neutral, 0, 31stStNewYork, 90, 90, none, 0, closed, closed, -3.953979, 5.649439, 177.7821, 1.791382, 630.2975
62, FuFoundationHall, 0, FuFoundationHall, -90, -90, none, 1, open, open, -1.316956, 7.528029, -176.2323, 1.444153, 633.8796
63, SwarthmoreFriends, 140, Portland3, -90, -90, none, 0, closed, closed, -1.459137, 9.668997, -165.6163, 1.513489, 637.2952
64, ViaAgency, 0, ViaAgency, -90, -90, none, 1, closed, closed, -1.873932, 10.79512, -172.5024, 1.916748, 642.7247
65, neutral, 0, MountVernon, -90, -90, none, 0, open, open, -1.586548, 6.362463, -172.5291, 1.471924, 646.6394
66, RosaPortsmouth, 0, WallOfHonor, 0, -90, none, 0, closed, closed, -0.9869995, 7.115577, -87.53125, 1.20813, 650.319
