1, YellowHallway, 0, YellowHallway, -90, -90, none, 1, open, open, 4.238369, 2.764878, -173.9091, 2.603729, 208.064
2, neutral, 0, Dublin2, -90, -90, none, 0, closed, closed, -1.565002, 7.825075, -169.3725, 2.162643, 213.5679
3, SeattleNeighborhood9, 0, SeattleNeighborhood9, 90, 90, none, 1, open, open, -6.032867, 12.7055, 173.4055, 2.478394, 218.9732
4, neutral, 0, TriangleArchway, 90, 90, none, 0, closed, closed, -5.481018, 12.92607, 186.563, 2.029694, 223.1469
5, ChiltonArch, 0, ChiltonArch, -90, -90, none, 1, open, open, -0.3273926, 6.902304, -194.3881, 1.476074, 226.3694
6, ColumbiaStSeattle, 0, DiningHall, 170, 90, none, 0, open, open, -6.160339, 10.78628, 269.2828, 1.358948, 229.5575
7, RosaPortsmouth, 0, RosaPortsmouth, -90, -90, none, 1, closed, closed, -1.125854, 7.816761, -187.4778, 1.406189, 232.436
8, YellowHallway, 0, OceanLot, 90, 90, none, 0, open, open, -6.936737, 12.5005, 190.9355, 1.470795, 235.4523
9, Dublin2, 0, Dublin2, 90, 90, none, 1, open, open, -5.73465, 11.36104, 184.1968, 1.475723, 238.2367
10, neutral, 0, TrescaBoston, 90, 90, none, 0, closed, closed, -5.450317, 13.36083, 183.0818, 1.558945, 241.2994
11, NewHavenMuseum2, 252, ChurchLot, -90, -90, none, 0, closed, closed, 1.33832, 9.570399, -180.1447, 2.759247, 245.3483
12, Hollingworth, 0, Hollingworth, -90, -90, none, 1, open, open, -1.892212, 10.63838, -181.7246, 1.879807, 248.6548
13, ColumbiaStSeattle, 0, ColumbiaStSeattle, 90, 90, none, 1, open, open, -5.71106, 12.28821, 185.3018, 1.364548, 251.6062
14, FenningStEngland, 0, FenningStEngland, 90, 90, none, 1, closed, closed, -6.702332, 10.04605, 185.9066, 1.308395, 254.1457
15, DownhillDriveway, 0, DownhillDriveway, 90, 90, none, 1, closed, closed, -6.087616, 11.3327, 186.8152, 1.62915, 257.1564
16, Rotman, 0, RueRousseletParis, 90, 90, none, 0, closed, closed, -6.53067, 11.04693, 188.5035, 1.458374, 259.8283
17, ChurchLot, 0, ColumbiaStSeattle, -90, -90, none, 0, closed, open, -2.59021, 10.17358, -184.9057, 1.754303, 263.3229
18, neutral, 0, WalnutApartment, 90, 90, none, 0, open, open, -3.410583, 11.54769, 186.0438, 1.630157, 266.5122
19, WoodshopDoorway, 0, WoodshopDoorway, -90, -90, none, 1, closed, closed, -5.878571, 10.50432, -160.7827, 2.03299, 269.9616
20, RueRousseletParis, 0, RosaPortsmouth, 90, 90, none, 0, open, open, -4.686401, 9.77394, 183.6756, 1.796234, 273.3449
21, WallOfHonor, 90, WallOfHonor, 180, 90, none, 1, open, open, -3.51181, 10.85211, 275.8301, 1.726471, 276.2621
22, MontessoriBooks, 0, MontessoriBooks, 90, 90, none, 1, open, open, -4.236481, 12.17593, 191.1863, 1.823944, 279.3592
23, neutral, 0, Reykjavik, -90, -90, none, 0, closed, closed, -4.790558, 10.01408, -162.3973, 2.618286, 283.3557
24, OceanLot, 0, ChiltonArch, 90, 90, none, 0, closed, closed, -4.79129, 13.71702, 195.4551, 1.364716, 286.2098
25, SketchBurger, 0, SketchBurger, 90, 90, none, 1, open, open, -5.442535, 15.77995, 191.8131, 1.51767, 289.0013
26, WoodshopDoorway, 0, NorthPlaza, 90, 90, none, 0, open, open, -7.793701, 13.20236, 195.0816, 2.252594, 292.7438
27, neutral, 0, Hollingworth, 90, 90, none, 0, closed, closed, -7.796143, 12.17284, 197.5324, 1.350677, 295.5284
