1, YellowHallway, 0, YellowHallway, -90, -90, none, 1, open, open, 5.388564, 3.747679, -166.404, 1.601349, 285.585
2, neutral, 0, Dublin2, -90, -90, none, 0, closed, closed, 5.141552, 1.057973, -164.2397, 1.543427, 292.5301
3, SeattleNeighborhood9, 0, SeattleNeighborhood9, 90, 90, none, 1, open, open, -11.61493, 2.765404, 152.7402, 2.186096, 297.1416
4, neutral, 0, TriangleArchway, 90, 90, none, 0, closed, closed, -7.185272, 7.054985, 149.9427, 1.641998, 300.9274
5, ChiltonArch, 0, ChiltonArch, -90, -90, none, 1, open, open, 5.785112, 3.566325, -168.0714, 1.420532, 303.8924
6, ColumbiaStSeattle, 0, DiningHall, 170, 90, none, 0, open, open, -6.316833, 2.225701, 231.0563, 1.573547, 307.153
7, RosaPortsmouth, 0, RosaPortsmouth, -90, -90, none, 1, closed, closed, 6.562839, -0.5273132, -162.7804, 1.225403, 310.0966
8, YellowHallway, 0, OceanLot, 90, 90, none, 0, open, open, -8.253601, 1.633776, 146.6382, 2.434509, 314.1321
9, Dublin2, 0, Dublin2, 90, 90, none, 1, open, open, -7.635651, 2.776497, 149.2838, 1.684479, 317.2646
10, neutral, 0, TrescaBoston, 90, 90, none, 0, closed, closed, -7.745209, 2.307276, 149.9417, 1.438202, 320.2483
11, NewHavenMuseum2, 252, ChurchLot, -90, -90, none, 0, closed, closed, 6.017825, 2.339232, -161.285, 1.309235, 322.9996
12, Hollingworth, 0, Hollingworth, -90, -90, none, 1, open, closed, 5.418382, 0.4648887, -161.7994, 1.295044, 325.8752
13, ColumbiaStSeattle, 0, ColumbiaStSeattle, 90, 90, none, 1, open, open, -7.417389, 3.101148, 149.261, 1.545227, 329.1608
14, FenningStEngland, 0, FenningStEngland, 90, 90, none, 1, closed, closed, -9.009125, 2.552166, 147.1371, 1.643219, 332.557
15, DownhillDriveway, 0, DownhillDriveway, 90, 90, none, 1, closed, closed, -9.215759, 2.549669, 149.3125, 1.657166, 335.9737
16, Rotman, 0, RueRousseletParis, 90, 90, none, 0, closed, closed, -4.722809, 0.8459169, 149.0109, 1.563049, 338.821
17, ChurchLot, 0, ColumbiaStSeattle, -90, -90, none, 0, closed, closed, 1.936273, -0.629425, -151.4355, 1.309082, 341.5359
18, neutral, 0, WalnutApartment, 90, 90, none, 0, open, open, -7.970856, 2.570798, 152.4089, 1.178101, 344.2457
19, WoodshopDoorway, 0, WoodshopDoorway, -90, -90, none, 1, closed, closed, 3.991177, -0.003963644, -157.1045, 1.295044, 346.7844
20, RueRousseletParis, 0, RosaPortsmouth, 90, 90, none, 0, open, closed, -9.849854, 2.26631, 151.9444, 1.04425, 349.3463
21, WallOfHonor, 90, WallOfHonor, 180, 90, none, 1, open, open, -8.870514, 1.5126, 242.3951, 3.689789, 356.2156
22, MontessoriBooks, 0, MontessoriBooks, 90, 90, none, 1, open, open, -7.320892, 1.863907, 152.7051, 1.378357, 359.0343
23, neutral, 0, Reykjavik, -90, -90, none, 0, closed, closed, 4.146072, 2.209425, -167.8248, 1.531158, 361.9714
24, OceanLot, 0, ChiltonArch, 90, 90, none, 0, closed, closed, -5.920532, 3.383063, 149.0866, 1.350861, 364.5613
25, SketchBurger, 0, SketchBurger, 90, 90, none, 1, open, open, -7.197723, 2.933179, 151.1614, 1.211578, 367.7303
26, WoodshopDoorway, 0, NorthPlaza, 90, 90, none, 0, open, open, -7.808105, 0.740084, 151.5766, 1.557343, 370.6381
27, neutral, 0, Hollingworth, 90, 90, none, 0, closed, closed, -4.648712, 0.4890103, 152.3862, 2.38089, 374.2997
28, ChurchLot, 0, ChurchLot, 90, 90, none, 1, open, open, -7.52359, 0.1580454, 146.3975, 1.587555, 377.4183
29, neutral, 0, FuFoundation, 180, -90, none, 0, open, open, 3.797878, 2.422277, 100.6635, 1.474579, 380.257
30, NewHavenMuseum2, 252, NewHavenMuseum2, 342, 90, none, 1, closed, closed, -6.960327, 5.121583, 398.4654, 1.322601, 383.1806
31, neutral, 0, MontessoriBooks, -90, -90, none, 0, closed, closed, 9.474482, 0.5554423, -171.1458, 2.29718, 386.9674
32, neutral, 0, BennettPlace, 90, 90, none, 0, closed, closed, -9.403442, 7.314479, 155.46, 1.183289, 390.3226
33, RueRousseletParis, 0, RueRousseletParis, -90, -90, none, 1, open, open, 5.2767, -2.823242, -158.727, 1.656738, 394.3878
34, 31stStNewYork, 0, 31stStNewYork, -90, -90, none, 1, open, open, 0.4305659, 0.04403483, -157.618, 1.30896, 397.0785
35, DiningHall, 80, CottageAve, -90, -90, none, 0, open, open, 4.174348, -1.501099, -158.6335, 1.408508, 411.5601
36, TriangleArchway, 0, TriangleArchway, -90, -90, none, 1, open, closed, 1.644428, -0.05310059, -158.2202, 1.183441, 414.8457
37, KnoxCollege, 84, KnoxCollege, -6, -90, none, 1, open, open, 2.885413, -0.4656067, -75.58508, 1.490021, 417.4341
38, neutral, 0, SketchBurger, -90, -90, none, 0, closed, closed, 3.872968, -2.831787, -159.096, 1.628906, 420.2047
39, Portland3, 0, SwarthmoreFriends, 50, -90, none, 0, closed, closed, 2.649132, -2.573242, -18.55487, 1.380371, 423.2222
40, neutral, 0, KnoxCollege, 174, 90, none, 0, closed, open, -9.895447, 7.831158, 231.6882, 2.102448, 426.5638
41, neutral, 0, DownhillDriveway, -90, -90, none, 0, open, closed, 2.9755, -1.303162, -165.6678, 1.253204, 429.2368
42, WalnutApartment, 0, WalnutApartment, -90, -90, none, 1, closed, closed, 4.853155, -1.44458, -162.208, 1.434021, 432.1186
43, SeattleNeighborhood9, 0, FuFoundationHall, 90, 90, none, 0, closed, closed, 2.109207, 14.93736, 147.4104, 1.388092, 436.6671
44, Portland3, 0, Portland3, 90, 90, none, 1, open, open, -1.446747, 13.29692, 147.4851, 1.517487, 439.4795
45, MountVernon, 0, MountVernon, 90, 90, none, 1, closed, closed, -4.763275, 12.51478, 146.3934, 2.200043, 443.0675
45, MountVernon, 0, MountVernon, 90, 90, none, 1, closed, closed, -4.763275, 12.51478, 146.3934, 2.200043, 443.0675
46, WallOfHonor, 90, SeattleNeighborhood9, -90, -90, none, 0, closed, open, 8.769114, 12.28296, -171.3026, 2.185577, 446.4506
45, MountVernon, 0, MountVernon, 90, 90, none, 1, closed, closed, -4.763275, 12.51478, 146.3934, 2.200043, 443.0675
47, BennettPlace, 0, BennettPlace, -90, -90, none, 1, open, open, 5.67797, 3.885557, -173.8662, 1.336639, 449.416
48, FuFoundation, 270, FuFoundation, 360, 90, none, 1, closed, closed, -7.099915, 5.478555, 424.089, 1.657013, 452.3258
