1, YellowHallway, 0, YellowHallway, -90, -90, none, 1, open, open, 3.747414, 3.080697, -170.2559, 1.471939, 183.6661
2, neutral, 0, Dublin2, -90, -90, none, 0, closed, closed, 1.333361, 9.056642, -169.7871, 1.589188, 189.379
3, SeattleNeighborhood9, 0, SeattleNeighborhood9, 90, 90, none, 1, open, closed, -4.595032, 10.69597, 172.9549, 1.541473, 192.8028
4, neutral, 0, TriangleArchway, 90, 90, none, 0, closed, closed, -3.397064, 16.55231, 172.065, 1.122726, 195.5499
5, ChiltonArch, 0, ChiltonArch, -90, -90, none, 1, open, open, 1.415798, 7.800051, -167.2433, 1.277649, 198.6453
6, ColumbiaStSeattle, 0, DiningHall, 170, 90, none, 0, open, open, -2.201782, 12.63596, 255.1165, 1.715973, 202.2156
7, RosaPortsmouth, 0, RosaPortsmouth, -90, -90, none, 1, closed, closed, 2.784262, 7.464195, -165.3293, 1.152664, 207.5429
8, YellowHallway, 0, OceanLot, 90, 90, none, 0, open, open, -1.418243, 13.03745, 171.1614, 1.41011, 210.6468
9, Dublin2, 0, Dublin2, 90, 90, none, 1, open, open, -1.75238, 12.09874, 170.6304, 1.249588, 213.5488
10, neutral, 0, TrescaBoston, 90, 90, none, 0, closed, closed, -1.952454, 17.12004, 170.772, 1.222778, 216.382
11, NewHavenMuseum2, 252, ChurchLot, -90, -90, none, 0, closed, closed, 2.43339, 7.5226, -164.0045, 1.391525, 219.1857
12, Hollingworth, 0, Hollingworth, -90, -90, none, 1, open, closed, 2.432363, 9.075536, -162.6339, 1.556076, 222.455
13, ColumbiaStSeattle, 0, ColumbiaStSeattle, 90, 90, none, 1, open, open, -0.967804, 12.68371, 169.6634, 1.152313, 225.9809
14, FenningStEngland, 0, FenningStEngland, 90, 90, none, 1, closed, closed, -1.223328, 15.85363, 166.661, 1.443985, 228.9557
15, DownhillDriveway, 0, DownhillDriveway, 90, 90, none, 1, closed, closed, -1.33609, 19.04, 166.678, 1.041733, 231.6112
16, Rotman, 0, RueRousseletParis, 90, 90, none, 0, closed, closed, -0.8112488, 19.63079, 169.8892, 1.136398, 234.235
17, ChurchLot, 0, ColumbiaStSeattle, -90, -90, none, 0, closed, closed, 0.7579515, 9.314278, -168.0058, 1.263535, 237.0398
18, neutral, 0, WalnutApartment, 90, 90, none, 0, open, open, -0.256012, 17.49196, 171.2383, 1.419647, 240.2781
19, WoodshopDoorway, 0, WoodshopDoorway, -90, -90, none, 1, closed, closed, 1.737233, 8.670211, -166.8953, 1.458008, 243.1897
20, RueRousseletParis, 0, RosaPortsmouth, 90, 90, none, 0, open, open, -0.7573853, 16.92735, 170.824, 1.791183, 246.4943
21, WallOfHonor, 90, WallOfHonor, 180, 90, none, 1, open, open, -0.02557373, 17.43961, 259.8345, 1.249802, 249.8256
22, MontessoriBooks, 0, MontessoriBooks, 90, 90, none, 1, open, open, 0.146906, 14.34464, 175.9672, 1.29155, 252.5098
23, neutral, 0, Reykjavik, -90, -90, none, 0, closed, closed, 2.791141, 11.12218, -171.9995, 1.138779, 255.3287
24, OceanLot, 0, ChiltonArch, 90, 90, none, 0, closed, closed, -0.02529907, 17.57819, 172.0985, 1.166443, 258.7721
25, SketchBurger, 0, SketchBurger, 90, 90, none, 1, open, open, -0.08920288, 17.11047, 169.2578, 1.221985, 261.5918
26, WoodshopDoorway, 0, NorthPlaza, 90, 90, none, 0, open, closed, -0.9368896, 16.12437, 172.9117, 1.465546, 264.5292
27, neutral, 0, Hollingworth, 90, 90, none, 0, closed, closed, 1.153926, 15.82533, 173.9449, 1.444214, 267.584
28, ChurchLot, 0, ChurchLot, 90, 90, none, 1, open, open, 0.2235121, 16.13924, 172.5494, 1.194336, 270.3609
29, neutral, 0, FuFoundation, 180, -90, none, 0, open, open, 1.843766, 10.19509, 101.2875, 1.407074, 273.3228
30, NewHavenMuseum2, 252, NewHavenMuseum2, 342, 90, none, 1, closed, closed, 0.4552655, 15.65289, 421.7029, 1.180389, 276.3499
31, neutral, 0, MontessoriBooks, -90, -90, none, 0, closed, closed, 1.479953, 10.99789, -164.9015, 1.444031, 279.2656
32, neutral, 0, BennettPlace, 90, 90, none, 0, closed, closed, 0.2179946, 19.70912, 167.7338, 1.396881, 282.2729
33, RueRousseletParis, 0, RueRousseletParis, -90, -90, none, 1, open, open, 1.235937, 9.31378, -161.496, 1.374573, 284.8416
34, 31stStNewYork, 0, 31stStNewYork, -90, -90, none, 1, open, open, 0.91395, 9.666782, -162.3957, 1.235962, 288.3029
35, DiningHall, 80, CottageAve, -90, -90, none, 0, open, open, 1.493613, 6.820786, -165.3899, 1.483368, 301.1299
36, TriangleArchway, 0, TriangleArchway, -90, -90, none, 1, open, open, 1.502262, 6.983202, -162.5459, 1.999451, 304.6566
37, KnoxCollege, 84, KnoxCollege, -6, -90, none, 1, open, open, 0.6015261, 7.35215, -80.45941, 1.416504, 308.1422
38, neutral, 0, SketchBurger, -90, -90, none, 0, closed, closed, -0.3283691, 7.753019, -164.7228, 1.374786, 310.7109
39, Portland3, 0, SwarthmoreFriends, 50, -90, none, 0, closed, closed, 0.2726035, 9.029479, -21.22565, 1.424408, 313.5989
40, neutral, 0, KnoxCollege, 174, 90, none, 0, closed, closed, -1.299438, 13.4029, 253.3831, 1.388489, 316.4035
41, neutral, 0, DownhillDriveway, -90, -90, none, 0, open, open, 1.014205, 9.739741, -162.1085, 1.66626, 319.7498
42, WalnutApartment, 0, WalnutApartment, -90, -90, none, 1, closed, closed, 0.2890978, 11.1944, -166.2819, 1.374603, 322.3322
43, SeattleNeighborhood9, 0, FuFoundationHall, 90, 90, none, 0, closed, closed, -0.3601685, 11.30305, 165.1993, 1.267426, 325.0298
44, Portland3, 0, Portland3, 90, 90, none, 1, open, open, -2.934113, 8.767445, 167.3746, 1.360718, 328.4039
45, MountVernon, 0, MountVernon, 90, 90, none, 1, closed, closed, -2.656372, 13.64793, 167.2506, 1.43045, 331.3234
