1, YellowHallway, 0, YellowHallway, -90, -90, none, 1, open, open, -0.3903503, 4.950242, -168.672, 1.239334, 165.6752
2, neutral, 0, Dublin2, -90, -90, none, 0, closed, closed, -1.108643, 4.482376, -171.4384, 1.247131, 169.3309
3, SeattleNeighborhood9, 0, SeattleNeighborhood9, 90, 90, none, 1, open, open, -1.926544, 7.303281, 172.5915, 1.448059, 172.1718
4, neutral, 0, TriangleArchway, 90, 90, none, 0, closed, closed, -1.495972, 6.462179, 177.6475, 1.333771, 174.9533
5, ChiltonArch, 0, ChiltonArch, -90, -90, none, 1, open, open, -1.149261, 4.907126, -168.0149, 1.169342, 177.4533
6, ColumbiaStSeattle, 0, DiningHall, 170, 90, none, 0, open, open, -0.02505493, 7.422883, 258.9709, 1.89386, 180.6191
7, RosaPortsmouth, 0, RosaPortsmouth, -90, -90, none, 1, closed, closed, -0.8668518, 5.228796, -169.7514, 1.169601, 183.1991
8, YellowHallway, 0, OceanLot, 90, 90, none, 0, open, open, 0.07569092, 7.640194, 178.4599, 1.323822, 185.8315
9, Dublin2, 0, Dublin2, 90, 90, none, 1, open, open, -0.3810425, 5.666012, 177.1315, 1.197296, 188.3233
10, neutral, 0, TrescaBoston, 90, 90, none, 0, closed, closed, -0.2799683, 8.61477, 177.2449, 1.133423, 190.6541
11, NewHavenMuseum2, 252, ChurchLot, -90, -90, none, 0, closed, closed, -2.383087, 5.846344, -167.9822, 1.079208, 192.9842
12, Hollingworth, 0, Hollingworth, -90, -90, none, 1, open, open, -1.370392, 6.320573, -168.444, 1.225815, 195.3984
13, ColumbiaStSeattle, 0, ColumbiaStSeattle, 90, 90, none, 1, open, open, 0.8326664, 7.481957, 174.666, 0.9329834, 197.5141
14, FenningStEngland, 0, FenningStEngland, 90, 90, none, 1, closed, closed, 0.5894284, 5.695664, 173.2607, 1.294998, 199.9849
15, DownhillDriveway, 0, DownhillDriveway, 90, 90, none, 1, closed, closed, 1.179616, 6.972627, 180.7315, 0.9328003, 202.2036
16, Rotman, 0, RueRousseletParis, 90, 90, none, 0, closed, closed, -0.7178955, 7.914535, 176.1682, 1.357147, 204.7732
17, ChurchLot, 0, ColumbiaStSeattle, -90, -90, none, 0, closed, closed, -1.746979, 5.984469, -170.5487, 1.170853, 207.587
18, neutral, 0, WalnutApartment, 90, 90, none, 0, open, open, -0.0003440677, 6.380619, 169.5934, 1.727982, 210.5247
19, WoodshopDoorway, 0, WoodshopDoorway, -90, -90, none, 1, closed, closed, -1.291687, 7.268482, -170.8913, 1.309128, 213.2401
20, RueRousseletParis, 0, RosaPortsmouth, 90, 90, none, 0, open, open, 0.05054549, 6.905375, 171.2986, 1.044479, 215.6764
21, WallOfHonor, 90, WallOfHonor, 180, 90, none, 1, open, open, 0.1508999, 6.597519, 261.4395, 1.281204, 218.4018
22, MontessoriBooks, 0, MontessoriBooks, 90, 90, none, 1, open, open, 1.928485, 6.303036, 171.9508, 1.016571, 220.7543
23, neutral, 0, Reykjavik, -90, -90, none, 0, closed, closed, -1.526733, 6.877409, -167.6116, 1.178543, 223.0882
