0, McLaughlinCluster, study, 0, 0, study, -0.6746216, -5.87738, -1.49176, 20210827, 15:59:06.35370, 84.79958
0, McLaughlinCluster, study, 0, 0, study, -0.6118469, -5.907715, -1.574677, 20210827, 15:59:06.37025, 84.82207
0, McLaughlinCluster, study, 0, 0, study, -0.607605, -5.911224, -1.599579, 20210827, 15:59:06.37345, 84.82597
0, McLaughlinCluster, study, 0, 0, study, -0.5997925, -5.914825, -1.620209, 20210827, 15:59:06.38736, 84.83989
0, McLaughlinCluster, study, 0, 0, study, -0.5931702, -5.92337, -1.617401, 20210827, 15:59:06.40159, 84.85391
0, McLaughlinCluster, study, 0, 0, study, -0.58078, -5.960052, -1.615417, 20210827, 15:59:06.41537, 84.86771
0, McLaughlinCluster, study, 0, 0, study, -0.5595093, -5.985199, -1.631226, 20210827, 15:59:06.42937, 84.88168
0, McLaughlinCluster, study, 0, 0, study, -0.5554504, -6.0177, -1.62381, 20210827, 15:59:06.44301, 84.89558
0, McLaughlinCluster, study, 0, 0, study, -0.5452576, -6.081848, -1.61853, 20210827, 15:59:06.45901, 84.90951
0, McLaughlinCluster, study, 0, 0, study, -0.5578613, -6.0961, -1.613159, 20210827, 15:59:06.47131, 84.92349
0, McLaughlinCluster, study, 0, 0, study, -0.5498962, -6.133636, -1.622864, 20210827, 15:59:06.48473, 84.93731
0, McLaughlinCluster, study, 0, 0, study, -0.5201416, -6.176849, -1.614685, 20210827, 15:59:06.49917, 84.95144
0, McLaughlinCluster, study, 0, 0, study, -0.5506592, -6.182648, -1.610443, 20210827, 15:59:06.51359, 84.96581
0, McLaughlinCluster, study, 0, 0, study, -0.5688171, -6.208771, -1.599335, 20210827, 15:59:06.52680, 84.97931
0, McLaughlinCluster, study, 0, 0, study, -0.5475769, -6.195099, -1.628815, 20210827, 15:59:06.54102, 84.99321
0, McLaughlinCluster, study, 0, 0, study, -0.5624084, -6.19751, -1.629303, 20210827, 15:59:06.55466, 85.00696
0, McLaughlinCluster, study, 0, 0, study, -0.5603333, -6.200104, -1.638977, 20210827, 15:59:06.56870, 85.02092
0, McLaughlinCluster, study, 0, 0, study, -0.5575867, -6.213806, -1.629883, 20210827, 15:59:06.58261, 85.03484
0, McLaughlinCluster, study, 0, 0, study, -0.5690918, -6.248535, -1.628815, 20210827, 15:59:06.59649, 85.04877
0, McLaughlinCluster, study, 0, 0, study, -0.642395, -6.263367, -1.617126, 20210827, 15:59:06.61046, 85.06266
0, McLaughlinCluster, study, 0, 0, study, -0.6519775, -6.2435, -1.612366, 20210827, 15:59:06.62412, 85.07664
0, McLaughlinCluster, study, 0, 0, study, -0.6388245, -6.240631, -1.588562, 20210827, 15:59:06.63875, 85.09065
0, McLaughlinCluster, study, 0, 0, study, -0.6274719, -6.217743, -1.574707, 20210827, 15:59:06.65218, 85.10443
0, McLaughlinCluster, study, 0, 0, study, -0.6235962, -6.139343, -1.54068, 20210827, 15:59:06.66585, 85.11837
0, McLaughlinCluster, study, 0, 0, study, -0.6180725, -6.090179, -1.517487, 20210827, 15:59:06.68000, 85.13231
0, McLaughlinCluster, study, 0, 0, study, -0.6075134, -6.041138, -1.480713, 20210827, 15:59:06.69390, 85.14625
0, McLaughlinCluster, study, 0, 0, study, -0.5766602, -6.032471, -1.501587, 20210827, 15:59:06.70798, 85.16024
0, McLaughlinCluster, study, 0, 0, study, -0.5666809, -6.005249, -1.519928, 20210827, 15:59:06.72154, 85.1741
0, McLaughlinCluster, study, 0, 0, study, -0.5664368, -5.971252, -1.537201, 20210827, 15:59:06.73573, 85.18801
0, McLaughlinCluster, study, 0, 0, study, -0.5351563, -5.961029, -1.565338, 20210827, 15:59:06.74960, 85.20184
0, McLaughlinCluster, study, 0, 0, study, -0.5401917, -5.941742, -1.611023, 20210827, 15:59:06.76333, 85.21585
0, McLaughlinCluster, study, 0, 0, study, -0.549469, -5.926056, -1.631012, 20210827, 15:59:06.77757, 85.22988
0, McLaughlinCluster, study, 0, 0, study, -0.5547791, -5.939453, -1.66272, 20210827, 15:59:06.79144, 85.24373
0, McLaughlinCluster, study, 0, 0, study, -0.5393066, -5.881348, -1.653839, 20210827, 15:59:06.80516, 85.25773
0, McLaughlinCluster, study, 0, 0, study, -0.5267334, -5.881256, -1.655609, 20210827, 15:59:06.81913, 85.27141
0, McLaughlinCluster, study, 0, 0, study, -0.5315857, -5.895569, -1.651001, 20210827, 15:59:06.83312, 85.28545
0, McLaughlinCluster, study, 0, 0, study, -0.5853882, -5.926941, -1.620026, 20210827, 15:59:06.84684, 85.29934
0, McLaughlinCluster, study, 0, 0, study, -0.5913086, -5.957581, -1.592041, 20210827, 15:59:06.86096, 85.31332
0, McLaughlinCluster, study, 0, 0, study, -0.5995483, -6.033264, -1.573181, 20210827, 15:59:06.87498, 85.32725
0, McLaughlinCluster, study, 0, 0, study, -0.6112366, -6.07074, -1.536133, 20210827, 15:59:06.88884, 85.34116
0, McLaughlinCluster, study, 0, 0, study, -0.6431885, -6.115875, -1.504333, 20210827, 15:59:06.90249, 85.35506
0, McLaughlinCluster, study, 0, 0, study, -0.6528015, -6.164185, -1.495026, 20210827, 15:59:06.91665, 85.36897
0, McLaughlinCluster, study, 0, 0, study, -0.6714783, -6.210785, -1.463318, 20210827, 15:59:06.93067, 85.38289
0, McLaughlinCluster, study, 0, 0, study, -0.6894836, -6.215088, -1.419189, 20210827, 15:59:06.94428, 85.39684
0, McLaughlinCluster, study, 0, 0, study, -0.6910095, -6.229401, -1.391022, 20210827, 15:59:06.95838, 85.41071
0, McLaughlinCluster, study, 0, 0, study, -0.6802979, -6.214325, -1.384216, 20210827, 15:59:06.97243, 85.42474
0, McLaughlinCluster, study, 0, 0, study, -0.7112427, -6.225311, -1.367065, 20210827, 15:59:06.98591, 85.43848
0, McLaughlinCluster, study, 0, 0, study, -0.7443542, -6.205627, -1.366425, 20210827, 15:59:07.00027, 85.4525
0, McLaughlinCluster, study, 0, 0, study, -0.7515869, -6.204224, -1.36441, 20210827, 15:59:07.01415, 85.46642
0, McLaughlinCluster, study, 0, 0, study, -0.7701111, -6.20163, -1.355804, 20210827, 15:59:07.02808, 85.48035
0, McLaughlinCluster, study, 0, 0, study, -0.7919922, -6.188171, -1.365601, 20210827, 15:59:07.04168, 85.49427
0, McLaughlinCluster, study, 0, 0, study, -0.7985229, -6.171326, -1.358826, 20210827, 15:59:07.05638, 85.50822
0, McLaughlinCluster, study, 0, 0, study, -0.8067627, -6.127167, -1.318481, 20210827, 15:59:07.06984, 85.52214
0, McLaughlinCluster, study, 0, 0, study, -0.7910156, -6.126495, -1.308716, 20210827, 15:59:07.08342, 85.536
0, McLaughlinCluster, study, 0, 0, study, -0.817749, -6.125214, -1.303345, 20210827, 15:59:07.09768, 85.55003
0, McLaughlinCluster, study, 0, 0, study, -0.8181152, -6.114777, -1.305084, 20210827, 15:59:07.11157, 85.56388
0, McLaughlinCluster, study, 0, 0, study, -0.8088684, -6.099121, -1.291809, 20210827, 15:59:07.12520, 85.57778
0, McLaughlinCluster, study, 0, 0, study, -0.8200378, -6.095825, -1.283386, 20210827, 15:59:07.13947, 85.59178
0, McLaughlinCluster, study, 0, 0, study, -0.8353271, -6.095642, -1.273804, 20210827, 15:59:07.15365, 85.60559
0, McLaughlinCluster, study, 0, 0, study, -0.8300171, -6.094727, -1.272156, 20210827, 15:59:07.16703, 85.61957
0, McLaughlinCluster, study, 0, 0, study, -0.8222656, -6.0979, -1.271606, 20210827, 15:59:07.18119, 85.63348
