1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -6.78952, 2.084201, 169.1348, 1.76825, 800.6904
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 6.473272, -1.440491, -171.384, 1.127808, 810.1855
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, -6.101563, 2.627229, 167.2404, 1.754211, 817.7173
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, open, -6.420685, 0.8937945, 169.8748, 2.01886, 824.9542
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, 6.269829, -3.565674, 14.96985, 1.977051, 831.9677
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 6.285285, -0.1226501, -170.1349, 1.141724, 837.2859
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -8.283569, -1.424225, 163.0898, 0.9746094, 843.2864
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -7.973724, 1.558841, 161.8867, 2.506104, 850.8185
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 4.936548, 1.301363, 14.72443, 1.197388, 856.3456
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, -5.613434, 1.029649, 169.4706, 1.684631, 861.4905
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, -6.819916, 3.500525, 78.64803, 1.002502, 866.0259
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 4.541556, -0.5991211, 12.50482, 1.809998, 871.2746
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 6.895599, 0.6395873, -165.3355, 1.058167, 876.2727
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, -5.159637, 2.685553, 161.5796, 1.907349, 882.8162
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 3.978424, -1.62146, -66.36255, 1.977051, 887.9674
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 6.403012, 1.191775, -166.5759, 1.169495, 894.4969
17, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -6.897888, 4.085617, 340.8804, 1.462036, 901.4164
18, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -6.130371, 2.784107, 165.5908, 0.9885864, 905.7184
19, Hop4, -3, Hop4, -93, -90, right, 3, open, open, 4.957199, 2.110933, -171.3356, 1.656799, 909.909
20, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -5.566223, 1.825732, 339.4819, 1.55957, 913.9326
21, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -6.80777, 3.859376, 335.3561, 1.15564, 918.3737
22, AllenSt, 0, AllenSt, -90, -90, right, 3, open, open, 4.417484, 0.5936241, -160.2316, 1.740356, 922.6201
23, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -6.178131, 2.614417, 155.0743, 1.141663, 926.226
24, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 4.18416, 1.006403, 25.52838, 0.8354492, 929.7483
25, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, open, -2.569519, 4.413312, 354.2599, 2.631348, 934.9691
26, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -4.048737, 3.557266, 116.6778, 1.58728, 939.3826
27, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, right, 2, open, open, -5.105865, 4.457223, 258.1982, 0.9328613, 943.002
28, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, right, 3, closed, closed, 0.6957714, -13.35416, 9.979126, 3.45282, 949.2531
29, NeutralZimmerman, 0, Zimmerman, -190, -90, left, 2, closed, closed, 5.71361, -2.498688, -268.4424, 1.239258, 953.6867
30, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 4.042442, -4.108917, -157.4356, 1.977112, 958.2253
31, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 5.217117, -0.05514526, -250.7713, 1.266907, 962.1932
32, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -3.712341, 0.8799533, 114.0203, 1.085999, 965.9383
33, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, left, 2, open, open, 3.642293, -0.1177673, -241.4811, 1.281006, 970.1569
34, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 5.894916, -0.1770935, -162.2073, 1.058044, 973.8182
35, RaunerFirst, 0, RaunerFirst, 90, 90, left, 3, open, open, -3.347992, -0.1485596, 163.4349, 4.733704, 981.1415
36, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 4.849851, -2.409363, -74.06366, 0.7797241, 985.7219
37, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 3.86056, -4.09848, 5.761383, 0.8074951, 989.634
