0, McLaughlinCluster, study, 0, 0, study, 1.353084, -1.570526, 4.842203, 20210927, 10:47:06.27605, 19.12688
0, McLaughlinCluster, study, 0, 0, study, 1.547872, -1.749512, 4.820271, 20210927, 10:47:06.29037, 19.14574
0, McLaughlinCluster, study, 0, 0, study, 1.67131, -1.833069, 4.802922, 20210927, 10:47:06.29900, 19.15464
0, McLaughlinCluster, study, 0, 0, study, 1.733185, -1.826843, 4.80044, 20210927, 10:47:06.31317, 19.16853
0, McLaughlinCluster, study, 0, 0, study, 1.786513, -1.820068, 4.802348, 20210927, 10:47:06.32705, 19.18241
0, McLaughlinCluster, study, 0, 0, study, 1.777289, -1.835999, 4.747453, 20210927, 10:47:06.34075, 19.19638
0, McLaughlinCluster, study, 0, 0, study, 1.719175, -1.883972, 4.683655, 20210927, 10:47:06.35509, 19.21041
0, McLaughlinCluster, study, 0, 0, study, 1.656998, -1.901031, 4.615188, 20210927, 10:47:06.36888, 19.22432
0, McLaughlinCluster, study, 0, 0, study, 1.56227, -1.894501, 4.563285, 20210927, 10:47:06.38249, 19.23815
0, McLaughlinCluster, study, 0, 0, study, 1.488275, -1.8479, 4.519782, 20210927, 10:47:06.39716, 19.25218
0, McLaughlinCluster, study, 0, 0, study, 1.449069, -1.8078, 4.489465, 20210927, 10:47:06.41070, 19.26602
0, McLaughlinCluster, study, 0, 0, study, 1.4745, -1.760895, 4.458301, 20210927, 10:47:06.42469, 19.28002
0, McLaughlinCluster, study, 0, 0, study, 1.45585, -1.719055, 4.43714, 20210927, 10:47:06.43826, 19.29392
0, McLaughlinCluster, study, 0, 0, study, 1.441669, -1.701599, 4.434614, 20210927, 10:47:06.45253, 19.30781
0, McLaughlinCluster, study, 0, 0, study, 1.407109, -1.670441, 4.460153, 20210927, 10:47:06.46650, 19.32187
0, McLaughlinCluster, study, 0, 0, study, 1.299263, -1.606384, 4.52526, 20210927, 10:47:06.47994, 19.33566
0, McLaughlinCluster, study, 0, 0, study, 1.282125, -1.498688, 4.556016, 20210927, 10:47:06.49416, 19.34957
0, McLaughlinCluster, study, 0, 0, study, 1.269231, -1.434265, 4.576082, 20210927, 10:47:06.50850, 19.36351
0, McLaughlinCluster, study, 0, 0, study, 1.225002, -1.372375, 4.585479, 20210927, 10:47:06.52189, 19.37758
0, McLaughlinCluster, study, 0, 0, study, 1.224384, -1.355774, 4.597548, 20210927, 10:47:06.53593, 19.39135
0, McLaughlinCluster, study, 0, 0, study, 1.228722, -1.329468, 4.597836, 20210927, 10:47:06.54993, 19.4053
0, McLaughlinCluster, study, 0, 0, study, 1.229875, -1.308044, 4.600169, 20210927, 10:47:06.56346, 19.41913
0, McLaughlinCluster, study, 0, 0, study, 1.228776, -1.300293, 4.599385, 20210927, 10:47:06.57772, 19.4331
0, McLaughlinCluster, study, 0, 0, study, 1.191053, -1.319672, 4.553316, 20210927, 10:47:06.59167, 19.44702
0, McLaughlinCluster, study, 0, 0, study, 1.207511, -1.342255, 4.521649, 20210927, 10:47:06.60567, 19.46101
0, McLaughlinCluster, study, 0, 0, study, 1.21626, -1.338501, 4.496198, 20210927, 10:47:06.61959, 19.47491
0, McLaughlinCluster, study, 0, 0, study, 1.162627, -1.332581, 4.467293, 20210927, 10:47:06.63347, 19.48887
0, McLaughlinCluster, study, 0, 0, study, 1.148288, -1.302185, 4.450429, 20210927, 10:47:06.64728, 19.50268
0, McLaughlinCluster, study, 0, 0, study, 1.189151, -1.296661, 4.443698, 20210927, 10:47:06.66137, 19.51663
0, McLaughlinCluster, study, 0, 0, study, 1.185222, -1.309357, 4.445325, 20210927, 10:47:06.67524, 19.53052
0, McLaughlinCluster, study, 0, 0, study, 1.148359, -1.319427, 4.436007, 20210927, 10:47:06.68916, 19.54449
0, McLaughlinCluster, study, 0, 0, study, 1.141403, -1.327545, 4.435754, 20210927, 10:47:06.70277, 19.55845
0, McLaughlinCluster, study, 0, 0, study, 1.140171, -1.32962, 4.442615, 20210927, 10:47:06.71712, 19.57236
0, McLaughlinCluster, study, 0, 0, study, 1.144205, -1.320679, 4.436359, 20210927, 10:47:06.73099, 19.58631
0, McLaughlinCluster, study, 0, 0, study, 1.143703, -1.293854, 4.414707, 20210927, 10:47:06.74488, 19.6002
0, McLaughlinCluster, study, 0, 0, study, 1.136438, -1.24115, 4.397373, 20210927, 10:47:06.75844, 19.61408
0, McLaughlinCluster, study, 0, 0, study, 1.117856, -1.189667, 4.415989, 20210927, 10:47:06.77267, 19.62806
0, McLaughlinCluster, study, 0, 0, study, 1.092475, -1.129272, 4.403424, 20210927, 10:47:06.78673, 19.64195
0, McLaughlinCluster, study, 0, 0, study, 1.088729, -1.080109, 4.397736, 20210927, 10:47:06.80023, 19.65589
0, McLaughlinCluster, study, 0, 0, study, 1.085811, -1.058502, 4.37659, 20210927, 10:47:06.81444, 19.66977
0, McLaughlinCluster, study, 0, 0, study, 1.066756, -1.008789, 4.35894, 20210927, 10:47:06.82864, 19.68372
0, McLaughlinCluster, study, 0, 0, study, 1.054793, -0.9369202, 4.326934, 20210927, 10:47:06.84211, 19.69777
0, McLaughlinCluster, study, 0, 0, study, 1.037383, -0.8889771, 4.266428, 20210927, 10:47:06.85622, 19.7116
0, McLaughlinCluster, study, 0, 0, study, 1.042681, -0.8182373, 4.191988, 20210927, 10:47:06.87015, 19.72551
0, McLaughlinCluster, study, 0, 0, study, 1.048777, -0.7703857, 4.097747, 20210927, 10:47:06.88390, 19.7395
0, McLaughlinCluster, study, 0, 0, study, 1.046761, -0.7054749, 3.96908, 20210927, 10:47:06.89845, 19.75382
0, McLaughlinCluster, study, 0, 0, study, 1.05693, -0.6853333, 3.830627, 20210927, 10:47:06.91194, 19.76733
0, McLaughlinCluster, study, 0, 0, study, 1.011767, -0.6727295, 3.659025, 20210927, 10:47:06.92577, 19.78119
0, McLaughlinCluster, study, 0, 0, study, 1.006405, -0.6456299, 3.497577, 20210927, 10:47:06.93952, 19.7951
0, McLaughlinCluster, study, 0, 0, study, 1.052402, -0.5870361, 3.266616, 20210927, 10:47:06.95371, 19.80905
0, McLaughlinCluster, study, 0, 0, study, 1.055986, -0.5529175, 3.002278, 20210927, 10:47:06.96761, 19.82301
0, McLaughlinCluster, study, 0, 0, study, 1.071849, -0.4916992, 2.700584, 20210927, 10:47:06.98120, 19.83682
0, McLaughlinCluster, study, 0, 0, study, 1.138255, -0.4271851, 2.36833, 20210927, 10:47:06.99537, 19.85073
0, McLaughlinCluster, study, 0, 0, study, 1.188369, -0.381134, 1.992988, 20210927, 10:47:07.00930, 19.86472
0, McLaughlinCluster, study, 0, 0, study, 1.263117, -0.4120789, 1.58955, 20210927, 10:47:07.02302, 19.87873
0, McLaughlinCluster, study, 0, 0, study, 1.30317, -0.5460815, 1.217341, 20210927, 10:47:07.03758, 19.89259
0, McLaughlinCluster, study, 0, 0, study, 1.485722, -0.6435242, 0.8778235, 20210927, 10:47:07.05131, 19.90662
0, McLaughlinCluster, study, 0, 0, study, 1.781754, -0.7024841, 0.440095, 20210927, 10:47:07.06515, 19.92045
0, McLaughlinCluster, study, 0, 0, study, 2.08849, -0.6826172, -0.2090149, 20210927, 10:47:07.07897, 19.93435
0, McLaughlinCluster, study, 0, 0, study, 2.343245, -0.6580811, -1.07312, 20210927, 10:47:07.09294, 19.9483
0, McLaughlinCluster, study, 0, 0, study, 2.564347, -0.6971741, -2.179047, 20210927, 10:47:07.10687, 19.96221
0, McLaughlinCluster, study, 0, 0, study, 2.707388, -0.8011475, -3.528595, 20210927, 10:47:07.12083, 19.97626
0, McLaughlinCluster, study, 0, 0, study, 2.846928, -0.888092, -5.170959, 20210927, 10:47:07.13473, 19.99008
0, McLaughlinCluster, study, 0, 0, study, 2.879118, -0.9269714, -7.11319, 20210927, 10:47:07.14852, 20.00383
0, McLaughlinCluster, study, 0, 0, study, 2.824909, -0.9337158, -9.124969, 20210927, 10:47:07.16235, 20.01793
0, McLaughlinCluster, study, 0, 0, study, 2.750138, -0.8410645, -11.28268, 20210927, 10:47:07.17640, 20.03178
0, McLaughlinCluster, study, 0, 0, study, 2.716977, -0.7035217, -13.5228, 20210927, 10:47:07.19036, 20.04569
0, McLaughlinCluster, study, 0, 0, study, 2.693049, -0.6203613, -15.81226, 20210927, 10:47:07.20414, 20.05976
0, McLaughlinCluster, study, 0, 0, study, 2.70049, -0.4966736, -18.20984, 20210927, 10:47:07.21822, 20.07361
0, McLaughlinCluster, study, 0, 0, study, 2.731679, -0.4407959, -20.56873, 20210927, 10:47:07.23222, 20.08758
0, McLaughlinCluster, study, 0, 0, study, 2.688767, -0.4144287, -22.77536, 20210927, 10:47:07.24596, 20.10136
0, McLaughlinCluster, study, 0, 0, study, 2.694335, -0.3764343, -24.87878, 20210927, 10:47:07.25997, 20.11528
0, McLaughlinCluster, study, 0, 0, study, 2.791722, -0.3650208, -26.89334, 20210927, 10:47:07.27394, 20.12926
0, McLaughlinCluster, study, 0, 0, study, 2.920575, -0.3190918, -28.88696, 20210927, 10:47:07.28819, 20.14322
0, McLaughlinCluster, study, 0, 0, study, 2.948757, -0.2219238, -30.80692, 20210927, 10:47:07.30151, 20.15709
0, McLaughlinCluster, study, 0, 0, study, 2.967105, -0.1486206, -32.68213, 20210927, 10:47:07.31568, 20.17105
0, McLaughlinCluster, study, 0, 0, study, 2.99991, -0.06271362, -34.58698, 20210927, 10:47:07.32983, 20.18505
0, McLaughlinCluster, study, 0, 0, study, 3.073976, 0.06504161, -36.51706, 20210927, 10:47:07.34324, 20.1989
0, McLaughlinCluster, study, 0, 0, study, 3.03976, 0.2693368, -38.42001, 20210927, 10:47:07.35769, 20.21284
0, McLaughlinCluster, study, 0, 0, study, 2.98163, 0.4183486, -40.23181, 20210927, 10:47:07.37133, 20.2267
0, McLaughlinCluster, study, 0, 0, study, 3.027509, 0.5615975, -41.98947, 20210927, 10:47:07.38555, 20.24062
0, McLaughlinCluster, study, 0, 0, study, 3.043321, 0.6358104, -43.74594, 20210927, 10:47:07.39920, 20.25453
0, McLaughlinCluster, study, 0, 0, study, 3.012393, 0.6906559, -45.49783, 20210927, 10:47:07.41307, 20.2685
0, McLaughlinCluster, study, 0, 0, study, 3.053374, 0.6802987, -47.21262, 20210927, 10:47:07.42724, 20.28261
0, McLaughlinCluster, study, 0, 0, study, 3.065568, 0.5926892, -48.93384, 20210927, 10:47:07.44071, 20.29636
0, McLaughlinCluster, study, 0, 0, study, 2.989379, 0.5398222, -50.71048, 20210927, 10:47:07.45497, 20.31028
0, McLaughlinCluster, study, 0, 0, study, 2.848385, 0.5269491, -52.45691, 20210927, 10:47:07.46880, 20.32413
0, McLaughlinCluster, study, 0, 0, study, 2.721944, 0.5363156, -54.16946, 20210927, 10:47:07.48237, 20.33804
0, McLaughlinCluster, study, 0, 0, study, 2.605899, 0.5846388, -55.84854, 20210927, 10:47:07.49661, 20.35194
0, McLaughlinCluster, study, 0, 0, study, 2.623555, 0.5965064, -57.50739, 20210927, 10:47:07.51051, 20.36587
0, McLaughlinCluster, study, 0, 0, study, 2.627891, 0.6631501, -59.18726, 20210927, 10:47:07.52418, 20.37981
0, McLaughlinCluster, study, 0, 0, study, 2.614999, 0.6709912, -60.8248, 20210927, 10:47:07.53890, 20.39386
0, McLaughlinCluster, study, 0, 0, study, 2.628194, 0.7289204, -62.41409, 20210927, 10:47:07.55255, 20.40787
0, McLaughlinCluster, study, 0, 0, study, 2.619916, 0.8283181, -63.9313, 20210927, 10:47:07.56668, 20.42172
0, McLaughlinCluster, study, 0, 0, study, 2.637584, 1.004319, -65.41595, 20210927, 10:47:07.58021, 20.43555
