1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -0.7443237, 5.004026, 173.7091, 1.294678, 655.8381
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 5.735251, 4.865228, -165.8253, 0.7518921, 663.036
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, 0.1520218, 4.426997, 171.1573, 1.183533, 669.1759
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, open, 0.5860561, 3.168287, 173.0893, 1.211365, 675.5919
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, 5.443753, 7.24626, 12.93671, 1.072205, 681.8401
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 6.361768, 6.168887, -170.056, 0.9188843, 687.966
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, 0.9770775, 2.363651, 172.8122, 1.211365, 693.5211
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, 1.629097, 2.805515, 174.367, 0.9746094, 698.1431
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 6.398503, 5.224514, 10.3739, 0.9885254, 703.4894
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, 0.9959205, 2.266266, 178.3069, 1.002502, 708.6348
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, 1.425963, 1.518206, 81.53168, 1.100037, 713.313
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, open, 8.065525, 4.254972, 14.84055, 1.058105, 718.7705
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 7.382418, 4.72721, -160.4568, 1.058044, 724.1723
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, 1.589235, 4.689139, 168.5153, 1.281067, 728.8643
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 8.022094, 5.220821, -58.84528, 1.058167, 733.4865
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 7.637728, 5.857985, -154.1563, 1.211182, 739.4313
17, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, 1.223253, 4.000559, 343.5448, 1.127808, 743.8724
18, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, 0.3625847, 2.635307, 171.6061, 1.072144, 748.077
19, Hop4, -3, Hop4, -93, -90, right, 3, open, open, 7.244728, 6.824023, -158.4952, 1.016296, 752.0865
20, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, 0.8638566, 3.202177, 345.9438, 1.155823, 757.7671
21, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -0.119873, 3.444275, 335.9336, 1.280823, 762.0829
22, AllenSt, 0, AllenSt, -90, -90, right, 3, open, open, 9.153519, 5.062008, -159.384, 0.9050293, 765.8001
23, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, 0.8549567, 3.937515, 165.1581, 1.113831, 770.0464
24, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 9.105458, 6.194671, 25.16583, 1.04425, 774.2649
25, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, 2.705209, 6.252199, 347.5694, 0.8632813, 779.1795
26, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, 1.327399, 3.653334, 119.3894, 0.8640137, 783.7467
27, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, right, 2, open, open, 2.664334, 5.72633, 262.0086, 0.9885864, 788.3137
28, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, right, 3, closed, open, 4.787661, 6.263005, 28.73093, 1.531616, 793.312
29, NeutralZimmerman, 0, Zimmerman, -190, -90, left, 2, closed, open, 9.01387, 5.366694, -255.7612, 1.225281, 797.8296
30, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 9.25085, 3.687743, -153.0971, 1.016418, 801.8115
31, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 9.724636, 3.68057, -245.6304, 1.127625, 805.9045
