1, RaunerFirst, RaunerFirst, 90, 90, right, -2.135742, -1.279358, 133.4976, 20210928, 11:27:29.63384, 597.3189
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.443207, -1.347412, 136.2065, 20210928, 11:27:29.64808, 597.3328
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.71698, -1.439331, 138.8666, 20210928, 11:27:29.66207, 597.3469
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.899536, -1.565796, 141.3832, 20210928, 11:27:29.67598, 597.3607
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.010559, -1.729004, 143.8226, 20210928, 11:27:29.68953, 597.3747
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.147339, -1.876923, 146.1884, 20210928, 11:27:29.70377, 597.3886
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.303101, -2.028381, 148.5027, 20210928, 11:27:29.71804, 597.4026
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.395721, -2.171692, 150.6976, 20210928, 11:27:29.73133, 597.4164
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.440002, -2.286316, 152.7315, 20210928, 11:27:29.74550, 597.4303
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.439423, -2.368378, 154.6335, 20210928, 11:27:29.75948, 597.4443
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.37915, -2.40033, 156.3849, 20210928, 11:27:29.77299, 597.4581
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.316132, -2.398346, 158.0247, 20210928, 11:27:29.78726, 597.472
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.296448, -2.413361, 159.5886, 20210928, 11:27:29.80120, 597.486
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.32254, -2.450226, 161.0023, 20210928, 11:27:29.81486, 597.5
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.458221, -2.528961, 162.3589, 20210928, 11:27:29.82913, 597.5139
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.614868, -2.634644, 163.6695, 20210928, 11:27:29.84326, 597.528
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.579102, -2.736755, 164.8028, 20210928, 11:27:29.85692, 597.5417
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.403931, -2.811951, 165.7716, 20210928, 11:27:29.87046, 597.5555
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.296509, -2.829468, 166.6473, 20210928, 11:27:29.88483, 597.5695
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.297302, -2.793549, 167.4941, 20210928, 11:27:29.89878, 597.5836
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.359985, -2.763763, 168.3574, 20210928, 11:27:29.91238, 597.5975
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.394287, -2.712616, 169.1179, 20210928, 11:27:29.92656, 597.6113
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.360474, -2.73468, 169.7769, 20210928, 11:27:29.94040, 597.6252
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.345764, -2.740234, 170.3987, 20210928, 11:27:29.95412, 597.6392
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.335297, -2.706635, 170.9127, 20210928, 11:27:29.96827, 597.6531
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.299225, -2.690491, 171.3691, 20210928, 11:27:29.98261, 597.6672
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.268555, -2.614441, 171.7877, 20210928, 11:27:29.99611, 597.6809
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.273315, -2.460052, 172.1636, 20210928, 11:27:30.00980, 597.6948
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.28653, -2.328918, 172.4908, 20210928, 11:27:30.02403, 597.7087
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.322021, -2.281647, 172.7543, 20210928, 11:27:30.03791, 597.7227
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.388733, -2.301056, 172.9862, 20210928, 11:27:30.05165, 597.7367
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.412445, -2.275116, 173.1546, 20210928, 11:27:30.06606, 597.7507
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.412659, -2.222504, 173.2875, 20210928, 11:27:30.07985, 597.7646
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.414307, -2.102112, 173.3838, 20210928, 11:27:30.09341, 597.7785
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.439758, -1.982941, 173.4698, 20210928, 11:27:30.10752, 597.7922
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.461304, -1.851379, 173.4875, 20210928, 11:27:30.12168, 597.8062
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.462616, -1.750092, 173.4967, 20210928, 11:27:30.13541, 597.8201
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.432068, -1.667603, 173.4584, 20210928, 11:27:30.14911, 597.8342
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.420837, -1.612122, 173.4227, 20210928, 11:27:30.16316, 597.848
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.508636, -1.54364, 173.387, 20210928, 11:27:30.17720, 597.8619
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.532318, -1.460388, 173.3289, 20210928, 11:27:30.19069, 597.8759
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.494812, -1.363098, 173.2377, 20210928, 11:27:30.20497, 597.8898
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.45929, -1.265717, 173.1255, 20210928, 11:27:30.21898, 597.9036
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.4534, -1.193329, 173.0003, 20210928, 11:27:30.23250, 597.9176
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.471893, -1.11972, 172.8742, 20210928, 11:27:30.24724, 597.9317
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.482727, -1.052094, 172.7419, 20210928, 11:27:30.26107, 597.9456
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.46106, -0.9788208, 172.6009, 20210928, 11:27:30.27430, 597.9594
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.381805, -0.8950195, 172.4411, 20210928, 11:27:30.28846, 597.9733
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.35614, -0.8799438, 172.2499, 20210928, 11:27:30.30271, 597.9872
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.360382, -0.9233704, 172.0732, 20210928, 11:27:30.31636, 598.0012
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.32489, -0.950592, 171.909, 20210928, 11:27:30.33007, 598.0151
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.264709, -0.9308167, 171.7572, 20210928, 11:27:30.34449, 598.0291
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.195648, -0.9059753, 171.6313, 20210928, 11:27:30.35802, 598.0428
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.173767, -0.8740845, 171.4965, 20210928, 11:27:30.37165, 598.0567
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.162537, -0.8365479, 171.3641, 20210928, 11:27:30.38584, 598.0707
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.225403, -0.8392639, 171.2451, 20210928, 11:27:30.39984, 598.0847
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.254028, -0.8849487, 171.1522, 20210928, 11:27:30.41357, 598.0986
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.188568, -0.9367676, 171.0706, 20210928, 11:27:30.42787, 598.1126
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.113617, -1.00116, 170.9983, 20210928, 11:27:30.44170, 598.1265
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.105713, -0.9875793, 170.9352, 20210928, 11:27:30.45560, 598.1404
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.096497, -0.9125671, 170.8946, 20210928, 11:27:30.46922, 598.1544
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.047577, -0.8826599, 170.8833, 20210928, 11:27:30.48340, 598.1682
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.016174, -0.8858032, 170.8565, 20210928, 11:27:30.49738, 598.1822
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.01712, -0.8408813, 170.854, 20210928, 11:27:30.51098, 598.1961
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.006653, -0.851593, 170.825, 20210928, 11:27:30.52510, 598.21
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.983612, -0.8433533, 170.7687, 20210928, 11:27:30.53920, 598.2239
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.970581, -0.8383789, 170.6874, 20210928, 11:27:30.55277, 598.2379
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.956268, -0.890686, 170.6246, 20210928, 11:27:30.56697, 598.2517
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.938538, -0.90271, 170.5716, 20210928, 11:27:30.58092, 598.2656
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.928558, -0.89505, 170.504, 20210928, 11:27:30.59518, 598.28
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.952606, -0.8562012, 170.435, 20210928, 11:27:30.60845, 598.2934
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.997803, -0.8053589, 170.3555, 20210928, 11:27:30.62294, 598.3077
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.04483, -0.7852478, 170.2738, 20210928, 11:27:30.63669, 598.3214
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.034027, -0.7664185, 170.1855, 20210928, 11:27:30.65040, 598.3353
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.015045, -0.7484741, 170.13, 20210928, 11:27:30.66445, 598.3492
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.999573, -0.6989441, 170.0557, 20210928, 11:27:30.67870, 598.3632
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.996948, -0.6592712, 170.006, 20210928, 11:27:30.69186, 598.3769
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.98465, -0.6065674, 169.9513, 20210928, 11:27:30.70645, 598.3909
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.924835, -0.5832214, 169.8961, 20210928, 11:27:30.72018, 598.4049
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.914917, -0.5640869, 169.8789, 20210928, 11:27:30.73366, 598.4188
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.938324, -0.5690613, 169.8405, 20210928, 11:27:30.74805, 598.4329
