0, McLaughlinCluster, study, 0, 0, study, 9.382035, 12.07649, 15.42014, 20210928, 17:00:20.08737, 21.4374
0, McLaughlinCluster, study, 0, 0, study, 8.860913, 11.29414, 15.04497, 20210928, 17:00:20.10278, 21.4598
0, McLaughlinCluster, study, 0, 0, study, 8.753336, 11.08669, 14.90807, 20210928, 17:00:20.10540, 21.46247
0, McLaughlinCluster, study, 0, 0, study, 8.719893, 10.88963, 14.66773, 20210928, 17:00:20.11960, 21.47678
0, McLaughlinCluster, study, 0, 0, study, 8.636445, 10.80999, 14.47328, 20210928, 17:00:20.13342, 21.49056
0, McLaughlinCluster, study, 0, 0, study, 8.503659, 10.81994, 14.34313, 20210928, 17:00:20.14724, 21.5044
0, McLaughlinCluster, study, 0, 0, study, 8.342895, 10.92551, 14.25845, 20210928, 17:00:20.16093, 21.51825
0, McLaughlinCluster, study, 0, 0, study, 8.215354, 11.07172, 14.20014, 20210928, 17:00:20.17663, 21.53218
0, McLaughlinCluster, study, 0, 0, study, 8.156261, 11.23918, 14.16655, 20210928, 17:00:20.18981, 21.54685
0, McLaughlinCluster, study, 0, 0, study, 8.194208, 11.43888, 14.17476, 20210928, 17:00:20.20304, 21.56017
0, McLaughlinCluster, study, 0, 0, study, 8.325502, 11.67261, 14.1286, 20210928, 17:00:20.21662, 21.57398
0, McLaughlinCluster, study, 0, 0, study, 8.415489, 11.91603, 14.07532, 20210928, 17:00:20.23092, 21.58797
0, McLaughlinCluster, study, 0, 0, study, 8.45049, 12.17752, 14.00829, 20210928, 17:00:20.24477, 21.60188
0, McLaughlinCluster, study, 0, 0, study, 8.491281, 12.43269, 13.98273, 20210928, 17:00:20.25848, 21.61586
0, McLaughlinCluster, study, 0, 0, study, 8.451188, 12.67157, 13.93678, 20210928, 17:00:20.27254, 21.62968
0, McLaughlinCluster, study, 0, 0, study, 8.461439, 12.96138, 13.90224, 20210928, 17:00:20.28648, 21.64361
0, McLaughlinCluster, study, 0, 0, study, 8.465446, 13.32824, 13.93622, 20210928, 17:00:20.30034, 21.65768
0, McLaughlinCluster, study, 0, 0, study, 8.424854, 13.65722, 13.90199, 20210928, 17:00:20.31430, 21.67136
0, McLaughlinCluster, study, 0, 0, study, 8.386704, 13.7634, 13.82255, 20210928, 17:00:20.32854, 21.68542
0, McLaughlinCluster, study, 0, 0, study, 8.366954, 13.75932, 13.68095, 20210928, 17:00:20.34193, 21.69929
0, McLaughlinCluster, study, 0, 0, study, 8.353445, 13.82407, 13.64471, 20210928, 17:00:20.35657, 21.7133
0, McLaughlinCluster, study, 0, 0, study, 8.378738, 13.85204, 13.62212, 20210928, 17:00:20.37024, 21.72727
0, McLaughlinCluster, study, 0, 0, study, 8.425353, 13.7436, 13.52062, 20210928, 17:00:20.38401, 21.74108
0, McLaughlinCluster, study, 0, 0, study, 8.374718, 13.51567, 13.37286, 20210928, 17:00:20.39754, 21.7549
