1, RaunerFirst, RaunerFirst, 90, 90, right, 0.5730175, 3.875838, 96.18254, 20211005, 15:28:30.63228, 685.8713
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.6142468, 3.88972, 96.77834, 20211005, 15:28:30.64621, 685.8852
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.5358053, 3.923525, 97.36283, 20211005, 15:28:30.65979, 685.8991
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.4440106, 3.957886, 97.86726, 20211005, 15:28:30.67408, 685.9131
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.3536199, 3.998152, 98.32079, 20211005, 15:28:30.68788, 685.9269
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.2716517, 4.109054, 98.71804, 20211005, 15:28:30.70190, 685.9409
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.161056, 4.14793, 99.12431, 20211005, 15:28:30.71550, 685.9547
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.01165394, 4.214822, 99.54559, 20211005, 15:28:30.72965, 685.9687
1, RaunerFirst, RaunerFirst, 90, 90, right, -0.08792114, 4.308833, 99.96507, 20211005, 15:28:30.74363, 685.9827
1, RaunerFirst, RaunerFirst, 90, 90, right, -0.1877747, 4.431533, 100.5324, 20211005, 15:28:30.75720, 685.9965
1, RaunerFirst, RaunerFirst, 90, 90, right, -0.1767578, 4.53407, 101.2316, 20211005, 15:28:30.77162, 686.0106
1, RaunerFirst, RaunerFirst, 90, 90, right, -0.1341858, 4.614347, 102.0013, 20211005, 15:28:30.78541, 686.0244
1, RaunerFirst, RaunerFirst, 90, 90, right, -0.07785034, 4.666729, 102.7964, 20211005, 15:28:30.79895, 686.0383
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.004965437, 4.677656, 103.6824, 20211005, 15:28:30.81330, 686.0523
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.06338502, 4.679849, 104.6802, 20211005, 15:28:30.82725, 686.0662
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.1116118, 4.696484, 105.8437, 20211005, 15:28:30.84215, 686.0812
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.1039555, 4.768355, 107.0977, 20211005, 15:28:30.85473, 686.0941
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.03611366, 4.842587, 108.4919, 20211005, 15:28:30.86898, 686.108
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.02204983, 4.864122, 109.8554, 20211005, 15:28:30.88298, 686.1219
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.08385154, 4.868336, 111.1749, 20211005, 15:28:30.89645, 686.1357
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.1018904, 4.866764, 112.4399, 20211005, 15:28:30.91075, 686.1497
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.01649216, 4.801241, 113.5859, 20211005, 15:28:30.92455, 686.1637
1, RaunerFirst, RaunerFirst, 90, 90, right, -0.1419373, 4.844297, 114.7112, 20211005, 15:28:30.93830, 686.1776
1, RaunerFirst, RaunerFirst, 90, 90, right, -0.3163452, 4.938119, 115.9061, 20211005, 15:28:30.95259, 686.1916
