1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, 1.185873, 12.14609, 168.7575, 1.225708, 687.0831
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 3.200691, 9.562887, -171.386, 1.099915, 694.7678
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, 2.554247, 11.234, 154.3942, 1.447998, 700.6152
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, closed, 1.09645, 10.96993, 166.1617, 1.559448, 706.5294
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, 1.377978, 15.95756, 4.754974, 1.225098, 712.7356
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, closed, -0.4673157, 19.23534, -174.4097, 1.294983, 719.6413
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, 2.368223, 12.50127, 158.8396, 1.113953, 724.6116
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, 2.182318, 13.08698, 159.4218, 1.211487, 729.8603
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, -1.586426, 13.57912, 11.85461, 0.765625, 736.5708
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, 1.249881, 8.538237, 156.641, 0.8355103, 742.6759
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, 2.194423, 10.25203, 64.57589, 1.08606, 749.1363
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, -1.736786, 8.684479, 27.02466, 0.7658081, 755.2623
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 0.07027425, 8.544847, -119.9335, 0.5847778, 760.8033
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, open, 2.15134, 9.628196, 114.8026, 0.9050903, 765.6762
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, -1.130341, 13.95245, -54.78592, 0.7796631, 771.1476
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, closed, 0.02417434, 13.38999, -135.3875, 1.044067, 777.3012
17, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, closed, 1.172494, 14.08337, 326.1938, 1.420227, 784.0119
18, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, 0.1415658, 10.81239, 156.3582, 0.7796631, 789.2048
19, Hop4, -3, Hop4, -93, -90, right, 3, open, open, 0.004457081, 14.68145, -162.2687, 1.113892, 794.3979
20, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, 0.8555635, 11.01906, 338.2263, 1.002502, 799.2429
21, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, closed, 0.5533669, 12.03715, 330.1719, 0.8909912, 804.6864
22, AllenSt, 0, AllenSt, -90, -90, right, 3, open, open, 0.850248, 11.9215, -162.1825, 1.782104, 810.9515
23, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, 4.259093, 10.97984, 129.12, 0.9328613, 817.2305
