1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, closed, 0.6132421, 5.588176, 180.1979, 2.784729, 761.4453
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 0.3831218, -10.56833, -176.0404, 5.346252, 779.8226
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, 3.065376, -0.8336182, 178.791, 2.436584, 793.3552
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, open, 1.162449, -4.764252, 177.5779, 1.893555, 804.4412
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, -0.4581299, -6.476807, 19.25806, 2.394958, 812.369
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 11.0609, 1.94189, -200.0768, 1.085938, 818.1606
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, 1.38603, 1.383462, 199.3842, 1.796326, 826.0688
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, 0.7737328, 12.35707, 177.2531, 1.725525, 835.5497
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 10.90243, 3.877002, -13.24194, 1.030396, 840.9793
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, 3.439827, 3.967061, 197.8267, 1.851807, 846.2346
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, -1.845459, 7.726926, 108.7661, 1.127991, 850.8647
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 12.72761, -1.734253, -4.483643, 0.7518311, 854.4567
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 7.130096, -4.479095, -78.45031, 0.696167, 858.0765
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, 2.234865, 5.227972, 197.9397, 2.074585, 865.6085
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 11.19517, 6.542518, -113.0392, 2.241577, 872.2633
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 15.75753, 3.450005, -217.5514, 1.141663, 876.5792
17, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -2.363312, 11.9117, 364.0695, 2.450317, 882.8303
18, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, 0.3067428, -0.1963501, 185.6497, 2.325439, 890.5159
19, Hop4, -3, Hop4, -93, -90, right, 3, open, open, 7.482827, 5.858125, -192.4268, 0.8353882, 894.7756
20, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, 0.3310295, 2.398784, 384.534, 1.517578, 900.0104
