0, McLaughlinCluster, study, 0, 0, study, 6.055458, -2.453949, -12.26355, 20211015, 12:52:52.53323, 25.37565
0, McLaughlinCluster, study, 0, 0, study, 6.191185, -2.323059, -13.55585, 20211015, 12:52:52.54757, 25.39693
0, McLaughlinCluster, study, 0, 0, study, 6.219744, -2.282684, -13.88245, 20211015, 12:52:52.54878, 25.39856
0, McLaughlinCluster, study, 0, 0, study, 6.19367, -2.22998, -14.20081, 20211015, 12:52:52.56235, 25.41169
0, McLaughlinCluster, study, 0, 0, study, 6.181853, -2.172974, -14.46509, 20211015, 12:52:52.57631, 25.42565
0, McLaughlinCluster, study, 0, 0, study, 6.075362, -2.135345, -14.67731, 20211015, 12:52:52.58982, 25.43957
0, McLaughlinCluster, study, 0, 0, study, 5.883834, -2.075256, -14.85492, 20211015, 12:52:52.60506, 25.45412
0, McLaughlinCluster, study, 0, 0, study, 5.79874, -2.012238, -14.98221, 20211015, 12:52:52.61786, 25.4673
0, McLaughlinCluster, study, 0, 0, study, 5.764763, -1.988037, -15.12314, 20211015, 12:52:52.63175, 25.4811
0, McLaughlinCluster, study, 0, 0, study, 5.709551, -1.934387, -15.27191, 20211015, 12:52:52.64674, 25.49513
0, McLaughlinCluster, study, 0, 0, study, 5.665942, -1.869751, -15.40909, 20211015, 12:52:52.65989, 25.50907
0, McLaughlinCluster, study, 0, 0, study, 5.623228, -1.767639, -15.52408, 20211015, 12:52:52.67387, 25.5234
0, McLaughlinCluster, study, 0, 0, study, 5.534228, -1.729797, -15.64175, 20211015, 12:52:52.68760, 25.53703
0, McLaughlinCluster, study, 0, 0, study, 5.372324, -1.667725, -15.69766, 20211015, 12:52:52.70135, 25.55086
0, McLaughlinCluster, study, 0, 0, study, 5.24871, -1.619659, -15.75769, 20211015, 12:52:52.71528, 25.56471
0, McLaughlinCluster, study, 0, 0, study, 5.178247, -1.585144, -15.83493, 20211015, 12:52:52.72894, 25.57873
0, McLaughlinCluster, study, 0, 0, study, 5.155208, -1.586548, -15.93991, 20211015, 12:52:52.74376, 25.59274
0, McLaughlinCluster, study, 0, 0, study, 5.116569, -1.569702, -16.04034, 20211015, 12:52:52.75709, 25.60662
0, McLaughlinCluster, study, 0, 0, study, 4.959457, -1.539978, -16.05185, 20211015, 12:52:52.77111, 25.62054
0, McLaughlinCluster, study, 0, 0, study, 4.801666, -1.476227, -16.06747, 20211015, 12:52:52.78469, 25.6344
0, McLaughlinCluster, study, 0, 0, study, 4.632102, -1.394012, -16.01425, 20211015, 12:52:52.79895, 25.64831
0, McLaughlinCluster, study, 0, 0, study, 4.534019, -1.343811, -15.96802, 20211015, 12:52:52.81289, 25.6624
0, McLaughlinCluster, study, 0, 0, study, 4.455537, -1.169952, -15.90952, 20211015, 12:52:52.82685, 25.67623
0, McLaughlinCluster, study, 0, 0, study, 4.303847, -1.066681, -15.81482, 20211015, 12:52:52.84070, 25.69012
0, McLaughlinCluster, study, 0, 0, study, 4.041946, -0.9349976, -15.63803, 20211015, 12:52:52.85471, 25.70417
0, McLaughlinCluster, study, 0, 0, study, 3.766198, -0.8378601, -15.41968, 20211015, 12:52:52.86830, 25.71796
0, McLaughlinCluster, study, 0, 0, study, 3.557457, -0.7527771, -15.14032, 20211015, 12:52:52.88248, 25.73192
0, McLaughlinCluster, study, 0, 0, study, 3.305178, -0.7027283, -14.83853, 20211015, 12:52:52.89635, 25.74577
0, McLaughlinCluster, study, 0, 0, study, 3.020514, -0.6641846, -14.45441, 20211015, 12:52:52.91020, 25.75989
0, McLaughlinCluster, study, 0, 0, study, 2.810489, -0.7178345, -14.00327, 20211015, 12:52:52.92447, 25.77368
0, McLaughlinCluster, study, 0, 0, study, 2.716274, -0.4966125, -13.48529, 20211015, 12:52:52.93818, 25.78762
0, McLaughlinCluster, study, 0, 0, study, 2.588315, -0.6374817, -12.81317, 20211015, 12:52:52.95217, 25.8015
0, McLaughlinCluster, study, 0, 0, study, 2.426686, -0.592804, -12.11847, 20211015, 12:52:52.96570, 25.8154
0, McLaughlinCluster, study, 0, 0, study, 2.338246, -0.5519409, -11.24469, 20211015, 12:52:52.98020, 25.82933
0, McLaughlinCluster, study, 0, 0, study, 2.29628, -0.4952393, -10.36798, 20211015, 12:52:52.99378, 25.84326
0, McLaughlinCluster, study, 0, 0, study, 2.31715, -0.4905396, -9.529205, 20211015, 12:52:53.00753, 25.8572
0, McLaughlinCluster, study, 0, 0, study, 2.420984, -0.4122314, -8.728546, 20211015, 12:52:53.02212, 25.87124
0, McLaughlinCluster, study, 0, 0, study, 2.426723, -0.4849548, -7.977448, 20211015, 12:52:53.03559, 25.88501
0, McLaughlinCluster, study, 0, 0, study, 2.409616, -0.4944153, -7.214172, 20211015, 12:52:53.04945, 25.8989
0, McLaughlinCluster, study, 0, 0, study, 2.399475, -0.442688, -6.430054, 20211015, 12:52:53.06368, 25.91289
0, McLaughlinCluster, study, 0, 0, study, 2.354722, -0.4190369, -5.69751, 20211015, 12:52:53.07740, 25.92682
0, McLaughlinCluster, study, 0, 0, study, 2.235967, -0.4083252, -5.12381, 20211015, 12:52:53.09133, 25.94076
0, McLaughlinCluster, study, 0, 0, study, 2.061165, -0.3815918, -4.5802, 20211015, 12:52:53.10497, 25.95466
0, McLaughlinCluster, study, 0, 0, study, 1.929594, -0.388855, -4.093872, 20211015, 12:52:53.11943, 25.96853
0, McLaughlinCluster, study, 0, 0, study, 1.827589, -0.4073486, -3.699799, 20211015, 12:52:53.13315, 25.98254
0, McLaughlinCluster, study, 0, 0, study, 1.701059, -0.43396, -3.321106, 20211015, 12:52:53.14673, 25.99647
0, McLaughlinCluster, study, 0, 0, study, 1.545798, -0.4360962, -3.011841, 20211015, 12:52:53.16123, 26.01037
0, McLaughlinCluster, study, 0, 0, study, 1.317824, -0.3878784, -2.700409, 20211015, 12:52:53.17487, 26.02431
0, McLaughlinCluster, study, 0, 0, study, 1.114396, -0.2845764, -2.408997, 20211015, 12:52:53.18853, 26.03823
0, McLaughlinCluster, study, 0, 0, study, 0.9395143, -0.1739807, -2.062897, 20211015, 12:52:53.20303, 26.05219
0, McLaughlinCluster, study, 0, 0, study, 0.7987948, -0.04351807, -1.73114, 20211015, 12:52:53.21656, 26.06598
0, McLaughlinCluster, study, 0, 0, study, 0.6372481, 0.007317087, -1.328796, 20211015, 12:52:53.23025, 26.07994
0, McLaughlinCluster, study, 0, 0, study, 0.5053584, 0.1118779, -0.9067383, 20211015, 12:52:53.24434, 26.09385
0, McLaughlinCluster, study, 0, 0, study, 0.3957346, 0.2117121, -0.4829407, 20211015, 12:52:53.25865, 26.1078
0, McLaughlinCluster, study, 0, 0, study, 0.268784, 0.3788007, -0.116333, 20211015, 12:52:53.27239, 26.12179
0, McLaughlinCluster, study, 0, 0, study, 0.108139, 0.4004464, 0.3961171, 20211015, 12:52:53.28591, 26.13562
0, McLaughlinCluster, study, 0, 0, study, -0.06414795, 0.4395158, 0.7949468, 20211015, 12:52:53.30038, 26.14955
0, McLaughlinCluster, study, 0, 0, study, -0.2020264, 0.5298019, 1.344536, 20211015, 12:52:53.31411, 26.16352
0, McLaughlinCluster, study, 0, 0, study, -0.4234924, 0.6137629, 1.760119, 20211015, 12:52:53.32765, 26.1774
0, McLaughlinCluster, study, 0, 0, study, -0.6468811, 0.8205405, 2.07058, 20211015, 12:52:53.34222, 26.19133
0, McLaughlinCluster, study, 0, 0, study, -0.6677551, 0.7939096, 2.584334, 20211015, 12:52:53.35580, 26.20527
0, McLaughlinCluster, study, 0, 0, study, -0.6522217, 1.1224, 2.971332, 20211015, 12:52:53.37004, 26.21924
0, McLaughlinCluster, study, 0, 0, study, -0.966156, 1.350846, 3.197853, 20211015, 12:52:53.38395, 26.23313
0, McLaughlinCluster, study, 0, 0, study, -1.409546, 1.333949, 3.576728, 20211015, 12:52:53.39744, 26.24697
0, McLaughlinCluster, study, 0, 0, study, -1.567261, 1.396958, 4.007807, 20211015, 12:52:53.41148, 26.26092
0, McLaughlinCluster, study, 0, 0, study, -1.830414, 1.463106, 4.346559, 20211015, 12:52:53.42552, 26.2749
0, McLaughlinCluster, study, 0, 0, study, -2.194824, 1.617147, 4.680265, 20211015, 12:52:53.43963, 26.28881
0, McLaughlinCluster, study, 0, 0, study, -2.412811, 1.716978, 5.054607, 20211015, 12:52:53.45333, 26.30274
0, McLaughlinCluster, study, 0, 0, study, -2.525269, 1.77017, 5.495619, 20211015, 12:52:53.46720, 26.31663
0, McLaughlinCluster, study, 0, 0, study, -2.677734, 1.783423, 5.969227, 20211015, 12:52:53.48112, 26.3306
0, McLaughlinCluster, study, 0, 0, study, -2.818604, 2.132499, 6.450075, 20211015, 12:52:53.49517, 26.34455
0, McLaughlinCluster, study, 0, 0, study, -2.945984, 2.110641, 6.98927, 20211015, 12:52:53.50876, 26.35847
0, McLaughlinCluster, study, 0, 0, study, -3.081116, 2.196866, 7.498918, 20211015, 12:52:53.52305, 26.3725
0, McLaughlinCluster, study, 0, 0, study, -3.154877, 2.183105, 8.092812, 20211015, 12:52:53.53698, 26.38632
0, McLaughlinCluster, study, 0, 0, study, -3.120361, 2.053646, 8.670751, 20211015, 12:52:53.55074, 26.40017
0, McLaughlinCluster, study, 0, 0, study, -3.090027, 2.096205, 9.191679, 20211015, 12:52:53.56438, 26.41409
0, McLaughlinCluster, study, 0, 0, study, -3.074249, 2.006704, 9.762579, 20211015, 12:52:53.57889, 26.42801
0, McLaughlinCluster, study, 0, 0, study, -3.216095, 2.403058, 10.23698, 20211015, 12:52:53.59258, 26.44201
0, McLaughlinCluster, study, 0, 0, study, -3.315491, 2.499347, 10.68532, 20211015, 12:52:53.60608, 26.45584
0, McLaughlinCluster, study, 0, 0, study, -3.234436, 2.607579, 11.09604, 20211015, 12:52:53.62114, 26.47029
0, McLaughlinCluster, study, 0, 0, study, -3.268463, 2.52783, 11.51408, 20211015, 12:52:53.63435, 26.48379
0, McLaughlinCluster, study, 0, 0, study, -3.378937, 2.440938, 11.88768, 20211015, 12:52:53.64793, 26.4976
0, McLaughlinCluster, study, 0, 0, study, -3.427368, 2.389586, 12.22017, 20211015, 12:52:53.66215, 26.51154
0, McLaughlinCluster, study, 0, 0, study, -3.495361, 2.319, 12.512, 20211015, 12:52:53.67723, 26.52673
0, McLaughlinCluster, study, 0, 0, study, -3.473419, 2.27636, 12.86176, 20211015, 12:52:53.68979, 26.53949
0, McLaughlinCluster, study, 0, 0, study, -3.344177, 2.22912, 13.15206, 20211015, 12:52:53.70409, 26.55331
0, McLaughlinCluster, study, 0, 0, study, -3.184509, 2.285622, 13.49876, 20211015, 12:52:53.71767, 26.56717
0, McLaughlinCluster, study, 0, 0, study, -3.247406, 2.014496, 13.62494, 20211015, 12:52:53.73169, 26.58112
0, McLaughlinCluster, study, 0, 0, study, -3.236908, 2.044411, 13.94139, 20211015, 12:52:53.74563, 26.59506
0, McLaughlinCluster, study, 0, 0, study, -3.107697, 2.09414, 14.13379, 20211015, 12:52:53.75991, 26.609
0, McLaughlinCluster, study, 0, 0, study, -3.106171, 2.212102, 14.32069, 20211015, 12:52:53.77360, 26.62297
0, McLaughlinCluster, study, 0, 0, study, -3.179871, 2.242912, 14.45748, 20211015, 12:52:53.78757, 26.63696
0, McLaughlinCluster, study, 0, 0, study, -3.198425, 2.171767, 14.60433, 20211015, 12:52:53.80135, 26.65078
0, McLaughlinCluster, study, 0, 0, study, -3.242035, 2.0866, 14.69267, 20211015, 12:52:53.81524, 26.66464
0, McLaughlinCluster, study, 0, 0, study, -3.258148, 2.016228, 14.76289, 20211015, 12:52:53.82883, 26.67858
0, McLaughlinCluster, study, 0, 0, study, -3.218567, 1.935985, 14.70126, 20211015, 12:52:53.84334, 26.69257
0, McLaughlinCluster, study, 0, 0, study, -3.203003, 1.916112, 14.74221, 20211015, 12:52:53.85712, 26.70658
0, McLaughlinCluster, study, 0, 0, study, -3.239319, 1.580058, 14.80144, 20211015, 12:52:53.87091, 26.72038
0, McLaughlinCluster, study, 0, 0, study, -3.383331, 1.526189, 14.79944, 20211015, 12:52:53.88482, 26.73426
