1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, 2.460954, -9.894073, 174.9211, 1.698608, 780.135
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, -1.6651, -7.585724, -167.4456, 1.350708, 788.7669
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, 2.490209, -6.924957, 175.4216, 1.392212, 796.0622
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, open, 0.9629241, -8.19397, 185.4136, 1.76825, 803.1218
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, -1.779938, -3.979279, 7.780823, 1.336731, 809.7231
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, -1.65329, -3.918243, -176.1778, 1.378418, 815.682
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, 0.2537392, -7.763123, 174.6236, 2.394531, 822.3088
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -0.09561157, -10.81772, 177.3391, 1.698547, 829.5624
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, -2.229553, -6.494629, 14.396, 1.141846, 843.7214
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, -1.542145, -9.694, 185.5017, 1.141907, 848.0306
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, -1.285278, -6.686676, 96.43356, 1.322632, 852.9161
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, open, -2.151489, -10.8718, 12.57635, 1.615112, 858.3877
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, -1.006622, -6.413666, -171.0842, 1.364319, 863.2325
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, -0.8626709, -4.914612, 173.0247, 2.492249, 873.02
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, -0.2270813, -5.02066, -82.77142, 1.294739, 878.2964
