0, McLaughlinCluster, study, 0, 0, study, -1.53833, -8.522705, -2.500458, 20211019, 11:47:55.75406, 25.77205
0, McLaughlinCluster, study, 0, 0, study, -1.462402, -8.524078, -2.524292, 20211019, 11:47:55.77056, 25.79606
0, McLaughlinCluster, study, 0, 0, study, -1.453186, -8.528412, -2.530273, 20211019, 11:47:55.77288, 25.79868
0, McLaughlinCluster, study, 0, 0, study, -1.471283, -8.52533, -2.533661, 20211019, 11:47:55.78713, 25.81265
0, McLaughlinCluster, study, 0, 0, study, -1.501526, -8.513336, -2.539093, 20211019, 11:47:55.80098, 25.82651
0, McLaughlinCluster, study, 0, 0, study, -1.495453, -8.495178, -2.55249, 20211019, 11:47:55.81486, 25.84042
0, McLaughlinCluster, study, 0, 0, study, -1.483826, -8.465088, -2.575623, 20211019, 11:47:55.82854, 25.85436
0, McLaughlinCluster, study, 0, 0, study, -1.422089, -8.434265, -2.598389, 20211019, 11:47:55.84276, 25.86829
0, McLaughlinCluster, study, 0, 0, study, -1.415131, -8.386017, -2.585876, 20211019, 11:47:55.85661, 25.88218
0, McLaughlinCluster, study, 0, 0, study, -1.415497, -8.365326, -2.584503, 20211019, 11:47:55.87029, 25.89614
0, McLaughlinCluster, study, 0, 0, study, -1.395386, -8.370453, -2.581635, 20211019, 11:47:55.88476, 25.91009
0, McLaughlinCluster, study, 0, 0, study, -1.37796, -8.353943, -2.597534, 20211019, 11:47:55.89867, 25.92398
0, McLaughlinCluster, study, 0, 0, study, -1.346405, -8.342987, -2.623474, 20211019, 11:47:55.91210, 25.938
0, McLaughlinCluster, study, 0, 0, study, -1.340851, -8.303284, -2.631165, 20211019, 11:47:55.92652, 25.95183
0, McLaughlinCluster, study, 0, 0, study, -1.335999, -8.266418, -2.652496, 20211019, 11:47:55.94018, 25.96578
0, McLaughlinCluster, study, 0, 0, study, -1.30661, -8.222107, -2.663086, 20211019, 11:47:55.95399, 25.97981
0, McLaughlinCluster, study, 0, 0, study, -1.26889, -8.147797, -2.682159, 20211019, 11:47:55.96828, 25.99361
0, McLaughlinCluster, study, 0, 0, study, -1.259766, -8.101044, -2.700226, 20211019, 11:47:55.98201, 26.00752
0, McLaughlinCluster, study, 0, 0, study, -1.234802, -8.06308, -2.732727, 20211019, 11:47:55.99581, 26.0214
0, McLaughlinCluster, study, 0, 0, study, -1.201141, -8.064453, -2.779694, 20211019, 11:47:56.00950, 26.03536
0, McLaughlinCluster, study, 0, 0, study, -1.201752, -8.082611, -2.824432, 20211019, 11:47:56.02376, 26.04936
0, McLaughlinCluster, study, 0, 0, study, -1.22287, -8.075806, -2.886108, 20211019, 11:47:56.03756, 26.06322
0, McLaughlinCluster, study, 0, 0, study, -1.248291, -8.047333, -2.94693, 20211019, 11:47:56.05133, 26.0772
0, McLaughlinCluster, study, 0, 0, study, -1.24646, -8.025848, -3.043274, 20211019, 11:47:56.06539, 26.09106
0, McLaughlinCluster, study, 0, 0, study, -1.255341, -8.031555, -3.151245, 20211019, 11:47:56.07937, 26.10498
0, McLaughlinCluster, study, 0, 0, study, -1.264313, -8.011475, -3.231628, 20211019, 11:47:56.09307, 26.11888
0, McLaughlinCluster, study, 0, 0, study, -1.280365, -7.989929, -3.307892, 20211019, 11:47:56.10723, 26.13285
0, McLaughlinCluster, study, 0, 0, study, -1.285065, -7.979858, -3.392944, 20211019, 11:47:56.12121, 26.1468
0, McLaughlinCluster, study, 0, 0, study, -1.278015, -7.952423, -3.432037, 20211019, 11:47:56.13523, 26.16079
0, McLaughlinCluster, study, 0, 0, study, -1.262573, -7.922485, -3.479736, 20211019, 11:47:56.14916, 26.17473
0, McLaughlinCluster, study, 0, 0, study, -1.256622, -7.88562, -3.483459, 20211019, 11:47:56.16293, 26.18852
0, McLaughlinCluster, study, 0, 0, study, -1.251678, -7.829803, -3.492279, 20211019, 11:47:56.17695, 26.20248
0, McLaughlinCluster, study, 0, 0, study, -1.228699, -7.753113, -3.46051, 20211019, 11:47:56.19092, 26.21646
0, McLaughlinCluster, study, 0, 0, study, -1.197266, -7.707703, -3.419495, 20211019, 11:47:56.20516, 26.23042
0, McLaughlinCluster, study, 0, 0, study, -1.209595, -7.629974, -3.35733, 20211019, 11:47:56.21908, 26.24435
0, McLaughlinCluster, study, 0, 0, study, -1.246185, -7.547363, -3.270905, 20211019, 11:47:56.23243, 26.25827
0, McLaughlinCluster, study, 0, 0, study, -1.276123, -7.533325, -3.189941, 20211019, 11:47:56.24683, 26.27211
0, McLaughlinCluster, study, 0, 0, study, -1.286377, -7.554718, -3.088715, 20211019, 11:47:56.26076, 26.28602
0, McLaughlinCluster, study, 0, 0, study, -1.303375, -7.56192, -2.983337, 20211019, 11:47:56.27445, 26.30001
0, McLaughlinCluster, study, 0, 0, study, -1.314178, -7.533569, -2.874023, 20211019, 11:47:56.28837, 26.31393
0, McLaughlinCluster, study, 0, 0, study, -1.297913, -7.506561, -2.754547, 20211019, 11:47:56.30259, 26.32779
0, McLaughlinCluster, study, 0, 0, study, -1.316864, -7.434021, -2.613586, 20211019, 11:47:56.31633, 26.34188
0, McLaughlinCluster, study, 0, 0, study, -1.332855, -7.377075, -2.48053, 20211019, 11:47:56.32991, 26.35569
0, McLaughlinCluster, study, 0, 0, study, -1.331329, -7.288208, -2.323822, 20211019, 11:47:56.34434, 26.36964
0, McLaughlinCluster, study, 0, 0, study, -1.420715, -7.225861, -2.165009, 20211019, 11:47:56.35829, 26.38353
0, McLaughlinCluster, study, 0, 0, study, -1.480469, -7.126282, -1.985992, 20211019, 11:47:56.37168, 26.39748
0, McLaughlinCluster, study, 0, 0, study, -1.534119, -7.052032, -1.798859, 20211019, 11:47:56.38625, 26.41151
0, McLaughlinCluster, study, 0, 0, study, -1.626556, -6.970886, -1.571198, 20211019, 11:47:56.39978, 26.42537
0, McLaughlinCluster, study, 0, 0, study, -1.719757, -6.901062, -1.338135, 20211019, 11:47:56.41356, 26.43927
0, McLaughlinCluster, study, 0, 0, study, -1.829651, -6.769196, -1.037781, 20211019, 11:47:56.42754, 26.4531
0, McLaughlinCluster, study, 0, 0, study, -2.023346, -6.62558, -0.7071533, 20211019, 11:47:56.44166, 26.46711
0, McLaughlinCluster, study, 0, 0, study, -2.245819, -6.472656, -0.2671509, 20211019, 11:47:56.45549, 26.48102
0, McLaughlinCluster, study, 0, 0, study, -2.385529, -6.250763, 0.1595536, 20211019, 11:47:56.46913, 26.495
0, McLaughlinCluster, study, 0, 0, study, -2.536102, -6.001251, 0.6263893, 20211019, 11:47:56.48335, 26.50892
