0, McLaughlinCluster, study, 0, 0, study, 2.18034, 0.4543827, -6.024994, 20211019, 13:34:31.13275, 19.31455
0, McLaughlinCluster, study, 0, 0, study, 2.196037, 1.042666, -5.74353, 20211019, 13:34:31.14834, 19.33706
0, McLaughlinCluster, study, 0, 0, study, 2.201999, 1.18449, -5.684204, 20211019, 13:34:31.15193, 19.34072
0, McLaughlinCluster, study, 0, 0, study, 2.198801, 1.296079, -5.624451, 20211019, 13:34:31.16579, 19.3548
0, McLaughlinCluster, study, 0, 0, study, 2.167117, 1.377012, -5.588593, 20211019, 13:34:31.17999, 19.36869
0, McLaughlinCluster, study, 0, 0, study, 2.172643, 1.40842, -5.547272, 20211019, 13:34:31.19375, 19.38257
0, McLaughlinCluster, study, 0, 0, study, 2.162455, 1.39631, -5.514465, 20211019, 13:34:31.20764, 19.39657
0, McLaughlinCluster, study, 0, 0, study, 2.143374, 1.363989, -5.499664, 20211019, 13:34:31.22160, 19.41037
0, McLaughlinCluster, study, 0, 0, study, 2.186939, 1.34218, -5.499451, 20211019, 13:34:31.23569, 19.42447
0, McLaughlinCluster, study, 0, 0, study, 2.204044, 1.26209, -5.518219, 20211019, 13:34:31.24920, 19.43823
0, McLaughlinCluster, study, 0, 0, study, 2.246421, 1.204722, -5.556519, 20211019, 13:34:31.26339, 19.45213
0, McLaughlinCluster, study, 0, 0, study, 2.266479, 1.162405, -5.618439, 20211019, 13:34:31.27744, 19.46611
0, McLaughlinCluster, study, 0, 0, study, 2.325424, 1.200849, -5.668427, 20211019, 13:34:31.29129, 19.48004
0, McLaughlinCluster, study, 0, 0, study, 2.3535, 1.187579, -5.731689, 20211019, 13:34:31.30495, 19.49401
0, McLaughlinCluster, study, 0, 0, study, 2.343995, 1.15817, -5.788391, 20211019, 13:34:31.31897, 19.50779
0, McLaughlinCluster, study, 0, 0, study, 2.354701, 1.230467, -5.835388, 20211019, 13:34:31.33292, 19.52177
0, McLaughlinCluster, study, 0, 0, study, 2.367366, 1.277107, -5.884125, 20211019, 13:34:31.34718, 19.53623
0, McLaughlinCluster, study, 0, 0, study, 2.396084, 1.257081, -5.937439, 20211019, 13:34:31.36083, 19.54964
0, McLaughlinCluster, study, 0, 0, study, 2.47346, 1.285572, -6.007385, 20211019, 13:34:31.37475, 19.56359
0, McLaughlinCluster, study, 0, 0, study, 2.51133, 1.292972, -6.075226, 20211019, 13:34:31.38861, 19.57742
0, McLaughlinCluster, study, 0, 0, study, 2.546731, 1.23884, -6.136719, 20211019, 13:34:31.40298, 19.59145
0, McLaughlinCluster, study, 0, 0, study, 2.564698, 1.209707, -6.2005, 20211019, 13:34:31.41669, 19.60539
0, McLaughlinCluster, study, 0, 0, study, 2.561699, 1.148576, -6.259583, 20211019, 13:34:31.43055, 19.61929
0, McLaughlinCluster, study, 0, 0, study, 2.579388, 1.079988, -6.338745, 20211019, 13:34:31.44448, 19.63324
0, McLaughlinCluster, study, 0, 0, study, 2.611792, 0.9832673, -6.403015, 20211019, 13:34:31.45821, 19.64702
0, McLaughlinCluster, study, 0, 0, study, 2.601692, 0.9326723, -6.469635, 20211019, 13:34:31.47257, 19.66105
0, McLaughlinCluster, study, 0, 0, study, 2.617995, 0.9551753, -6.504517, 20211019, 13:34:31.48613, 19.6749
0, McLaughlinCluster, study, 0, 0, study, 2.645042, 0.9425268, -6.5466, 20211019, 13:34:31.49998, 19.68883
0, McLaughlinCluster, study, 0, 0, study, 2.640883, 1.004386, -6.580322, 20211019, 13:34:31.51385, 19.70267
0, McLaughlinCluster, study, 0, 0, study, 2.61745, 0.9527491, -6.570099, 20211019, 13:34:31.52811, 19.71686
0, McLaughlinCluster, study, 0, 0, study, 2.62075, 0.9203687, -6.533081, 20211019, 13:34:31.54213, 19.73061
0, McLaughlinCluster, study, 0, 0, study, 2.640193, 0.9582877, -6.498779, 20211019, 13:34:31.55568, 19.74448
0, McLaughlinCluster, study, 0, 0, study, 2.647777, 1.043079, -6.424438, 20211019, 13:34:31.56942, 19.75848
0, McLaughlinCluster, study, 0, 0, study, 2.6418, 1.157207, -6.34552, 20211019, 13:34:31.58346, 19.77226
0, McLaughlinCluster, study, 0, 0, study, 2.623356, 1.190236, -6.305054, 20211019, 13:34:31.59750, 19.78631
0, McLaughlinCluster, study, 0, 0, study, 2.602858, 1.222861, -6.253876, 20211019, 13:34:31.61144, 19.80021
0, McLaughlinCluster, study, 0, 0, study, 2.559102, 1.152328, -6.208038, 20211019, 13:34:31.62514, 19.81419
0, McLaughlinCluster, study, 0, 0, study, 2.496352, 1.110974, -6.146423, 20211019, 13:34:31.63936, 19.82811
0, McLaughlinCluster, study, 0, 0, study, 2.422221, 1.010216, -6.068848, 20211019, 13:34:31.65317, 19.84196
0, McLaughlinCluster, study, 0, 0, study, 2.344992, 0.9223294, -5.976196, 20211019, 13:34:31.66678, 19.85586
0, McLaughlinCluster, study, 0, 0, study, 2.273529, 0.8446256, -5.842224, 20211019, 13:34:31.68127, 19.86979
0, McLaughlinCluster, study, 0, 0, study, 2.216058, 0.8121099, -5.697815, 20211019, 13:34:31.69508, 19.8838
0, McLaughlinCluster, study, 0, 0, study, 2.148221, 0.7602494, -5.536285, 20211019, 13:34:31.70898, 19.89774
0, McLaughlinCluster, study, 0, 0, study, 1.997247, 0.7637625, -5.331757, 20211019, 13:34:31.72310, 19.91158
0, McLaughlinCluster, study, 0, 0, study, 1.91687, 0.7526575, -5.127167, 20211019, 13:34:31.73695, 19.92566
0, McLaughlinCluster, study, 0, 0, study, 1.780254, 0.6887277, -4.806213, 20211019, 13:34:31.75069, 19.93947
0, McLaughlinCluster, study, 0, 0, study, 1.645026, 0.6426396, -4.431335, 20211019, 13:34:31.76481, 19.95352
0, McLaughlinCluster, study, 0, 0, study, 1.486855, 0.5935471, -4.015533, 20211019, 13:34:31.77855, 19.96729
0, McLaughlinCluster, study, 0, 0, study, 1.287028, 0.5579227, -3.567444, 20211019, 13:34:31.79255, 19.98127
0, McLaughlinCluster, study, 0, 0, study, 1.027422, 0.4697577, -3.035339, 20211019, 13:34:31.80623, 19.99522
0, McLaughlinCluster, study, 0, 0, study, 0.7185345, 0.4452016, -2.374115, 20211019, 13:34:31.82033, 20.00909
0, McLaughlinCluster, study, 0, 0, study, 0.5025696, 0.4405846, -1.684448, 20211019, 13:34:31.83427, 20.02301
0, McLaughlinCluster, study, 0, 0, study, 0.2702321, 0.4902498, -0.9607849, 20211019, 13:34:31.84823, 20.03699
