1, RaunerFirst, RaunerFirst, 90, 90, right, -0.9229431, 0.05707774, 117.3436, 20211020, 15:48:25.30088, 707.329
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.114777, -0.06820679, 119.7374, 20211020, 15:48:25.31469, 707.3429
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.52713, 0.01373308, 122.0801, 20211020, 15:48:25.32837, 707.3568
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.696289, -0.06350708, 124.347, 20211020, 15:48:25.34265, 707.3708
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.70517, -0.1049194, 126.3496, 20211020, 15:48:25.35663, 707.3848
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.838013, -0.2186584, 127.942, 20211020, 15:48:25.37010, 707.3986
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.108215, -0.217804, 129.1511, 20211020, 15:48:25.38435, 707.4125
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.309296, -0.4122009, 130.232, 20211020, 15:48:25.39835, 707.4265
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.725739, -0.6187134, 131.5951, 20211020, 15:48:25.41233, 707.4406
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.196472, -1.03241, 133.5983, 20211020, 15:48:25.42572, 707.4542
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.439575, -1.542542, 136.4326, 20211020, 15:48:25.43990, 707.4681
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.30426, -2.176086, 139.7079, 20211020, 15:48:25.45411, 707.4821
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.724976, -2.626434, 143.5592, 20211020, 15:48:25.46766, 707.4962
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.892944, -2.964111, 148.0133, 20211020, 15:48:25.48207, 707.51
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.270508, -3.385651, 152.6675, 20211020, 15:48:25.49565, 707.5238
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.867401, -3.439636, 156.9658, 20211020, 15:48:25.50917, 707.5377
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.996582, -3.193298, 160.5555, 20211020, 15:48:25.52362, 707.5518
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.209991, -2.778687, 163.5271, 20211020, 15:48:25.53759, 707.5657
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.464355, -2.327972, 165.7681, 20211020, 15:48:25.55122, 707.5796
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.704163, -1.950867, 167.2972, 20211020, 15:48:25.56548, 707.5936
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.101532, -1.482697, 168.2343, 20211020, 15:48:25.57949, 707.6075
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.62793, -1.084961, 168.6588, 20211020, 15:48:25.59332, 707.6215
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.276428, -0.834259, 168.9042, 20211020, 15:48:25.60690, 707.6354
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.828827, -0.7721252, 169.0288, 20211020, 15:48:25.62106, 707.6493
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.072693, -0.6404724, 169.3146, 20211020, 15:48:25.63497, 707.6632
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.126434, -0.5258789, 169.5417, 20211020, 15:48:25.64857, 707.6771
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.471924, -0.3901367, 169.7725, 20211020, 15:48:25.66287, 707.691
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.859894, -0.2750244, 170.1418, 20211020, 15:48:25.67705, 707.7051
