0, McLaughlinCluster, study, 0, 0, study, -3.785828, 5.128417, -0.7471313, 20211022, 11:01:06.45268, 24.21641
0, McLaughlinCluster, study, 0, 0, study, -3.661255, 4.940085, -1.469604, 20211022, 11:01:06.46707, 24.23792
0, McLaughlinCluster, study, 0, 0, study, -3.611664, 4.904885, -1.623993, 20211022, 11:01:06.47129, 24.24221
0, McLaughlinCluster, study, 0, 0, study, -3.556, 4.872228, -1.750977, 20211022, 11:01:06.48498, 24.25611
0, McLaughlinCluster, study, 0, 0, study, -3.485748, 4.843962, -1.828552, 20211022, 11:01:06.49931, 24.27019
0, McLaughlinCluster, study, 0, 0, study, -3.443512, 4.828532, -1.867157, 20211022, 11:01:06.51326, 24.28402
0, McLaughlinCluster, study, 0, 0, study, -3.423187, 4.829998, -1.923859, 20211022, 11:01:06.52674, 24.29791
0, McLaughlinCluster, study, 0, 0, study, -3.429504, 4.828566, -1.96228, 20211022, 11:01:06.54069, 24.31169
0, McLaughlinCluster, study, 0, 0, study, -3.421722, 4.785067, -2.046936, 20211022, 11:01:06.55485, 24.32564
0, McLaughlinCluster, study, 0, 0, study, -3.417664, 4.754992, -2.111237, 20211022, 11:01:06.57010, 24.33962
0, McLaughlinCluster, study, 0, 0, study, -3.430939, 4.717445, -2.148499, 20211022, 11:01:06.58244, 24.35343
0, McLaughlinCluster, study, 0, 0, study, -3.426788, 4.672284, -2.199341, 20211022, 11:01:06.59648, 24.36744
0, McLaughlinCluster, study, 0, 0, study, -3.468842, 4.624958, -2.210205, 20211022, 11:01:06.61098, 24.38145
0, McLaughlinCluster, study, 0, 0, study, -3.512695, 4.588552, -2.206055, 20211022, 11:01:06.62412, 24.39528
0, McLaughlinCluster, study, 0, 0, study, -3.454895, 4.567662, -2.204926, 20211022, 11:01:06.63854, 24.4092
0, McLaughlinCluster, study, 0, 0, study, -3.449982, 4.546188, -2.193298, 20211022, 11:01:06.65250, 24.42313
0, McLaughlinCluster, study, 0, 0, study, -3.522491, 4.535232, -2.227234, 20211022, 11:01:06.66588, 24.43703
0, McLaughlinCluster, study, 0, 0, study, -3.527679, 4.53688, -2.289032, 20211022, 11:01:06.68012, 24.45102
0, McLaughlinCluster, study, 0, 0, study, -3.518738, 4.540172, -2.363922, 20211022, 11:01:06.69395, 24.46496
0, McLaughlinCluster, study, 0, 0, study, -3.518219, 4.532174, -2.448883, 20211022, 11:01:06.70760, 24.47881
0, McLaughlinCluster, study, 0, 0, study, -3.537384, 4.542916, -2.549927, 20211022, 11:01:06.72181, 24.49278
0, McLaughlinCluster, study, 0, 0, study, -3.556274, 4.549566, -2.666534, 20211022, 11:01:06.73566, 24.50667
0, McLaughlinCluster, study, 0, 0, study, -3.58371, 4.623688, -2.791962, 20211022, 11:01:06.74961, 24.52057
0, McLaughlinCluster, study, 0, 0, study, -3.616089, 4.662732, -2.898071, 20211022, 11:01:06.76334, 24.53456
0, McLaughlinCluster, study, 0, 0, study, -3.627899, 4.746347, -3.030304, 20211022, 11:01:06.77814, 24.54908
0, McLaughlinCluster, study, 0, 0, study, -3.66272, 4.821583, -3.138519, 20211022, 11:01:06.79183, 24.56248
0, McLaughlinCluster, study, 0, 0, study, -3.698517, 4.878088, -3.239655, 20211022, 11:01:06.80524, 24.57636
0, McLaughlinCluster, study, 0, 0, study, -3.714539, 4.911535, -3.303223, 20211022, 11:01:06.81966, 24.59033
0, McLaughlinCluster, study, 0, 0, study, -3.740723, 4.940137, -3.348846, 20211022, 11:01:06.83360, 24.60428
0, McLaughlinCluster, study, 0, 0, study, -3.759644, 5.005839, -3.36264, 20211022, 11:01:06.84723, 24.61812
0, McLaughlinCluster, study, 0, 0, study, -3.754608, 5.081311, -3.36377, 20211022, 11:01:06.86114, 24.63207
0, McLaughlinCluster, study, 0, 0, study, -3.738892, 5.201787, -3.321228, 20211022, 11:01:06.87501, 24.64595
0, McLaughlinCluster, study, 0, 0, study, -3.737091, 5.314991, -3.254242, 20211022, 11:01:06.88867, 24.65988
0, McLaughlinCluster, study, 0, 0, study, -3.717957, 5.410298, -3.16861, 20211022, 11:01:06.90287, 24.67378
0, McLaughlinCluster, study, 0, 0, study, -3.652313, 5.471781, -3.079956, 20211022, 11:01:06.91675, 24.68769
0, McLaughlinCluster, study, 0, 0, study, -3.568481, 5.520683, -3.013794, 20211022, 11:01:06.93075, 24.7017
0, McLaughlinCluster, study, 0, 0, study, -3.478241, 5.581934, -2.938965, 20211022, 11:01:06.94447, 24.71565
0, McLaughlinCluster, study, 0, 0, study, -3.440765, 5.676633, -2.883423, 20211022, 11:01:06.95907, 24.72966
0, McLaughlinCluster, study, 0, 0, study, -3.400787, 5.785595, -2.845245, 20211022, 11:01:06.97291, 24.74348
0, McLaughlinCluster, study, 0, 0, study, -3.374329, 5.876808, -2.806946, 20211022, 11:01:06.98618, 24.75734
0, McLaughlinCluster, study, 0, 0, study, -3.345245, 5.89889, -2.771149, 20211022, 11:01:07.00044, 24.7713
0, McLaughlinCluster, study, 0, 0, study, -3.343353, 5.917911, -2.765656, 20211022, 11:01:07.01466, 24.78521
0, McLaughlinCluster, study, 0, 0, study, -3.372223, 5.954875, -2.777527, 20211022, 11:01:07.02838, 24.79923
0, McLaughlinCluster, study, 0, 0, study, -3.383423, 5.982152, -2.748047, 20211022, 11:01:07.04207, 24.81304
0, McLaughlinCluster, study, 0, 0, study, -3.464294, 5.981204, -2.69162, 20211022, 11:01:07.05631, 24.82696
0, McLaughlinCluster, study, 0, 0, study, -3.556427, 6.029368, -2.604095, 20211022, 11:01:07.07038, 24.84098
0, McLaughlinCluster, study, 0, 0, study, -3.526031, 6.091311, -2.469177, 20211022, 11:01:07.08359, 24.85478
0, McLaughlinCluster, study, 0, 0, study, -3.450073, 6.146698, -2.324219, 20211022, 11:01:07.09779, 24.86873
0, McLaughlinCluster, study, 0, 0, study, -3.398926, 6.188595, -2.191986, 20211022, 11:01:07.11168, 24.88264
0, McLaughlinCluster, study, 0, 0, study, -3.387787, 6.187336, -2.042145, 20211022, 11:01:07.12546, 24.89664
0, McLaughlinCluster, study, 0, 0, study, -3.367126, 6.185443, -1.867767, 20211022, 11:01:07.13955, 24.9105
0, McLaughlinCluster, study, 0, 0, study, -3.361084, 6.217007, -1.693878, 20211022, 11:01:07.15343, 24.92444
0, McLaughlinCluster, study, 0, 0, study, -3.34787, 6.275024, -1.525208, 20211022, 11:01:07.16714, 24.93832
0, McLaughlinCluster, study, 0, 0, study, -3.313171, 6.317876, -1.366241, 20211022, 11:01:07.18120, 24.95216
0, McLaughlinCluster, study, 0, 0, study, -3.242981, 6.35245, -1.21286, 20211022, 11:01:07.19578, 24.96636
0, McLaughlinCluster, study, 0, 0, study, -3.215485, 6.382474, -1.075195, 20211022, 11:01:07.20936, 24.98022
0, McLaughlinCluster, study, 0, 0, study, -3.227844, 6.393714, -0.949707, 20211022, 11:01:07.22283, 24.99402
0, McLaughlinCluster, study, 0, 0, study, -3.271698, 6.396547, -0.8122253, 20211022, 11:01:07.23769, 25.00824
0, McLaughlinCluster, study, 0, 0, study, -3.248108, 6.377457, -0.6552429, 20211022, 11:01:07.25100, 25.02189
0, McLaughlinCluster, study, 0, 0, study, -3.200989, 6.389316, -0.5339355, 20211022, 11:01:07.26466, 25.03581
0, McLaughlinCluster, study, 0, 0, study, -3.243042, 6.40157, -0.3992615, 20211022, 11:01:07.27883, 25.04977
0, McLaughlinCluster, study, 0, 0, study, -3.287903, 6.44522, -0.296875, 20211022, 11:01:07.29314, 25.0637
0, McLaughlinCluster, study, 0, 0, study, -3.283325, 6.531042, -0.168335, 20211022, 11:01:07.30677, 25.07763
0, McLaughlinCluster, study, 0, 0, study, -3.300934, 6.627368, -0.03482056, 20211022, 11:01:07.32093, 25.09161
0, McLaughlinCluster, study, 0, 0, study, -3.386627, 6.768688, 0.06954341, 20211022, 11:01:07.33449, 25.10548
0, McLaughlinCluster, study, 0, 0, study, -3.512909, 6.880223, 0.2179692, 20211022, 11:01:07.34819, 25.11937
0, McLaughlinCluster, study, 0, 0, study, -3.703064, 6.977549, 0.4565279, 20211022, 11:01:07.36232, 25.13326
0, McLaughlinCluster, study, 0, 0, study, -3.915955, 7.027253, 0.7845225, 20211022, 11:01:07.37625, 25.1472
0, McLaughlinCluster, study, 0, 0, study, -4.229889, 7.077087, 1.242552, 20211022, 11:01:07.39012, 25.16107
0, McLaughlinCluster, study, 0, 0, study, -4.508301, 7.120096, 1.911335, 20211022, 11:01:07.40405, 25.17521
0, McLaughlinCluster, study, 0, 0, study, -4.58252, 7.214515, 2.706543, 20211022, 11:01:07.41808, 25.18892
0, McLaughlinCluster, study, 0, 0, study, -4.600952, 7.385545, 3.518051, 20211022, 11:01:07.43206, 25.20292
0, McLaughlinCluster, study, 0, 0, study, -4.696716, 7.530875, 4.266441, 20211022, 11:01:07.44561, 25.21678
0, McLaughlinCluster, study, 0, 0, study, -4.810913, 7.70669, 5.039265, 20211022, 11:01:07.46016, 25.23079
0, McLaughlinCluster, study, 0, 0, study, -4.889618, 7.860823, 5.85056, 20211022, 11:01:07.47374, 25.24473
0, McLaughlinCluster, study, 0, 0, study, -4.88681, 7.992795, 6.666179, 20211022, 11:01:07.48765, 25.25857
