0, McLaughlinCluster, study, 0, 0, study, -0.4355164, -3.970642, 0.5871205, 20211022, 15:16:37.50128, 21.73131
0, McLaughlinCluster, study, 0, 0, study, -0.5641479, -4.002594, 0.6379277, 20211022, 15:16:37.51632, 21.7538
0, McLaughlinCluster, study, 0, 0, study, -0.5863342, -4.00058, 0.6533942, 20211022, 15:16:37.51771, 21.75555
0, McLaughlinCluster, study, 0, 0, study, -0.5543213, -3.989685, 0.6577645, 20211022, 15:16:37.53163, 21.76915
0, McLaughlinCluster, study, 0, 0, study, -0.5323181, -3.971069, 0.6438935, 20211022, 15:16:37.54544, 21.783
0, McLaughlinCluster, study, 0, 0, study, -0.4838867, -3.939789, 0.6451926, 20211022, 15:16:37.55912, 21.79696
0, McLaughlinCluster, study, 0, 0, study, -0.4396057, -3.90451, 0.6339014, 20211022, 15:16:37.57509, 21.81266
0, McLaughlinCluster, study, 0, 0, study, -0.4423828, -3.908508, 0.6296242, 20211022, 15:16:37.58714, 21.82468
0, McLaughlinCluster, study, 0, 0, study, -0.4311218, -3.910431, 0.6052842, 20211022, 15:16:37.60078, 21.83866
0, McLaughlinCluster, study, 0, 0, study, -0.4247437, -3.919983, 0.5889116, 20211022, 15:16:37.61497, 21.85253
0, McLaughlinCluster, study, 0, 0, study, -0.4152527, -3.928802, 0.5688193, 20211022, 15:16:37.62907, 21.86663
0, McLaughlinCluster, study, 0, 0, study, -0.4075317, -3.930817, 0.5194481, 20211022, 15:16:37.64315, 21.88044
0, McLaughlinCluster, study, 0, 0, study, -0.3995056, -3.917572, 0.5000589, 20211022, 15:16:37.65683, 21.89435
0, McLaughlinCluster, study, 0, 0, study, -0.4403992, -3.90097, 0.5067033, 20211022, 15:16:37.67065, 21.90822
0, McLaughlinCluster, study, 0, 0, study, -0.4499207, -3.91095, 0.4898029, 20211022, 15:16:37.68504, 21.92225
0, McLaughlinCluster, study, 0, 0, study, -0.4251404, -3.916565, 0.4836102, 20211022, 15:16:37.69852, 21.93613
0, McLaughlinCluster, study, 0, 0, study, -0.3887024, -3.937714, 0.4756502, 20211022, 15:16:37.71241, 21.95
0, McLaughlinCluster, study, 0, 0, study, -0.393219, -3.958038, 0.4900165, 20211022, 15:16:37.72647, 21.96409
0, McLaughlinCluster, study, 0, 0, study, -0.4449768, -3.960388, 0.5052695, 20211022, 15:16:37.73987, 21.97777
0, McLaughlinCluster, study, 0, 0, study, -0.4602966, -3.973999, 0.5204971, 20211022, 15:16:37.75419, 21.9918
0, McLaughlinCluster, study, 0, 0, study, -0.4596252, -3.989502, 0.538279, 20211022, 15:16:37.76818, 22.00574
0, McLaughlinCluster, study, 0, 0, study, -0.4523621, -3.99823, 0.5387959, 20211022, 15:16:37.78218, 22.01965
0, McLaughlinCluster, study, 0, 0, study, -0.4430847, -4.014862, 0.5468926, 20211022, 15:16:37.79599, 22.03356
0, McLaughlinCluster, study, 0, 0, study, -0.4312439, -4.029022, 0.5596383, 20211022, 15:16:37.80983, 22.04749
0, McLaughlinCluster, study, 0, 0, study, -0.4325256, -4.039856, 0.5569376, 20211022, 15:16:37.82381, 22.06136
0, McLaughlinCluster, study, 0, 0, study, -0.4354858, -4.050934, 0.5655086, 20211022, 15:16:37.83774, 22.0753
0, McLaughlinCluster, study, 0, 0, study, -0.4476013, -4.070435, 0.5668661, 20211022, 15:16:37.85170, 22.08928
0, McLaughlinCluster, study, 0, 0, study, -0.458313, -4.070862, 0.579927, 20211022, 15:16:37.86579, 22.10315
0, McLaughlinCluster, study, 0, 0, study, -0.4628296, -4.073364, 0.5938432, 20211022, 15:16:37.87965, 22.11713
0, McLaughlinCluster, study, 0, 0, study, -0.4656677, -4.061157, 0.5924753, 20211022, 15:16:37.89373, 22.13125
0, McLaughlinCluster, study, 0, 0, study, -0.4606934, -4.04071, 0.5983186, 20211022, 15:16:37.90750, 22.14498
0, McLaughlinCluster, study, 0, 0, study, -0.4620056, -4.023743, 0.6047989, 20211022, 15:16:37.92104, 22.15891
0, McLaughlinCluster, study, 0, 0, study, -0.4515381, -4.012085, 0.6075025, 20211022, 15:16:37.93561, 22.17281
0, McLaughlinCluster, study, 0, 0, study, -0.4504089, -3.993652, 0.6088436, 20211022, 15:16:37.94950, 22.18686
0, McLaughlinCluster, study, 0, 0, study, -0.444519, -3.977417, 0.6039341, 20211022, 15:16:37.96340, 22.2007
0, McLaughlinCluster, study, 0, 0, study, -0.4469299, -3.967743, 0.5973169, 20211022, 15:16:37.97682, 22.21461
0, McLaughlinCluster, study, 0, 0, study, -0.4575806, -3.974762, 0.5890934, 20211022, 15:16:37.99093, 22.2285
0, McLaughlinCluster, study, 0, 0, study, -0.4458008, -3.981049, 0.5791081, 20211022, 15:16:38.00525, 22.24241
0, McLaughlinCluster, study, 0, 0, study, -0.4309082, -3.985962, 0.5643353, 20211022, 15:16:38.01868, 22.25645
0, McLaughlinCluster, study, 0, 0, study, -0.4050293, -3.984467, 0.5470315, 20211022, 15:16:38.03280, 22.27032
0, McLaughlinCluster, study, 0, 0, study, -0.3924255, -3.983337, 0.5358518, 20211022, 15:16:38.04669, 22.28422
0, McLaughlinCluster, study, 0, 0, study, -0.3884583, -3.981689, 0.5318195, 20211022, 15:16:38.06040, 22.29828
0, McLaughlinCluster, study, 0, 0, study, -0.3886414, -3.975952, 0.5243181, 20211022, 15:16:38.07442, 22.31193
0, McLaughlinCluster, study, 0, 0, study, -0.3790894, -3.981781, 0.5291959, 20211022, 15:16:38.08850, 22.32602
0, McLaughlinCluster, study, 0, 0, study, -0.3811035, -3.985809, 0.5239386, 20211022, 15:16:38.10199, 22.33984
0, McLaughlinCluster, study, 0, 0, study, -0.3843384, -3.986969, 0.523522, 20211022, 15:16:38.11627, 22.35379
0, McLaughlinCluster, study, 0, 0, study, -0.3892212, -3.987122, 0.5245827, 20211022, 15:16:38.13024, 22.3678
0, McLaughlinCluster, study, 0, 0, study, -0.3877563, -3.979004, 0.5261332, 20211022, 15:16:38.14414, 22.38168
0, McLaughlinCluster, study, 0, 0, study, -0.3916931, -3.969238, 0.5275592, 20211022, 15:16:38.15773, 22.39551
0, McLaughlinCluster, study, 0, 0, study, -0.4042664, -3.949097, 0.5339586, 20211022, 15:16:38.17188, 22.40948
0, McLaughlinCluster, study, 0, 0, study, -0.4151611, -3.934692, 0.5380068, 20211022, 15:16:38.18590, 22.42341
0, McLaughlinCluster, study, 0, 0, study, -0.436676, -3.934052, 0.5429673, 20211022, 15:16:38.19948, 22.4373
