0, McLaughlinCluster, study, 0, 0, study, 0.3875292, -5.112335, 0.8578957, 20211027, 14:42:35.08787, 25.66856
0, McLaughlinCluster, study, 0, 0, study, 0.4114278, -4.976471, 0.7428777, 20211027, 14:42:35.10468, 25.69148
0, McLaughlinCluster, study, 0, 0, study, 0.4143999, -4.940674, 0.7161842, 20211027, 14:42:35.10594, 25.69307
0, McLaughlinCluster, study, 0, 0, study, 0.4111964, -4.884125, 0.6870751, 20211027, 14:42:35.12682, 25.71371
0, McLaughlinCluster, study, 0, 0, study, 0.3936546, -4.867523, 0.647564, 20211027, 14:42:35.14099, 25.72788
0, McLaughlinCluster, study, 0, 0, study, 0.377978, -4.823669, 0.6400955, 20211027, 14:42:35.15472, 25.74167
0, McLaughlinCluster, study, 0, 0, study, 0.3553655, -4.782227, 0.6388078, 20211027, 14:42:35.16841, 25.75551
0, McLaughlinCluster, study, 0, 0, study, 0.3448068, -4.730896, 0.6411284, 20211027, 14:42:35.18240, 25.76939
0, McLaughlinCluster, study, 0, 0, study, 0.3216276, -4.689606, 0.6417707, 20211027, 14:42:35.19772, 25.78328
0, McLaughlinCluster, study, 0, 0, study, 0.322416, -4.651764, 0.6375123, 20211027, 14:42:35.20997, 25.79714
0, McLaughlinCluster, study, 0, 0, study, 0.3366, -4.628143, 0.6351342, 20211027, 14:42:35.22412, 25.8111
0, McLaughlinCluster, study, 0, 0, study, 0.329778, -4.568573, 0.6283504, 20211027, 14:42:35.23838, 25.82506
0, McLaughlinCluster, study, 0, 0, study, 0.3103015, -4.552734, 0.6315545, 20211027, 14:42:35.25214, 25.83904
0, McLaughlinCluster, study, 0, 0, study, 0.3106332, -4.56665, 0.5961214, 20211027, 14:42:35.26599, 25.85294
0, McLaughlinCluster, study, 0, 0, study, 0.3016045, -4.567749, 0.5906305, 20211027, 14:42:35.27982, 25.8668
0, McLaughlinCluster, study, 0, 0, study, 0.3113685, -4.579254, 0.5884761, 20211027, 14:42:35.29391, 25.88074
0, McLaughlinCluster, study, 0, 0, study, 0.328855, -4.548004, 0.5467129, 20211027, 14:42:35.30782, 25.89469
0, McLaughlinCluster, study, 0, 0, study, 0.3329642, -4.529572, 0.5312504, 20211027, 14:42:35.32155, 25.90852
0, McLaughlinCluster, study, 0, 0, study, 0.3714788, -4.490021, 0.4955581, 20211027, 14:42:35.33566, 25.92259
0, McLaughlinCluster, study, 0, 0, study, 0.3965482, -4.476715, 0.4550111, 20211027, 14:42:35.34954, 25.93648
0, McLaughlinCluster, study, 0, 0, study, 0.4139886, -4.452026, 0.4113582, 20211027, 14:42:35.36357, 25.9505
0, McLaughlinCluster, study, 0, 0, study, 0.4614807, -4.425323, 0.3533442, 20211027, 14:42:35.37757, 25.96444
