0, McLaughlinCluster, study, 0, 0, study, -8.718353, 16.29529, 0.8830555, 20211027, 15:47:00.48670, 51.68075
0, McLaughlinCluster, study, 0, 0, study, -8.13089, 15.89903, 0.8620325, 20211027, 15:47:00.50101, 51.70247
0, McLaughlinCluster, study, 0, 0, study, -8.012299, 15.79986, 0.8541059, 20211027, 15:47:00.50244, 51.70422
0, McLaughlinCluster, study, 0, 0, study, -8.026398, 15.5995, 0.7556607, 20211027, 15:47:00.52571, 51.72718
0, McLaughlinCluster, study, 0, 0, study, -7.967133, 15.4195, 0.7127317, 20211027, 15:47:00.53982, 51.74107
0, McLaughlinCluster, study, 0, 0, study, -7.871918, 15.19252, 0.6452387, 20211027, 15:47:00.55328, 51.75503
0, McLaughlinCluster, study, 0, 0, study, -7.731537, 14.98988, 0.5518152, 20211027, 15:47:00.56877, 51.76896
0, McLaughlinCluster, study, 0, 0, study, -7.621613, 14.79827, 0.4449437, 20211027, 15:47:00.58141, 51.78296
0, McLaughlinCluster, study, 0, 0, study, -7.579987, 14.62312, 0.3400894, 20211027, 15:47:00.59489, 51.79671
0, McLaughlinCluster, study, 0, 0, study, -7.587433, 14.45725, 0.247935, 20211027, 15:47:00.60928, 51.81057
0, McLaughlinCluster, study, 0, 0, study, -7.573761, 14.29513, 0.1937373, 20211027, 15:47:00.62288, 51.82451
0, McLaughlinCluster, study, 0, 0, study, -7.497437, 14.17443, 0.1178052, 20211027, 15:47:00.63702, 51.83852
0, McLaughlinCluster, study, 0, 0, study, -7.407745, 14.00161, 0.03249644, 20211027, 15:47:00.65121, 51.85246
0, McLaughlinCluster, study, 0, 0, study, -7.214478, 13.78317, -0.04614258, 20211027, 15:47:00.66475, 51.86634
0, McLaughlinCluster, study, 0, 0, study, -6.998322, 13.55607, -0.1508484, 20211027, 15:47:00.67917, 51.88046
0, McLaughlinCluster, study, 0, 0, study, -6.809235, 13.37105, -0.2836304, 20211027, 15:47:00.69250, 51.89411
0, McLaughlinCluster, study, 0, 0, study, -6.612274, 13.24061, -0.425293, 20211027, 15:47:00.70641, 51.90807
0, McLaughlinCluster, study, 0, 0, study, -6.499451, 13.09074, -0.5773926, 20211027, 15:47:00.72030, 51.92199
0, McLaughlinCluster, study, 0, 0, study, -6.387238, 12.9314, -0.732605, 20211027, 15:47:00.73396, 51.93585
0, McLaughlinCluster, study, 0, 0, study, -6.241425, 12.70334, -0.8898621, 20211027, 15:47:00.74821, 51.9498
0, McLaughlinCluster, study, 0, 0, study, -6.124573, 12.37756, -1.020355, 20211027, 15:47:00.76215, 51.96372
0, McLaughlinCluster, study, 0, 0, study, -6.058685, 12.00423, -1.188171, 20211027, 15:47:00.77624, 51.97773
0, McLaughlinCluster, study, 0, 0, study, -5.976135, 11.67273, -1.33255, 20211027, 15:47:00.79036, 51.99161
0, McLaughlinCluster, study, 0, 0, study, -5.89975, 11.40249, -1.493439, 20211027, 15:47:00.80402, 52.00555
0, McLaughlinCluster, study, 0, 0, study, -5.821136, 11.18654, -1.644043, 20211027, 15:47:00.81798, 52.01948
0, McLaughlinCluster, study, 0, 0, study, -5.725403, 10.99318, -1.796234, 20211027, 15:47:00.83223, 52.03342
0, McLaughlinCluster, study, 0, 0, study, -5.634125, 10.78608, -1.900024, 20211027, 15:47:00.84596, 52.04749
0, McLaughlinCluster, study, 0, 0, study, -5.561737, 10.59306, -1.996124, 20211027, 15:47:00.86002, 52.06123
0, McLaughlinCluster, study, 0, 0, study, -5.523529, 10.35323, -2.062073, 20211027, 15:47:00.87370, 52.07528
0, McLaughlinCluster, study, 0, 0, study, -5.463715, 10.0931, -2.102448, 20211027, 15:47:00.88782, 52.08918
0, McLaughlinCluster, study, 0, 0, study, -5.380646, 9.860626, -2.117371, 20211027, 15:47:00.90147, 52.10307
0, McLaughlinCluster, study, 0, 0, study, -5.303986, 9.662992, -2.105896, 20211027, 15:47:00.91518, 52.11697
0, McLaughlinCluster, study, 0, 0, study, -5.276855, 9.471861, -2.092194, 20211027, 15:47:00.92963, 52.13095
0, McLaughlinCluster, study, 0, 0, study, -5.267334, 9.254826, -2.093903, 20211027, 15:47:00.94335, 52.14488
0, McLaughlinCluster, study, 0, 0, study, -5.214447, 9.026134, -2.075714, 20211027, 15:47:00.95716, 52.15871
0, McLaughlinCluster, study, 0, 0, study, -5.160767, 8.859677, -2.025055, 20211027, 15:47:00.97118, 52.1727
0, McLaughlinCluster, study, 0, 0, study, -5.144562, 8.695361, -1.988708, 20211027, 15:47:00.98519, 52.18679
0, McLaughlinCluster, study, 0, 0, study, -5.155365, 8.543556, -1.932434, 20211027, 15:47:00.99925, 52.20047
0, McLaughlinCluster, study, 0, 0, study, -5.170197, 8.386786, -1.865875, 20211027, 15:47:01.01281, 52.21454
0, McLaughlinCluster, study, 0, 0, study, -5.151764, 8.242917, -1.801331, 20211027, 15:47:01.02676, 52.22831
0, McLaughlinCluster, study, 0, 0, study, -5.107025, 8.132807, -1.754303, 20211027, 15:47:01.04072, 52.24224
0, McLaughlinCluster, study, 0, 0, study, -5.054779, 8.07368, -1.681854, 20211027, 15:47:01.05431, 52.25616
0, McLaughlinCluster, study, 0, 0, study, -5.069427, 8.030613, -1.579254, 20211027, 15:47:01.06859, 52.27018
0, McLaughlinCluster, study, 0, 0, study, -5.113434, 8.060394, -1.474731, 20211027, 15:47:01.08259, 52.28412
0, McLaughlinCluster, study, 0, 0, study, -5.157501, 8.074024, -1.33075, 20211027, 15:47:01.09647, 52.29802
0, McLaughlinCluster, study, 0, 0, study, -5.127899, 8.074207, -1.12207, 20211027, 15:47:01.11038, 52.3119
0, McLaughlinCluster, study, 0, 0, study, -5.097626, 8.062486, -0.8786316, 20211027, 15:47:01.12423, 52.32573
0, McLaughlinCluster, study, 0, 0, study, -5.044525, 8.039689, -0.6001892, 20211027, 15:47:01.13826, 52.33983
0, McLaughlinCluster, study, 0, 0, study, -4.974396, 8.016809, -0.2987671, 20211027, 15:47:01.15220, 52.35362
0, McLaughlinCluster, study, 0, 0, study, -4.938812, 7.969681, 0.01316696, 20211027, 15:47:01.16599, 52.36761
0, McLaughlinCluster, study, 0, 0, study, -4.896515, 7.943641, 0.3383584, 20211027, 15:47:01.17993, 52.38157
0, McLaughlinCluster, study, 0, 0, study, -4.871887, 7.93526, 0.7020209, 20211027, 15:47:01.19359, 52.39545
0, McLaughlinCluster, study, 0, 0, study, -4.854797, 7.930882, 1.119458, 20211027, 15:47:01.20796, 52.40941
0, McLaughlinCluster, study, 0, 0, study, -4.859406, 7.943261, 1.614261, 20211027, 15:47:01.22178, 52.42329
0, McLaughlinCluster, study, 0, 0, study, -4.879364, 7.978582, 2.222631, 20211027, 15:47:01.23568, 52.43722
0, McLaughlinCluster, study, 0, 0, study, -4.86145, 8.004697, 2.934179, 20211027, 15:47:01.24958, 52.45114
0, McLaughlinCluster, study, 0, 0, study, -4.781342, 8.011752, 3.771106, 20211027, 15:47:01.26351, 52.46501
0, McLaughlinCluster, study, 0, 0, study, -4.699738, 7.991741, 4.621226, 20211027, 15:47:01.27745, 52.47895
0, McLaughlinCluster, study, 0, 0, study, -4.64032, 7.926778, 5.500707, 20211027, 15:47:01.29122, 52.49279
0, McLaughlinCluster, study, 0, 0, study, -4.591888, 7.859829, 6.55494, 20211027, 15:47:01.30527, 52.5068
0, McLaughlinCluster, study, 0, 0, study, -4.546295, 7.832063, 7.810864, 20211027, 15:47:01.31945, 52.52067
0, McLaughlinCluster, study, 0, 0, study, -4.519836, 7.824508, 9.222471, 20211027, 15:47:01.33289, 52.53466
0, McLaughlinCluster, study, 0, 0, study, -4.421478, 7.777058, 10.70847, 20211027, 15:47:01.34710, 52.54863
0, McLaughlinCluster, study, 0, 0, study, -4.33786, 7.635115, 12.20558, 20211027, 15:47:01.36096, 52.56251
0, McLaughlinCluster, study, 0, 0, study, -4.254089, 7.518579, 13.59301, 20211027, 15:47:01.37489, 52.57639
0, McLaughlinCluster, study, 0, 0, study, -4.1633, 7.433408, 14.93661, 20211027, 15:47:01.38890, 52.59026
0, McLaughlinCluster, study, 0, 0, study, -4.118835, 7.337171, 16.22689, 20211027, 15:47:01.40274, 52.6043
0, McLaughlinCluster, study, 0, 0, study, -4.110687, 7.288933, 17.45921, 20211027, 15:47:01.41663, 52.61821
