1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, closed, -3.518768, 9.505206, 167.2342, 1.991028, 683.0776
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 8.282742, 5.19763, -167.8947, 1.503784, 692.1132
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, -1.070068, 8.113274, 153.0803, 2.130127, 704.6153
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, closed, -4.752777, 6.897748, 165.6736, 1.531494, 710.5448
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, 9.230127, 7.562911, 16.51144, 1.336792, 716.2111
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 10.05717, 6.83961, -164.8426, 1.461731, 721.3066
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -3.760803, 7.23599, 161.8479, 1.434082, 726.7782
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, closed, -3.313293, 12.30207, 162.7058, 1.879517, 733.252
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 8.006797, 6.063874, 20.32635, 1.57312, 740.5056
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, -4.114624, 8.42334, 165.6229, 1.420227, 746.0043
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, -6.723083, 11.54542, 72.78092, 1.350586, 750.8256
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 4.637634, 1.4538, 14.15668, 1.601074, 755.7681
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 8.767258, 3.437307, -164.3767, 1.308838, 761.1979
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, -4.412201, 10.46044, 165.6781, 1.434021, 765.8895
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 6.973918, 5.721047, -77.93799, 1.322693, 770.6929
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 10.94891, 4.299521, -174.893, 1.308838, 775.2593
