1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, closed, 0.3927653, -0.9081726, 168.4643, 1.294861, 716.1304
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 6.212091, 1.61582, -170.3372, 1.114014, 725.1938
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, 0.830125, 0.8362491, 174.6323, 1.392334, 731.2222
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, closed, -1.364136, -1.852844, 175.3781, 1.141785, 736.5511
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, 1.564421, 3.810073, -6.368347, 0.9191284, 741.491
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 3.384605, 4.902776, -174.2266, 1.573364, 746.6981
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -0.4170227, 0.2229535, 179.5044, 1.155701, 751.348
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -0.6271362, 0.5727094, 177.2368, 1.002502, 756.0676
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 4.023834, 5.90533, -6.909454, 0.7936401, 760.2304
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, closed, 0.2467342, -2.195465, 177.6279, 0.9887085, 764.2764
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, -2.350067, -3.389191, 82.61808, 1.295044, 768.6335
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, open, 0.3251331, -9.749359, 9.933472, 1.308899, 773.3113
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 1.536297, 4.639541, -183.6345, 1.11377, 779.4371
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, -0.02401733, 4.019939, 177.3781, 1.058167, 783.6974
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 1.445023, 3.700661, -91.6792, 0.8493652, 787.9157
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 3.183177, 4.057212, -182.0794, 0.9467773, 792.2873
17, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, 2.874833, 2.312333, 354.4792, 1.085938, 796.4084
18, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, 1.004584, -2.383026, 186.1283, 1.308716, 801.0027
19, Hop4, -3, Hop4, -93, -90, right, 3, open, open, 2.668571, 5.494711, -179.4052, 0.9746094, 804.9705
20, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -0.27005, 0.1969107, 360.3849, 0.9886475, 808.7297
21, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, closed, 6.825059, 1.000904, 355.5657, 0.8911743, 812.5304
22, AllenSt, 0, AllenSt, -90, -90, right, 3, open, open, 0.8069883, 3.993441, -175.5308, 1.127747, 816.3173
23, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, 0.4067387, -3.046082, 183.0978, 0.7937012, 819.8814
24, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 2.121661, -1.699402, 1.678253, 1.044067, 823.5707
25, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, open, -3.403748, 0.6918934, 345.8183, 0.8911743, 827.1627
26, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -0.716095, -1.308075, 110.6552, 1.447998, 831.5622
27, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, right, 2, open, open, 1.392925, -2.434509, 270.124, 1.03064, 835.2515
28, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, right, 3, closed, open, -1.175049, -0.8725281, -14.68927, 0.8633423, 838.8572
29, NeutralZimmerman, 0, Zimmerman, -190, -90, left, 2, closed, closed, 0.7098611, -4.569, -267.6597, 0.9468384, 843.2074
30, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, open, 3.569397, -6.591858, -177.6588, 0.8632202, 846.8829
31, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 2.676202, -1.243591, -267.1619, 1.183472, 851.4774
32, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, 3.801871, -2.043243, 116.3538, 1.016418, 855.3199
33, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, left, 2, open, open, -0.4855957, 5.935661, -265.2442, 0.9189453, 858.9258
34, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, -0.4703674, -1.803436, -176.1652, 0.9467773, 862.629
35, RaunerFirst, 0, RaunerFirst, 90, 90, left, 3, open, open, 0.3572964, 2.15214, 166.9564, 1.016479, 866.2907
36, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 0.9499833, -1.572174, -70.80908, 0.8770752, 869.9104
37, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 4.128398, -9.484833, 1.776978, 1.072144, 874.1707
38, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, -0.7625122, -2.365326, -165.3329, 0.8772583, 877.7208
39, Umplebys, -50, Umplebys, -140, -90, left, 1, open, closed, -2.471008, -3.314972, -203.4525, 0.8493042, 881.2292
40, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, -1.437469, -0.3118896, 27.75085, 0.8771362, 884.8769
41, NeutralUmplebys, 0, Umplebys, -140, -90, right, 4, open, open, -1.600677, -0.2747498, -215.5768, 1.058105, 888.4057
42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -3.235382, 1.545647, 176.0926, 0.8772583, 891.8447
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -0.2227173, 2.777028, 71.47894, 1.197388, 895.5618
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, closed, -0.0802002, -0.1560059, 147.031, 1.11377, 899.2346
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -1.3638, -4.294006, 166.1445, 1.058044, 903.0215
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, closed, 0.348473, -0.3011475, 340.6566, 1.016479, 906.7886
