0, McLaughlinCluster, study, 0, 0, study, -8.506958, 6.316737, 3.456774, 20210824, 19:49:21.16104, 11.92748
0, McLaughlinCluster, study, 0, 0, study, -8.330719, 6.462941, 3.615795, 20210824, 19:49:21.17544, 11.94896
0, McLaughlinCluster, study, 0, 0, study, -8.286072, 6.508983, 3.656718, 20210824, 19:49:21.17660, 11.95042
0, McLaughlinCluster, study, 0, 0, study, -8.209167, 6.591782, 3.647075, 20210824, 19:49:21.19448, 11.96798
0, McLaughlinCluster, study, 0, 0, study, -8.137421, 6.693817, 3.616554, 20210824, 19:49:21.20834, 11.98189
0, McLaughlinCluster, study, 0, 0, study, -8.095978, 6.792343, 3.594006, 20210824, 19:49:21.22212, 11.99585
0, McLaughlinCluster, study, 0, 0, study, -8.016937, 6.903277, 3.57035, 20210824, 19:49:21.23623, 12.00976
0, McLaughlinCluster, study, 0, 0, study, -7.932739, 6.976851, 3.560356, 20210824, 19:49:21.25000, 12.02357
0, McLaughlinCluster, study, 0, 0, study, -7.881134, 7.01445, 3.552512, 20210824, 19:49:21.26376, 12.0376
0, McLaughlinCluster, study, 0, 0, study, -7.879303, 7.008714, 3.558681, 20210824, 19:49:21.27785, 12.05148
0, McLaughlinCluster, study, 0, 0, study, -7.844116, 7.006955, 3.581329, 20210824, 19:49:21.29174, 12.06536
0, McLaughlinCluster, study, 0, 0, study, -7.752625, 6.992417, 3.599558, 20210824, 19:49:21.30552, 12.07933
0, McLaughlinCluster, study, 0, 0, study, -7.64447, 6.977359, 3.634994, 20210824, 19:49:21.31963, 12.09314
0, McLaughlinCluster, study, 0, 0, study, -7.537262, 7.013609, 3.643585, 20210824, 19:49:21.33370, 12.10729
0, McLaughlinCluster, study, 0, 0, study, -7.425995, 7.054904, 3.659366, 20210824, 19:49:21.34746, 12.12109
0, McLaughlinCluster, study, 0, 0, study, -7.289154, 7.10388, 3.690222, 20210824, 19:49:21.36119, 12.13503
0, McLaughlinCluster, study, 0, 0, study, -7.157898, 7.15486, 3.720494, 20210824, 19:49:21.37543, 12.14901
0, McLaughlinCluster, study, 0, 0, study, -7.010468, 7.189531, 3.724062, 20210824, 19:49:21.38927, 12.16286
0, McLaughlinCluster, study, 0, 0, study, -6.897888, 7.227015, 3.738366, 20210824, 19:49:21.40319, 12.17695
0, McLaughlinCluster, study, 0, 0, study, -6.854065, 7.231139, 3.750819, 20210824, 19:49:21.41704, 12.19062
0, McLaughlinCluster, study, 0, 0, study, -6.855652, 7.275912, 3.780714, 20210824, 19:49:21.43112, 12.20467
0, McLaughlinCluster, study, 0, 0, study, -6.841095, 7.356874, 3.785434, 20210824, 19:49:21.44485, 12.21868
0, McLaughlinCluster, study, 0, 0, study, -6.854767, 7.377644, 3.791786, 20210824, 19:49:21.45904, 12.23259
0, McLaughlinCluster, study, 0, 0, study, -6.887543, 7.419274, 3.78259, 20210824, 19:49:21.47307, 12.24652
0, McLaughlinCluster, study, 0, 0, study, -6.894989, 7.465661, 3.796984, 20210824, 19:49:21.48647, 12.26012
0, McLaughlinCluster, study, 0, 0, study, -6.879883, 7.515419, 3.808702, 20210824, 19:49:21.50047, 12.27431
0, McLaughlinCluster, study, 0, 0, study, -6.808075, 7.565631, 3.80412, 20210824, 19:49:21.51454, 12.28814
0, McLaughlinCluster, study, 0, 0, study, -6.73468, 7.608212, 3.796751, 20210824, 19:49:21.52854, 12.30211
0, McLaughlinCluster, study, 0, 0, study, -6.731903, 7.639948, 3.808579, 20210824, 19:49:21.54224, 12.31606
0, McLaughlinCluster, study, 0, 0, study, -6.784027, 7.672133, 3.820297, 20210824, 19:49:21.55651, 12.33008
0, McLaughlinCluster, study, 0, 0, study, -6.806885, 7.734001, 3.840411, 20210824, 19:49:21.57040, 12.34395
0, McLaughlinCluster, study, 0, 0, study, -6.77832, 7.829292, 3.857504, 20210824, 19:49:21.58384, 12.35769
0, McLaughlinCluster, study, 0, 0, study, -6.745758, 7.896118, 3.896607, 20210824, 19:49:21.59818, 12.37171
0, McLaughlinCluster, study, 0, 0, study, -6.688995, 7.975101, 3.928437, 20210824, 19:49:21.61205, 12.38563
0, McLaughlinCluster, study, 0, 0, study, -6.616852, 8.005285, 3.95289, 20210824, 19:49:21.62559, 12.39943
0, McLaughlinCluster, study, 0, 0, study, -6.581604, 8.018845, 3.970834, 20210824, 19:49:21.63998, 12.41354
0, McLaughlinCluster, study, 0, 0, study, -6.57196, 8.020288, 3.984844, 20210824, 19:49:21.65358, 12.42721
0, McLaughlinCluster, study, 0, 0, study, -6.568512, 8.017859, 3.993923, 20210824, 19:49:21.66780, 12.44138
0, McLaughlinCluster, study, 0, 0, study, -6.596039, 8.013881, 3.991348, 20210824, 19:49:21.68135, 12.45519
0, McLaughlinCluster, study, 0, 0, study, -6.54538, 8.012159, 3.988168, 20210824, 19:49:21.69568, 12.46927
0, McLaughlinCluster, study, 0, 0, study, -6.503571, 7.967867, 3.971968, 20210824, 19:49:21.70955, 12.48312
0, McLaughlinCluster, study, 0, 0, study, -6.507568, 7.926561, 3.959788, 20210824, 19:49:21.72369, 12.4975
0, McLaughlinCluster, study, 0, 0, study, -6.506683, 7.933432, 3.946992, 20210824, 19:49:21.73766, 12.5111
0, McLaughlinCluster, study, 0, 0, study, -6.513519, 7.902808, 3.94368, 20210824, 19:49:21.75106, 12.52468
0, McLaughlinCluster, study, 0, 0, study, -6.505432, 7.881464, 3.955425, 20210824, 19:49:21.76501, 12.53881
0, McLaughlinCluster, study, 0, 0, study, -6.504181, 7.82994, 3.984921, 20210824, 19:49:21.77923, 12.5528
0, McLaughlinCluster, study, 0, 0, study, -6.507568, 7.760167, 4.036096, 20210824, 19:49:21.79326, 12.5667
0, McLaughlinCluster, study, 0, 0, study, -6.502319, 7.714581, 4.066188, 20210824, 19:49:21.80702, 12.58062
0, McLaughlinCluster, study, 0, 0, study, -6.490601, 7.66468, 4.112261, 20210824, 19:49:21.82049, 12.59434
0, McLaughlinCluster, study, 0, 0, study, -6.470947, 7.694918, 4.156777, 20210824, 19:49:21.83490, 12.60844
0, McLaughlinCluster, study, 0, 0, study, -6.483032, 7.760516, 4.195087, 20210824, 19:49:21.84866, 12.62224
0, McLaughlinCluster, study, 0, 0, study, -6.488647, 7.837235, 4.25156, 20210824, 19:49:21.86267, 12.63632
0, McLaughlinCluster, study, 0, 0, study, -6.493408, 7.86542, 4.344028, 20210824, 19:49:21.87658, 12.65022
0, McLaughlinCluster, study, 0, 0, study, -6.466583, 7.840558, 4.46169, 20210824, 19:49:21.89054, 12.66409
0, McLaughlinCluster, study, 0, 0, study, -6.394684, 7.76684, 4.626144, 20210824, 19:49:21.90425, 12.67802
0, McLaughlinCluster, study, 0, 0, study, -6.297821, 7.745838, 4.825108, 20210824, 19:49:21.91849, 12.692
0, McLaughlinCluster, study, 0, 0, study, -6.191376, 7.820064, 5.014679, 20210824, 19:49:21.93280, 12.70597
0, McLaughlinCluster, study, 0, 0, study, -6.1008, 7.914381, 5.249059, 20210824, 19:49:21.94598, 12.71975
0, McLaughlinCluster, study, 0, 0, study, -5.981201, 8.007933, 5.536769, 20210824, 19:49:21.96044, 12.73374
0, McLaughlinCluster, study, 0, 0, study, -5.887817, 8.126245, 5.88617, 20210824, 19:49:21.97443, 12.74772
0, McLaughlinCluster, study, 0, 0, study, -5.799103, 8.233158, 6.258887, 20210824, 19:49:21.98787, 12.76144
0, McLaughlinCluster, study, 0, 0, study, -5.710785, 8.357683, 6.660109, 20210824, 19:49:22.00181, 12.77558
0, McLaughlinCluster, study, 0, 0, study, -5.620117, 8.525985, 7.148914, 20210824, 19:49:22.01581, 12.7894
0, McLaughlinCluster, study, 0, 0, study, -5.558502, 8.721722, 7.653039, 20210824, 19:49:22.02974, 12.80335
0, McLaughlinCluster, study, 0, 0, study, -5.472046, 8.930404, 8.257195, 20210824, 19:49:22.04357, 12.81735
0, McLaughlinCluster, study, 0, 0, study, -5.374329, 9.13556, 8.979592, 20210824, 19:49:22.05790, 12.8312
0, McLaughlinCluster, study, 0, 0, study, -5.29007, 9.384007, 9.769322, 20210824, 19:49:22.07165, 12.84519
0, McLaughlinCluster, study, 0, 0, study, -5.180725, 9.701691, 10.55488, 20210824, 19:49:22.08522, 12.85902
0, McLaughlinCluster, study, 0, 0, study, -5.012482, 10.03156, 11.3529, 20210824, 19:49:22.09950, 12.87309
0, McLaughlinCluster, study, 0, 0, study, -4.858521, 10.34964, 12.21307, 20210824, 19:49:22.11345, 12.88697
0, McLaughlinCluster, study, 0, 0, study, -4.719574, 10.63194, 13.09552, 20210824, 19:49:22.12729, 12.90084
0, McLaughlinCluster, study, 0, 0, study, -4.570587, 10.85076, 14.02897, 20210824, 19:49:22.14093, 12.91473
0, McLaughlinCluster, study, 0, 0, study, -4.440186, 11.02875, 15.0283, 20210824, 19:49:22.15508, 12.92861
0, McLaughlinCluster, study, 0, 0, study, -4.301239, 11.2204, 16.06245, 20210824, 19:49:22.16909, 12.94269
0, McLaughlinCluster, study, 0, 0, study, -4.187683, 11.50537, 17.06511, 20210824, 19:49:22.18267, 12.95644
0, McLaughlinCluster, study, 0, 0, study, -4.077759, 11.73824, 18.03267, 20210824, 19:49:22.19682, 12.97041
0, McLaughlinCluster, study, 0, 0, study, -4.035583, 11.94809, 18.97978, 20210824, 19:49:22.21111, 12.98441
0, McLaughlinCluster, study, 0, 0, study, -4.069031, 12.16704, 19.93534, 20210824, 19:49:22.22453, 12.99829
0, McLaughlinCluster, study, 0, 0, study, -4.136047, 12.35398, 20.88267, 20210824, 19:49:22.23864, 13.01224
0, McLaughlinCluster, study, 0, 0, study, -4.165192, 12.4591, 21.78646, 20210824, 19:49:22.25238, 13.02592
0, McLaughlinCluster, study, 0, 0, study, -4.151855, 12.55513, 22.60852, 20210824, 19:49:22.26647, 13.04009
0, McLaughlinCluster, study, 0, 0, study, -4.187408, 12.62205, 23.34734, 20210824, 19:49:22.28009, 13.05394
0, McLaughlinCluster, study, 0, 0, study, -4.296906, 12.58509, 23.98818, 20210824, 19:49:22.29475, 13.06802
