1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -12.20529, 1.137803, 157.1513, 0.9608154, 552.5089
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, closed, 3.81912, -3.821655, -168.2776, 1.197449, 556.0315
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, -14.54697, -4.165283, 141.3215, 0.8353271, 559.2477
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, open, -7.297974, -2.277527, 147.0923, 1.461792, 563.0949
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, 2.104574, -3.772034, 23.00986, 0.8493042, 566.2115
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 0.6167542, 1.65325, -176.2109, 1.308716, 569.6785
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -7.293427, 2.773239, 173.9673, 0.8633423, 573.3962
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -7.667633, 2.604289, 165.0705, 0.8355713, 576.515
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 0.6103764, -1.079926, 7.698303, 0.62854, 579.3573
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, -5.452759, 4.24522, 179.1026, 0.8772583, 582.406
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, -6.049957, 3.097543, 84.65836, 0.8213501, 585.4071
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, -1.151062, -6.052368, 12.55167, 0.9328613, 588.5958
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 1.832631, -1.363342, -164.6735, 0.6821899, 591.464
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, -6.276642, 1.283231, 157.7494, 0.8910522, 594.7639
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 3.487904, 0.2574954, -74.41626, 0.7797241, 597.813
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 3.572136, 2.533029, -168.9463, 0.8215942, 601.0573
17, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -5.493561, 5.686239, 343.6338, 1.016479, 604.2458
18, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -5.722168, 3.209263, 170.5201, 0.8911743, 607.3089
19, Hop4, -3, Hop4, -93, -90, right, 3, open, open, 1.158337, 4.749758, -172.701, 0.9887085, 610.6227
20, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -4.642578, 5.574396, 329.5072, 0.8215332, 613.8112
21, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -5.982452, 4.708783, 351.2266, 0.7659302, 616.9717
22, AllenSt, 0, AllenSt, -90, -90, right, 3, open, open, 1.687197, 4.342379, -169.5417, 0.8773193, 620.216
23, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -5.380524, 5.376164, 135.381, 0.696167, 623.2234
24, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 2.213526, 1.153299, 14.65839, 0.5709229, 626.1195
25, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, open, -5.189941, 6.851416, 334.3953, 0.7653198, 629.2662
26, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -5.842529, 4.543439, 115.8207, 0.9328613, 632.594
27, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, right, 2, open, open, -6.736298, 5.186908, 257.9544, 0.8771973, 635.8475
28, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, right, 3, closed, closed, 1.554927, 0.3543881, 12.61871, 0.848877, 638.9664
29, NeutralZimmerman, 0, Zimmerman, -190, -90, left, 2, closed, closed, 4.318513, -0.8485718, -239.6073, 1.085754, 642.399
30, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 2.897929, 0.8553607, -153.8749, 0.626709, 645.2953
31, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 4.562307, 0.4198192, -251.8772, 0.7102661, 648.3586
32, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -7.569885, 5.477287, 119.8673, 0.8217773, 651.5472
33, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, left, 2, open, closed, 4.155559, 2.675742, -252.6331, 0.9469604, 654.7773
34, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 1.372292, 3.299979, -167.2658, 0.9191284, 657.9518
35, RaunerFirst, 0, RaunerFirst, 90, 90, left, 3, open, open, -7.63324, 4.862698, 172.5884, 0.8635254, 661.238
36, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 3.871602, 2.778698, -70.17868, 0.7658691, 664.3566
37, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 2.251416, -1.705414, 18.56171, 0.7936401, 667.4614
38, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 1.806276, 1.8793, -165.8491, 0.6962891, 670.5526
39, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 1.982467, 3.183771, -213.6171, 0.7800293, 673.5461
40, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 2.333969, 1.240451, 17.50732, 0.6125488, 676.3585
41, NeutralUmplebys, 0, Umplebys, -140, -90, right, 4, open, open, 0.9616607, 4.598602, -209.8478, 1.044434, 679.5615
42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -6.291779, 4.427026, 160.5399, 1.044434, 682.9032
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -6.406036, 6.222696, 74.35833, 1.099915, 686.1612
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, closed, -6.918732, 4.776886, 155.9566, 0.9194336, 689.3842
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -8.199585, 2.811512, 160.233, 0.9190674, 692.614
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, open, -8.648254, 2.190267, 340.8125, 0.8913574, 695.8451
47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, 4.679461, 0.8796891, -164.3748, 1.002625, 699.1588
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, open, -8.009277, 2.946541, 168.1777, 0.9330444, 702.4224
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, -7.741791, 7.596962, 350.0326, 0.8912354, 705.7363
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 2.911839, -0.05026245, -165.9492, 0.7797852, 708.7437
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, -8.059296, 2.849321, 343.0681, 0.9468994, 712.0427
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 5.814663, 0.6145942, -251.9415, 0.682373, 715.1059
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 4.216186, -0.2750549, -165.6659, 1.016418, 724.4485
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -9.27243, 1.395575, 260.2208, 0.8075562, 727.428
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 5.616997, 1.028847, -159.1011, 0.9468994, 730.6445
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -14.71472, 4.576564, 338.1055, 0.7382202, 733.6659
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 6.407297, 1.801745, -167.5062, 0.6127319, 736.5202
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 6.16221, -1.450714, -164.3701, 0.9329834, 739.7643
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -14.81934, 0.7713613, 65.09753, 0.8493652, 743.0224
60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, open, 6.58202, 2.899907, -163.6891, 1.044312, 746.4468
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, 4.987728, -1.239746, -70.89661, 0.7797241, 749.6076
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, closed, -7.1539, 0.1680015, 343.5782, 0.7936401, 752.8238
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 5.042776, 1.067562, 19.72964, 0.7936401, 756.0402
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, closed, -6.067841, 1.854171, 156.0556, 0.8078003, 759.0986
