1, RaunerFirst, RaunerFirst, 90, 90, right, -1.336456, 2.259509, 88.62119, 20211118, 16:57:31.23661, 558.2502
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.424103, 2.289027, 88.86206, 20211118, 16:57:31.25082, 558.2641
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.51355, 2.367189, 89.15472, 20211118, 16:57:31.26433, 558.2779
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.64859, 2.450587, 89.487, 20211118, 16:57:31.27830, 558.2919
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.845917, 2.501528, 89.86197, 20211118, 16:57:31.29211, 558.3057
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.091705, 2.504426, 90.4652, 20211118, 16:57:31.30581, 558.3197
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.207794, 2.454076, 91.20434, 20211118, 16:57:31.32001, 558.3336
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.283539, 2.461977, 92.13815, 20211118, 16:57:31.33404, 558.3477
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.417694, 2.519639, 93.32021, 20211118, 16:57:31.34793, 558.3616
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.488342, 2.564737, 94.68411, 20211118, 16:57:31.36147, 558.3754
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.7099, 2.613914, 96.45924, 20211118, 16:57:31.37582, 558.3894
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.286591, 2.429753, 99.0981, 20211118, 16:57:31.38974, 558.4033
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.842499, 2.181829, 102.3272, 20211118, 16:57:31.40377, 558.4173
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.093597, 2.190555, 106.404, 20211118, 16:57:31.41755, 558.4312
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.932739, 2.426589, 110.3284, 20211118, 16:57:31.43159, 558.445
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.74411, 2.731757, 114.244, 20211118, 16:57:31.44520, 558.459
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.964264, 2.839633, 118.1474, 20211118, 16:57:31.45934, 558.4729
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.519196, 2.901628, 122.0494, 20211118, 16:57:31.47334, 558.4869
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.005402, 3.198757, 126.2235, 20211118, 16:57:31.48771, 558.5014
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.008179, 3.448539, 130.235, 20211118, 16:57:31.50083, 558.5147
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.693359, 3.524499, 134.1013, 20211118, 16:57:31.51515, 558.5287
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.346283, 3.45699, 137.6727, 20211118, 16:57:31.52860, 558.5422
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.139191, 3.305443, 140.9249, 20211118, 16:57:31.54256, 558.5564
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.179657, 3.129374, 143.8414, 20211118, 16:57:31.55670, 558.5704
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.313873, 3.208215, 146.6688, 20211118, 16:57:31.57060, 558.5842
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.227325, 3.401638, 149.3506, 20211118, 16:57:31.58451, 558.5983
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.876556, 3.504096, 151.8371, 20211118, 16:57:31.59860, 558.6122
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.602966, 3.684462, 154.1118, 20211118, 16:57:31.61250, 558.626
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.543701, 4.079765, 156.3162, 20211118, 16:57:31.62606, 558.6399
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.532715, 4.448665, 158.3143, 20211118, 16:57:31.64032, 558.6539
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.370239, 4.592258, 159.9831, 20211118, 16:57:31.65432, 558.6679
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.259918, 4.54872, 161.5318, 20211118, 16:57:31.66813, 558.6817
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.421387, 4.545719, 162.9904, 20211118, 16:57:31.68181, 558.6958
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.368835, 4.743908, 164.3516, 20211118, 16:57:31.69586, 558.7095
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.910553, 5.15401, 165.5478, 20211118, 16:57:31.71053, 558.7241
