1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -3.788177, 6.156481, 166.779, 0.8494263, 559.0856
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, closed, 0.4941143, 4.070997, -172.4317, 0.7519531, 571.3366
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, -3.520264, 7.046961, 162.228, 1.476013, 576.6825
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, closed, -2.591705, 7.377098, 160.9464, 1.09967, 592.147
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, -0.2546387, 6.057054, 23.82523, 1.057861, 605.0671
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, -1.557587, 6.854066, -172.7723, 0.696167, 612.7799
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, open, -5.41571, 5.267915, 161.4561, 0.7098999, 637.6018
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -4.520386, 7.726624, 168.4103, 0.6265259, 642.5582
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, -1.516296, 6.059871, 7.639618, 0.5986938, 648.1547
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, -2.900543, 7.425776, 166.5335, 0.7102661, 660.4543
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, -5.952606, 5.939502, 60.38987, 1.796265, 666.8293
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, open, -0.4584045, 2.342381, 9.009918, 0.8774414, 673.2192
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 0.3262801, 4.216341, -160.4183, 1.072144, 677.3122
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, -5.163086, 11.13796, 161.2108, 1.126404, 682.0035
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, -1.302032, 4.335704, -67.21295, 1.016479, 687.6281
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, closed, -0.9530334, 5.448318, -160.1823, 0.8354492, 695.1596
17, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -2.784485, 8.655971, 341.5157, 0.7659302, 699.712
18, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -4.176788, 5.971046, 165.5372, 0.6826782, 705.1555
19, Hop4, -3, Hop4, -93, -90, right, 3, open, open, -1.579071, 6.040091, -163.5576, 1.475891, 710.348
20, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -2.053192, 6.497875, 339.4518, 0.7242432, 714.4966
21, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -3.253632, 9.238533, 340.9937, 2.18573, 720.3158
22, AllenSt, 0, AllenSt, -90, -90, right, 3, open, open, -1.246033, 4.792906, -159.6559, 1.434021, 726.7476
23, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -2.653259, 4.759977, 154.1014, 0.8770752, 731.467
24, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, -0.4790649, 6.190001, 17.12341, 0.654541, 736.0611
25, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -4.965454, 7.169168, 336.9808, 0.737854, 740.2237
26, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -3.717896, 7.568575, 109.3946, 0.710022, 744.1216
27, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, right, 2, open, open, -3.725739, 6.272718, 254.6215, 0.8493652, 747.9253
28, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, right, 3, closed, closed, -2.220337, 3.79794, 10.99915, 1.127625, 752.1157
29, NeutralZimmerman, 0, Zimmerman, -190, -90, left, 2, closed, closed, -1.126831, 3.7087, -263.0318, 0.8354492, 755.8348
30, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, -1.275543, 5.629978, -162.4833, 0.6824341, 759.4548
31, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, closed, -1.415497, 5.864849, -257.1143, 0.8213501, 763.4641
32, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -2.709808, 3.847291, 110.4165, 0.710022, 767.7937
33, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, left, 2, open, open, -2.57489, 4.115532, -257.225, 0.8216553, 771.4551
34, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, -0.9385681, 4.784132, -163.0765, 0.9467773, 775.367
35, RaunerFirst, 0, RaunerFirst, 90, 90, left, 3, open, open, -4.759247, 7.243963, 154.7334, 1.127869, 779.4321
36, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, -1.839752, 5.482405, -69.01852, 0.9469604, 783.3581
37, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, -1.369049, 2.966266, 15.57379, 0.696167, 788.7734
38, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, -0.5829773, 3.292611, -148.0247, 0.7935791, 792.2121
39, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, -0.4831238, 5.612743, -214.2573, 0.7797241, 796.0126
40, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, open, -0.2710571, 5.542377, 25.39117, 0.5848999, 799.8272
41, NeutralUmplebys, 0, Umplebys, -140, -90, right, 4, open, open, -0.1528015, 4.257877, -211.2202, 1.517334, 804.7561
42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -3.946259, 5.434116, 161.2286, 1.016235, 808.3763
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -3.687683, 5.99655, 61.26791, 0.723999, 813.903
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, closed, -4.279083, 4.58068, 145.354, 1.141785, 817.7328
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -3.092896, 4.940478, 154.1465, 0.8909912, 821.5474
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, open, -3.365082, 6.092339, 329.917, 1.086182, 825.6837
47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, -0.6037903, 3.537781, -162.1262, 1.294495, 830.027
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -2.632538, 3.306152, 155.9479, 0.9606323, 833.7836
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, -3.545868, 9.139257, 347.4297, 1.614685, 838.2523
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, -1.496613, 4.336113, -161.6603, 0.6820679, 841.3151
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, -5.176392, 8.070314, 341.967, 0.7936401, 845.155
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, -1.912567, 3.783201, -249.9016, 0.6265259, 848.9139
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, -0.3823547, 3.368581, -162.0324, 0.6962891, 858.2555
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -4.269867, 5.944108, 256.1721, 0.6264038, 862.1254
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, -0.8017273, 4.533034, -163.4753, 0.723938, 865.9816
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -5.001465, 6.40616, 334.9502, 0.7379761, 870.0607
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, -0.3417969, 4.031487, -160.4829, 0.723938, 874.0283
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 0.3345455, 2.252383, -158.0833, 0.696106, 877.815
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -4.89801, 3.740183, 59.11572, 0.765625, 881.852
60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, open, -2.204071, 5.202755, -164.5388, 1.086243, 885.7474
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, -1.949677, 5.564794, -68.73975, 0.8909302, 889.5616
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, closed, -3.408234, 6.712547, 353.5903, 1.90741, 894.4066
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, -1.554169, 6.366885, 22.74139, 0.9465942, 898.1791
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, closed, -1.985626, 9.382864, 159.6245, 1.253113, 902.275
65, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, -0.5891113, 2.818701, -157.5383, 0.8076782, 905.8947
66, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -0.7929077, 3.242493, 118.6154, 0.5986938, 909.7369
67, RaunerBackHall, 0, RaunerBackHall, -90, -90, right, 3, closed, open, 1.985836, 5.539296, -168.1104, 1.392456, 914.4007
68, NeutralMooreLot, 0, MooreLot, 270, 90, right, 2, open, open, -1.973999, 7.548397, 343.1142, 0.9473267, 918.4866
