1, RaunerFirst, RaunerFirst, 90, 90, right, 1.889735, -14.77084, 90.20207, 20210825, 09:46:16.89871, 642.6498
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.880901, -14.77216, 90.20236, 20210825, 09:46:16.91228, 642.6638
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.865142, -14.76657, 90.20619, 20210825, 09:46:16.92605, 642.6777
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.859825, -14.77377, 90.22334, 20210825, 09:46:16.94017, 642.6916
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.858016, -14.76926, 90.22585, 20210825, 09:46:16.95410, 642.7056
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.85907, -14.76019, 90.22079, 20210825, 09:46:16.96772, 642.7195
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.865996, -14.75305, 90.21449, 20210825, 09:46:16.98206, 642.7335
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.868949, -14.74557, 90.21438, 20210825, 09:46:16.99574, 642.7473
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.869856, -14.74915, 90.20948, 20210825, 09:46:17.00979, 642.7613
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.867932, -14.74146, 90.20014, 20210825, 09:46:17.02413, 642.7756
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.871059, -14.73334, 90.18497, 20210825, 09:46:17.03812, 642.7892
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.866342, -14.73203, 90.16791, 20210825, 09:46:17.05166, 642.803
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.867634, -14.72296, 90.1522, 20210825, 09:46:17.06519, 642.8169
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.86955, -14.71613, 90.13583, 20210825, 09:46:17.07933, 642.8309
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.889844, -14.698, 90.13004, 20210825, 09:46:17.09335, 642.8448
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.896278, -14.69446, 90.12884, 20210825, 09:46:17.10708, 642.8588
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.908359, -14.68698, 90.12907, 20210825, 09:46:17.12114, 642.8727
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.91083, -14.67575, 90.12247, 20210825, 09:46:17.13509, 642.8865
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.926632, -14.6662, 90.09384, 20210825, 09:46:17.14892, 642.9004
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.946857, -14.63412, 90.03452, 20210825, 09:46:17.16277, 642.9144
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.955283, -14.59628, 89.95572, 20210825, 09:46:17.17688, 642.9283
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.917195, -14.58789, 89.84351, 20210825, 09:46:17.19082, 642.9423
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.919373, -14.55286, 89.75443, 20210825, 09:46:17.20468, 642.9562
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.907507, -14.51636, 89.68503, 20210825, 09:46:17.21874, 642.9701
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.92455, -14.51416, 89.65808, 20210825, 09:46:17.23286, 642.9843
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.949481, -14.53961, 89.65005, 20210825, 09:46:17.24619, 642.9979
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.982973, -14.55453, 89.64792, 20210825, 09:46:17.26050, 643.0118
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.962248, -14.56775, 89.72183, 20210825, 09:46:17.27434, 643.0258
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.927485, -14.57773, 89.83438, 20210825, 09:46:17.28802, 643.0397
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.820307, -14.59396, 90.19855, 20210825, 09:46:17.30212, 643.0536
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.718905, -14.57721, 90.66379, 20210825, 09:46:17.31608, 643.0676
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.562175, -14.57159, 91.24998, 20210825, 09:46:17.33014, 643.0815
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.317396, -14.58694, 92.04549, 20210825, 09:46:17.34368, 643.0955
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.9816145, -14.58252, 93.12505, 20210825, 09:46:17.35788, 643.1093
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.5602723, -14.52267, 94.58676, 20210825, 09:46:17.37176, 643.1232
1, RaunerFirst, RaunerFirst, 90, 90, right, 0.00628112, -14.40231, 96.41426, 20210825, 09:46:17.38537, 643.1371
1, RaunerFirst, RaunerFirst, 90, 90, right, -0.6949768, -14.26273, 98.80101, 20210825, 09:46:17.39956, 643.1511
1, RaunerFirst, RaunerFirst, 90, 90, right, -1.335449, -14.04968, 101.4286, 20210825, 09:46:17.41354, 643.165
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.005463, -13.70474, 104.2419, 20210825, 09:46:17.42723, 643.179
1, RaunerFirst, RaunerFirst, 90, 90, right, -2.701324, -13.21588, 107.463, 20210825, 09:46:17.44148, 643.193
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.312927, -12.78033, 110.7474, 20210825, 09:46:17.45540, 643.2068
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.775604, -12.42963, 114.2492, 20210825, 09:46:17.46932, 643.2206
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.120941, -12.0929, 117.8203, 20210825, 09:46:17.48327, 643.2347
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.437988, -11.68613, 121.3111, 20210825, 09:46:17.49721, 643.2486
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.733582, -11.19223, 124.8248, 20210825, 09:46:17.51113, 643.2625
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.993622, -10.59076, 128.3121, 20210825, 09:46:17.52495, 643.2764
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.140076, -9.950073, 131.701, 20210825, 09:46:17.53899, 643.2905
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.227631, -9.217529, 134.9259, 20210825, 09:46:17.55277, 643.3043
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.269501, -8.507629, 137.9486, 20210825, 09:46:17.56718, 643.3189
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.282593, -7.81546, 140.7942, 20210825, 09:46:17.58067, 643.3322
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.247467, -7.106964, 143.4505, 20210825, 09:46:17.59455, 643.3461
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.164429, -6.412872, 145.9532, 20210825, 09:46:17.60857, 643.36
1, RaunerFirst, RaunerFirst, 90, 90, right, -5.050873, -5.710388, 148.2598, 20210825, 09:46:17.62210, 643.3738
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.864594, -5.012695, 150.3948, 20210825, 09:46:17.63628, 643.3878
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.610748, -4.306763, 152.2062, 20210825, 09:46:17.65022, 643.4016
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.393921, -3.683868, 153.8313, 20210825, 09:46:17.66384, 643.4156
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.223938, -3.111938, 155.2517, 20210825, 09:46:17.67841, 643.4296
1, RaunerFirst, RaunerFirst, 90, 90, right, -4.090454, -2.647095, 156.3598, 20210825, 09:46:17.69227, 643.4436
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.947144, -2.308258, 157.3935, 20210825, 09:46:17.70571, 643.4575
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.789673, -2.030792, 158.1317, 20210825, 09:46:17.72018, 643.4713
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.594391, -1.693115, 158.6665, 20210825, 09:46:17.73379, 643.4852
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.452454, -1.340576, 159.0614, 20210825, 09:46:17.74789, 643.4994
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.390289, -1.043274, 159.3705, 20210825, 09:46:17.76191, 643.5132
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.420258, -0.9058838, 159.478, 20210825, 09:46:17.77561, 643.527
1, RaunerFirst, RaunerFirst, 90, 90, right, -3.486115, -0.8245544, 159.5753, 20210825, 09:46:17.78949, 643.541
