1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -4.058838, -1.458679, 157.9696, 1.058228, 643.6942
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 3.303421, -10.61871, -172.4522, 1.030334, 647.7877
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, -4.846985, 0.9636669, 156.0582, 0.9050903, 651.1432
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, closed, -4.927795, -0.3231201, 156.9294, 1.19751, 654.7894
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, open, 3.636452, -5.887573, 9.792328, 1.058655, 658.311
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 3.076505, -5.01825, -170.6299, 1.058289, 661.8195
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -6.343201, 0.1563782, 155.0342, 1.016479, 665.2167
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -5.729614, -1.874054, 154.7263, 1.002563, 668.6002
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 3.099098, -7.476471, 16.20493, 0.9884644, 672.0392
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, -4.91864, -2.201721, 156.5736, 1.044373, 675.4529
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, -4.223694, 3.467579, 69.27866, 1.08606, 678.9622
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 1.702411, -11.02374, 19.88773, 1.016602, 682.457
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 2.863847, -3.967896, -169.5022, 1.141724, 685.9655
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, -6.486511, 8.233351, 157.8717, 1.322815, 689.6553
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 2.535388, -4.32724, -76.78323, 1.058228, 693.1501
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 3.045084, -6.496277, -168.9707, 0.9747314, 696.4639
17, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -3.045288, 3.40273, 342.245, 1.058411, 699.8752
