0, McLaughlinCluster, study, 0, 0, study, -15.72775, -19.33536, 36.27288, 20211213, 20:47:05.45436, 9.737165
0, McLaughlinCluster, study, 0, 0, study, -13.9736, -21.6293, 36.98811, 20211213, 20:47:05.46904, 9.758303
0, McLaughlinCluster, study, 0, 0, study, -13.58469, -22.10635, 37.15142, 20211213, 20:47:05.47037, 9.759979
0, McLaughlinCluster, study, 0, 0, study, -13.31024, -22.05893, 37.66298, 20211213, 20:47:05.49279, 9.781947
0, McLaughlinCluster, study, 0, 0, study, -13.1489, -22.07791, 38.02318, 20211213, 20:47:05.50753, 9.797112
0, McLaughlinCluster, study, 0, 0, study, -13.02768, -22.21719, 38.37141, 20211213, 20:47:05.52024, 9.809595
0, McLaughlinCluster, study, 0, 0, study, -12.92316, -22.37619, 38.6494, 20211213, 20:47:05.53421, 9.823536
0, McLaughlinCluster, study, 0, 0, study, -12.72403, -22.47687, 38.83383, 20211213, 20:47:05.54793, 9.837542
0, McLaughlinCluster, study, 0, 0, study, -12.44763, -22.58658, 38.96496, 20211213, 20:47:05.56205, 9.851415
0, McLaughlinCluster, study, 0, 0, study, -12.08142, -22.63565, 39.00254, 20211213, 20:47:05.57592, 9.865358
0, McLaughlinCluster, study, 0, 0, study, -11.69321, -22.56897, 38.94475, 20211213, 20:47:05.58961, 9.87923
0, McLaughlinCluster, study, 0, 0, study, -11.2991, -22.41525, 38.7704, 20211213, 20:47:05.60390, 9.893256
0, McLaughlinCluster, study, 0, 0, study, -10.94754, -22.24615, 38.56735, 20211213, 20:47:05.61771, 9.90709
0, McLaughlinCluster, study, 0, 0, study, -10.59918, -22.16608, 38.34466, 20211213, 20:47:05.63167, 9.921019
0, McLaughlinCluster, study, 0, 0, study, -10.24527, -22.09854, 38.08806, 20211213, 20:47:05.64533, 9.934951
0, McLaughlinCluster, study, 0, 0, study, -9.875153, -22.03922, 37.80462, 20211213, 20:47:05.65973, 9.948931
0, McLaughlinCluster, study, 0, 0, study, -9.523315, -21.99271, 37.51933, 20211213, 20:47:05.67369, 9.962976
0, McLaughlinCluster, study, 0, 0, study, -9.103394, -21.9003, 37.12863, 20211213, 20:47:05.68710, 9.976714
0, McLaughlinCluster, study, 0, 0, study, -8.655396, -21.89249, 36.75121, 20211213, 20:47:05.70120, 9.990621
0, McLaughlinCluster, study, 0, 0, study, -8.237, -21.88113, 36.39675, 20211213, 20:47:05.71517, 10.00457
0, McLaughlinCluster, study, 0, 0, study, -7.807556, -21.86893, 36.03428, 20211213, 20:47:05.72913, 10.01858
0, McLaughlinCluster, study, 0, 0, study, -7.428253, -21.77243, 35.70699, 20211213, 20:47:05.74321, 10.03255
0, McLaughlinCluster, study, 0, 0, study, -7.051453, -21.62906, 35.34568, 20211213, 20:47:05.75702, 10.04642
0, McLaughlinCluster, study, 0, 0, study, -7.101288, -21.05441, 34.77486, 20211213, 20:47:05.77105, 10.06039
0, McLaughlinCluster, study, 0, 0, study, -6.728973, -20.5632, 34.37856, 20211213, 20:47:05.78461, 10.07422
0, McLaughlinCluster, study, 0, 0, study, -6.043823, -20.39951, 33.98413, 20211213, 20:47:05.79894, 10.08828
0, McLaughlinCluster, study, 0, 0, study, -5.261902, -20.42874, 33.5919, 20211213, 20:47:05.81302, 10.10237
0, McLaughlinCluster, study, 0, 0, study, -4.982483, -20.51178, 33.29712, 20211213, 20:47:05.82646, 10.1161
0, McLaughlinCluster, study, 0, 0, study, -4.753479, -20.51495, 33.07538, 20211213, 20:47:05.84061, 10.12996
0, McLaughlinCluster, study, 0, 0, study, -4.466888, -20.37823, 32.97574, 20211213, 20:47:05.85485, 10.14393
0, McLaughlinCluster, study, 0, 0, study, -4.435699, -20.20587, 33.05026, 20211213, 20:47:05.86815, 10.15776
0, McLaughlinCluster, study, 0, 0, study, -4.467865, -19.90186, 33.14896, 20211213, 20:47:05.88234, 10.17169
0, McLaughlinCluster, study, 0, 0, study, -4.48526, -19.6561, 33.28845, 20211213, 20:47:05.89648, 10.18559
0, McLaughlinCluster, study, 0, 0, study, -4.524353, -19.42465, 33.49232, 20211213, 20:47:05.91008, 10.19969
0, McLaughlinCluster, study, 0, 0, study, -4.385834, -19.21664, 33.56645, 20211213, 20:47:05.92417, 10.21353
0, McLaughlinCluster, study, 0, 0, study, -4.507996, -19.06073, 33.78732, 20211213, 20:47:05.93809, 10.22749
0, McLaughlinCluster, study, 0, 0, study, -4.618774, -18.83044, 33.95272, 20211213, 20:47:05.95196, 10.24124
0, McLaughlinCluster, study, 0, 0, study, -4.455963, -18.6123, 34.16618, 20211213, 20:47:05.96554, 10.25517
0, McLaughlinCluster, study, 0, 0, study, -4.462006, -18.32028, 34.41022, 20211213, 20:47:05.97977, 10.26916
0, McLaughlinCluster, study, 0, 0, study, -4.563629, -17.9599, 34.65747, 20211213, 20:47:05.99370, 10.28306
0, McLaughlinCluster, study, 0, 0, study, -4.686676, -17.51736, 34.86179, 20211213, 20:47:06.00771, 10.29706
0, McLaughlinCluster, study, 0, 0, study, -4.497681, -16.84766, 34.0453, 20211213, 20:47:06.02144, 10.31078
0, McLaughlinCluster, study, 0, 0, study, -4.796265, -16.69391, 35.2316, 20211213, 20:47:06.03556, 10.3249
0, McLaughlinCluster, study, 0, 0, study, -4.990753, -16.41809, 35.5239, 20211213, 20:47:06.04912, 10.33878
0, McLaughlinCluster, study, 0, 0, study, -5.262909, -16.04193, 35.76315, 20211213, 20:47:06.06340, 10.35275
0, McLaughlinCluster, study, 0, 0, study, -5.400116, -15.92151, 35.62568, 20211213, 20:47:06.07754, 10.36662
0, McLaughlinCluster, study, 0, 0, study, -5.886505, -16.23587, 35.8457, 20211213, 20:47:06.09110, 10.38052
0, McLaughlinCluster, study, 0, 0, study, -5.645844, -15.98996, 35.3211, 20211213, 20:47:06.10478, 10.39444
0, McLaughlinCluster, study, 0, 0, study, -5.347626, -16.25458, 35.1162, 20211213, 20:47:06.11920, 10.40831
0, McLaughlinCluster, study, 0, 0, study, -5.045105, -16.42407, 34.94172, 20211213, 20:47:06.13286, 10.42228
0, McLaughlinCluster, study, 0, 0, study, -5.008636, -16.54279, 34.74464, 20211213, 20:47:06.14665, 10.43624
0, McLaughlinCluster, study, 0, 0, study, -5.098206, -16.41266, 34.49476, 20211213, 20:47:06.16077, 10.45013
0, McLaughlinCluster, study, 0, 0, study, -4.933289, -16.42044, 34.40168, 20211213, 20:47:06.17471, 10.46407
0, McLaughlinCluster, study, 0, 0, study, -5.114807, -16.36218, 34.28057, 20211213, 20:47:06.18849, 10.47798
0, McLaughlinCluster, study, 0, 0, study, -5.094299, -16.26709, 34.07845, 20211213, 20:47:06.20250, 10.49185
0, McLaughlinCluster, study, 0, 0, study, -4.904816, -16.24866, 33.87622, 20211213, 20:47:06.21679, 10.50616
0, McLaughlinCluster, study, 0, 0, study, -4.793518, -16.15897, 33.65853, 20211213, 20:47:06.23034, 10.51972
0, McLaughlinCluster, study, 0, 0, study, -4.685028, -16.04123, 33.50039, 20211213, 20:47:06.24429, 10.53366
0, McLaughlinCluster, study, 0, 0, study, -4.47876, -16.05386, 33.36851, 20211213, 20:47:06.25842, 10.54765
0, McLaughlinCluster, study, 0, 0, study, -4.416138, -15.97684, 33.27439, 20211213, 20:47:06.27226, 10.56164
0, McLaughlinCluster, study, 0, 0, study, -4.342255, -15.81842, 33.20568, 20211213, 20:47:06.28578, 10.57536
0, McLaughlinCluster, study, 0, 0, study, -4.172302, -15.55551, 33.16779, 20211213, 20:47:06.29986, 10.58929
0, McLaughlinCluster, study, 0, 0, study, -3.890717, -15.30124, 33.06282, 20211213, 20:47:06.31387, 10.60325
0, McLaughlinCluster, study, 0, 0, study, -3.733337, -15.00543, 33.03237, 20211213, 20:47:06.32782, 10.61718
0, McLaughlinCluster, study, 0, 0, study, -3.607971, -14.70316, 33.14132, 20211213, 20:47:06.34201, 10.6312
0, McLaughlinCluster, study, 0, 0, study, -3.491119, -14.48584, 33.28949, 20211213, 20:47:06.35574, 10.6451
0, McLaughlinCluster, study, 0, 0, study, -3.314758, -14.16248, 33.47995, 20211213, 20:47:06.36927, 10.65888
0, McLaughlinCluster, study, 0, 0, study, -3.130096, -13.81042, 33.69141, 20211213, 20:47:06.38356, 10.67291
0, McLaughlinCluster, study, 0, 0, study, -2.98584, -13.47266, 33.83798, 20211213, 20:47:06.39750, 10.68684
0, McLaughlinCluster, study, 0, 0, study, -2.744202, -13.07413, 33.89962, 20211213, 20:47:06.41136, 10.70073
0, McLaughlinCluster, study, 0, 0, study, -2.382568, -12.6817, 33.90736, 20211213, 20:47:06.42537, 10.71502
0, McLaughlinCluster, study, 0, 0, study, -2.153839, -12.38922, 33.91216, 20211213, 20:47:06.43930, 10.72858
0, McLaughlinCluster, study, 0, 0, study, -1.94101, -12.06799, 33.80658, 20211213, 20:47:06.45307, 10.74245
0, McLaughlinCluster, study, 0, 0, study, -1.665771, -11.85025, 33.63605, 20211213, 20:47:06.46676, 10.75633
0, McLaughlinCluster, study, 0, 0, study, -1.266937, -11.61566, 33.43943, 20211213, 20:47:06.48095, 10.7703
0, McLaughlinCluster, study, 0, 0, study, -0.9670105, -11.28284, 33.189, 20211213, 20:47:06.49526, 10.78435
0, McLaughlinCluster, study, 0, 0, study, -0.5509949, -10.88675, 32.9329, 20211213, 20:47:06.50865, 10.79821
0, McLaughlinCluster, study, 0, 0, study, -0.1255493, -10.61667, 32.6733, 20211213, 20:47:06.52295, 10.81226
0, McLaughlinCluster, study, 0, 0, study, 0.3243307, -10.53732, 32.36917, 20211213, 20:47:06.53668, 10.82605
0, McLaughlinCluster, study, 0, 0, study, 0.7050814, -10.49454, 32.04677, 20211213, 20:47:06.55026, 10.83986
0, McLaughlinCluster, study, 0, 0, study, 1.123583, -10.48108, 31.70245, 20211213, 20:47:06.56447, 10.85383
0, McLaughlinCluster, study, 0, 0, study, 1.541761, -10.40265, 31.26718, 20211213, 20:47:06.57849, 10.86788
0, McLaughlinCluster, study, 0, 0, study, 1.964411, -10.20886, 30.84014, 20211213, 20:47:06.59229, 10.88168
0, McLaughlinCluster, study, 0, 0, study, 2.377755, -9.97467, 30.40694, 20211213, 20:47:06.60611, 10.89566
0, McLaughlinCluster, study, 0, 0, study, 2.740797, -9.929291, 29.97373, 20211213, 20:47:06.62015, 10.90952
0, McLaughlinCluster, study, 0, 0, study, 3.211829, -9.884125, 29.41026, 20211213, 20:47:06.63441, 10.92348
0, McLaughlinCluster, study, 0, 0, study, 3.66145, -9.919586, 28.76997, 20211213, 20:47:06.64773, 10.93739
0, McLaughlinCluster, study, 0, 0, study, 4.174978, -9.945068, 28.13595, 20211213, 20:47:06.66205, 10.95142
0, McLaughlinCluster, study, 0, 0, study, 4.691607, -9.815826, 27.57131, 20211213, 20:47:06.67587, 10.96523
0, McLaughlinCluster, study, 0, 0, study, 5.196015, -9.701233, 27.0182, 20211213, 20:47:06.68971, 10.97932
0, McLaughlinCluster, study, 0, 0, study, 5.541192, -9.802124, 26.54983, 20211213, 20:47:06.70372, 10.99313
0, McLaughlinCluster, study, 0, 0, study, 5.723994, -9.873749, 26.01637, 20211213, 20:47:06.71752, 11.00689
0, McLaughlinCluster, study, 0, 0, study, 5.742242, -9.854004, 25.68744, 20211213, 20:47:06.73152, 11.0209
0, McLaughlinCluster, study, 0, 0, study, 5.589083, -9.744354, 25.50336, 20211213, 20:47:06.74524, 11.03485
0, McLaughlinCluster, study, 0, 0, study, 5.610117, -9.585388, 25.32148, 20211213, 20:47:06.75974, 11.04885
0, McLaughlinCluster, study, 0, 0, study, 5.336332, -9.519501, 25.16899, 20211213, 20:47:06.77370, 11.06277
0, McLaughlinCluster, study, 0, 0, study, 5.40708, -9.470703, 24.82454, 20211213, 20:47:06.78693, 11.07658
0, McLaughlinCluster, study, 0, 0, study, 5.363064, -9.428497, 24.56923, 20211213, 20:47:06.80115, 11.09052
0, McLaughlinCluster, study, 0, 0, study, 5.406951, -9.322815, 24.3479, 20211213, 20:47:06.81501, 11.10444
0, McLaughlinCluster, study, 0, 0, study, 5.310698, -9.154541, 24.24313, 20211213, 20:47:06.82897, 11.11833
0, McLaughlinCluster, study, 0, 0, study, 5.141519, -9.018433, 24.03542, 20211213, 20:47:06.84293, 11.13234
0, McLaughlinCluster, study, 0, 0, study, 5.050387, -8.822815, 23.91589, 20211213, 20:47:06.85683, 11.14629
0, McLaughlinCluster, study, 0, 0, study, 5.018808, -8.644592, 23.7834, 20211213, 20:47:06.87091, 11.16021
0, McLaughlinCluster, study, 0, 0, study, 4.843523, -8.417542, 23.55184, 20211213, 20:47:06.88449, 11.17405
0, McLaughlinCluster, study, 0, 0, study, 4.798062, -7.987793, 23.45104, 20211213, 20:47:06.89892, 11.188
0, McLaughlinCluster, study, 0, 0, study, 4.712159, -7.725494, 23.40372, 20211213, 20:47:06.91283, 11.20195
0, McLaughlinCluster, study, 0, 0, study, 4.707295, -7.634644, 23.30602, 20211213, 20:47:06.92619, 11.21583
0, McLaughlinCluster, study, 0, 0, study, 4.684069, -7.715088, 23.21032, 20211213, 20:47:06.94036, 11.22978
0, McLaughlinCluster, study, 0, 0, study, 4.512714, -7.697906, 23.08353, 20211213, 20:47:06.95427, 11.24363
