1, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -12.80746, 2.172788, 161.0752, 6.348083, 524.1385
2, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 7.447519, -4.625214, -170.3327, 2.01886, 528.705
3, Hop2, -1, Hop2, 89, 90, left, 3, open, open, -10.97678, 3.704433, 161.9808, 1.392334, 548.0848
4, NeutralFairbanks, 0, Fairbanks, 90, 90, left, 4, closed, closed, -10.54199, 4.313365, 162.9688, 1.796143, 552.3602
5, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, right, 4, closed, closed, 5.156244, 2.678072, 12.46069, 1.434143, 556.3949
6, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 5.560439, -2.011169, -166.4381, 1.058228, 559.806
7, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, open, -11.45422, 3.234602, 159.8313, 1.030151, 563.2725
8, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -10.4335, 3.638487, 159.6992, 0.9746704, 566.6837
9, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 7.020906, -3.924896, 16.92657, 0.9190674, 570.0807
10, Neutral53Commons, 0, 53Commons, 90, 90, right, 2, open, open, -10.70609, 4.947997, 165.4142, 6.070435, 578.6533
11, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, right, 2, closed, closed, -12.79642, 9.713383, 74.78951, 5.443848, 586.6645
12, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 6.005918, -8.033997, 18.37582, 1.169434, 590.5627
13, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 7.234205, -2.442474, -167.9927, 1.030396, 593.9319
14, PineEntrance, 0, PineEntrance, 90, 90, left, 3, closed, closed, -11.38229, 8.202775, 161.3682, 1.58728, 597.9416
15, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 9.064126, -5.056702, -67.76978, 1.531494, 601.8815
16, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 9.254704, -3.460175, -167.0736, 0.9049683, 605.1533
17, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -14.0708, 4.219168, 335.0769, 1.113892, 608.6617
18, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -10.05472, -1.594177, 155.2944, 0.9885864, 612.0588
19, Hop4, -3, Hop4, -93, -90, right, 3, open, open, 11.70467, -3.872559, -168.5063, 0.9746094, 615.4418
20, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -8.683014, -4.898315, 332.4836, 0.8771973, 618.6859
21, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -11.6366, 1.860349, 329.392, 0.9189453, 621.9019
22, AllenSt, 0, AllenSt, -90, -90, right, 3, open, open, 10.61802, -5.008057, -162.326, 0.8910522, 625.1596
23, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -12.3616, -0.1791382, 154.5643, 0.9747314, 628.5289
24, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 8.776999, 1.202931, 15.40131, 0.8771362, 631.8145
25, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -9.542297, -2.965118, 329.092, 1.211365, 635.4066
26, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -11.03104, -3.57373, 108.053, 1.085999, 638.8731
27, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, right, 2, open, open, -8.847046, -3.057281, 244.5461, 0.8911133, 642.1682
28, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, right, 3, closed, closed, 6.496043, -8.803101, 30.97275, 1.47583, 646.1639
29, NeutralZimmerman, 0, Zimmerman, -190, -90, left, 2, closed, closed, 9.042983, -6.463074, -261.7895, 1.072266, 649.6388
30, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 8.16078, -5.96225, -155.0583, 0.8074341, 652.7991
31, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 9.368004, -6.487366, -248.8539, 0.9190063, 656.1127
32, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -11.45154, -2.263794, 104.1088, 1.044434, 659.5516
33, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, left, 2, open, open, 8.953658, -0.3077087, -254.6166, 1.141602, 663.0876
34, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 8.541999, -4.594299, -163.3893, 0.8911133, 666.4848
35, RaunerFirst, 0, RaunerFirst, 90, 90, left, 3, open, open, -12.23364, 1.047673, 159.8475, 0.9468994, 669.8123
36, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 10.53756, -3.132538, -69.81158, 1.211304, 673.4737
37, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 9.415024, -9.053467, 13.59009, 0.8912354, 676.7037
38, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 11.37805, -4.904266, -167.5606, 1.350525, 680.4628
39, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 9.56259, -6.316986, -209.473, 0.9049683, 683.8041
40, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 9.806693, -1.78186, 16.04071, 1.113953, 687.2707
41, NeutralUmplebys, 0, Umplebys, -140, -90, right, 4, open, open, 7.871466, -4.60495, -212.679, 2.131409, 691.7534
42, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -12.59091, -2.216858, 152.5573, 0.8632813, 695.066
43, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -14.21027, -2.163116, 63.49638, 1.127747, 698.5883
44, NeutralPineEntrance, 0, PineEntrance, 90, 90, right, 2, closed, closed, -10.14374, 10.44751, 162.8523, 5.917358, 706.8901
45, 53Commons, 0, 53Commons, 90, 90, left, 3, open, open, -10.40228, -1.944092, 158.2179, 1.11377, 711.2059
46, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, right, 2, open, open, -9.96756, 4.898687, 334.9941, 5.4021, 719.0796
47, Fairbanks, 0, Fairbanks, -90, -90, right, 3, open, open, 7.419237, -8.188629, -155.4937, 0.8771973, 722.769
48, NeutralMaynard, 0, Maynard, 90, 90, right, 2, closed, closed, -11.42166, 4.062295, 159.5523, 5.249084, 730.5113
49, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, left, 3, open, open, -10.03799, 3.961118, 339.8666, 1.085876, 734.1588
50, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 9.405999, -5.5755, -160.3722, 1.058044, 737.723
51, NeutralPineBackHall, 0, PineBackHall, 270, 90, right, 2, closed, closed, -10.34952, 12.4511, 343.1518, 4.928589, 745.1246
52, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 7.606646, -3.823944, -247.5201, 0.8771362, 750.0949
53, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 8.643273, -6.403351, -157.528, 1.044312, 759.5353
54, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -11.57425, -3.923981, 246.0456, 0.8493652, 762.7234
55, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 9.969234, -6.621368, -162.8209, 0.8493652, 765.9674
56, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -9.031891, -3.010345, 332.5275, 0.9188843, 769.3087
57, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 9.188409, -6.14856, -160.7502, 0.8771973, 772.5248
58, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 9.256767, -7.43042, -159.9924, 1.04425, 775.9358
59, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -8.283661, -6.554077, 53.61959, 0.8493652, 779.124
60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, closed, 8.643823, -6.221893, -164.5637, 5.095703, 786.5263
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, 9.917041, 1.294397, -78.32474, 5.193115, 794.9911
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, closed, -10.03897, 6.376098, 340.9485, 1.517822, 799.0146
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 7.83929, -6.234467, 20.52362, 0.8494263, 802.2865
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, closed, -10.71716, 4.086242, 161.5548, 1.462097, 806.1081
65, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 8.626917, -4.987732, -162.814, 1.15564, 809.9925
66, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -11.97275, 0.3071499, 110.4168, 1.225159, 813.6959
67, RaunerBackHall, 0, RaunerBackHall, -90, -90, right, 3, closed, closed, 7.935925, -0.2320862, -166.8069, 1.141785, 817.2322
68, NeutralMooreLot, 0, MooreLot, 270, 90, right, 2, open, open, -9.030273, 0.891973, 340.5543, 4.650269, 824.2324
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -8.7117, -2.615845, 247.0667, 0.9608154, 827.6712
70, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, left, 4, open, open, -9.612061, 3.082761, 334.8585, 1.489929, 831.4442
71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, closed, -12.47302, -0.6245422, 161.9098, 5.040039, 839.0179
72, NeutralPineEntrance, 0, PineEntrance, 90, 90, left, 4, closed, closed, -10.66751, 4.862375, 161.4554, 1.211487, 842.805
73, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, left, 4, open, open, -9.518799, -2.137817, 155.0624, 1.239319, 846.3635
75, NeutralFairbanks, 0, Fairbanks, -90, -90, right, 4, open, open, 9.491261, -4.165619, -168.312, 1.364624, 856.6522
74, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -9.566437, 1.270532, 159.6807, 3.717285, 852.4336
