0, McLaughlinCluster, study, 0, 0, study, -3.804962, -2.898285, -0.5769653, 20210825, 00:21:17.98831, 25.65434
0, McLaughlinCluster, study, 0, 0, study, -3.789581, -2.886749, -0.4730225, 20210825, 00:21:18.00382, 25.67733
0, McLaughlinCluster, study, 0, 0, study, -3.781586, -2.878448, -0.4464111, 20210825, 00:21:18.00662, 25.68015
0, McLaughlinCluster, study, 0, 0, study, -3.781738, -2.8797, -0.4264221, 20210825, 00:21:18.02038, 25.69416
0, McLaughlinCluster, study, 0, 0, study, -3.761658, -2.887054, -0.4374084, 20210825, 00:21:18.03449, 25.70814
0, McLaughlinCluster, study, 0, 0, study, -3.724335, -2.879822, -0.4610596, 20210825, 00:21:18.04833, 25.72194
0, McLaughlinCluster, study, 0, 0, study, -3.68454, -2.884308, -0.4921265, 20210825, 00:21:18.06212, 25.73585
0, McLaughlinCluster, study, 0, 0, study, -3.689697, -2.902618, -0.5189514, 20210825, 00:21:18.07810, 25.74975
0, McLaughlinCluster, study, 0, 0, study, -3.698303, -2.906494, -0.5385437, 20210825, 00:21:18.09016, 25.7637
0, McLaughlinCluster, study, 0, 0, study, -3.733246, -2.924469, -0.5688171, 20210825, 00:21:18.10373, 25.77763
0, McLaughlinCluster, study, 0, 0, study, -3.78537, -2.930023, -0.6009216, 20210825, 00:21:18.11795, 25.79156
0, McLaughlinCluster, study, 0, 0, study, -3.802887, -2.916077, -0.6100769, 20210825, 00:21:18.13202, 25.8056
0, McLaughlinCluster, study, 0, 0, study, -3.825165, -2.888794, -0.6201477, 20210825, 00:21:18.14559, 25.81945
0, McLaughlinCluster, study, 0, 0, study, -3.838623, -2.84967, -0.6217346, 20210825, 00:21:18.15970, 25.8333
0, McLaughlinCluster, study, 0, 0, study, -3.819031, -2.788879, -0.6228027, 20210825, 00:21:18.17351, 25.84724
0, McLaughlinCluster, study, 0, 0, study, -3.811707, -2.766449, -0.60495, 20210825, 00:21:18.18749, 25.8611
0, McLaughlinCluster, study, 0, 0, study, -3.831909, -2.753845, -0.5783691, 20210825, 00:21:18.20122, 25.87511
0, McLaughlinCluster, study, 0, 0, study, -3.865112, -2.746246, -0.5427856, 20210825, 00:21:18.21542, 25.88897
0, McLaughlinCluster, study, 0, 0, study, -3.859161, -2.758575, -0.5194092, 20210825, 00:21:18.22933, 25.90283
0, McLaughlinCluster, study, 0, 0, study, -3.817841, -2.763336, -0.4876099, 20210825, 00:21:18.24314, 25.91686
0, McLaughlinCluster, study, 0, 0, study, -3.774384, -2.789703, -0.4729004, 20210825, 00:21:18.25716, 25.93075
0, McLaughlinCluster, study, 0, 0, study, -3.743011, -2.824188, -0.45047, 20210825, 00:21:18.27137, 25.94489
0, McLaughlinCluster, study, 0, 0, study, -3.722748, -2.855591, -0.4320374, 20210825, 00:21:18.28473, 25.95863
0, McLaughlinCluster, study, 0, 0, study, -3.729919, -2.873413, -0.4271545, 20210825, 00:21:18.29894, 25.97259
0, McLaughlinCluster, study, 0, 0, study, -3.728119, -2.876862, -0.4212341, 20210825, 00:21:18.31289, 25.98651
0, McLaughlinCluster, study, 0, 0, study, -3.741455, -2.876068, -0.4222412, 20210825, 00:21:18.32663, 26.0003
0, McLaughlinCluster, study, 0, 0, study, -3.763794, -2.849365, -0.4447327, 20210825, 00:21:18.34074, 26.01453
0, McLaughlinCluster, study, 0, 0, study, -3.771881, -2.816559, -0.4636536, 20210825, 00:21:18.35454, 26.02819
0, McLaughlinCluster, study, 0, 0, study, -3.794647, -2.787567, -0.4786072, 20210825, 00:21:18.36880, 26.04241
0, McLaughlinCluster, study, 0, 0, study, -3.831787, -2.740082, -0.4870911, 20210825, 00:21:18.38218, 26.05607
0, McLaughlinCluster, study, 0, 0, study, -3.885864, -2.709351, -0.5028992, 20210825, 00:21:18.39971, 26.07324
0, McLaughlinCluster, study, 0, 0, study, -3.905212, -2.68515, -0.486145, 20210825, 00:21:18.41028, 26.08388
0, McLaughlinCluster, study, 0, 0, study, -3.928986, -2.653198, -0.486969, 20210825, 00:21:18.42391, 26.09782
0, McLaughlinCluster, study, 0, 0, study, -3.919342, -2.616364, -0.467041, 20210825, 00:21:18.43830, 26.11182
0, McLaughlinCluster, study, 0, 0, study, -3.897552, -2.600983, -0.4447937, 20210825, 00:21:18.45215, 26.12575
0, McLaughlinCluster, study, 0, 0, study, -3.889923, -2.62262, -0.4064941, 20210825, 00:21:18.46581, 26.13965
0, McLaughlinCluster, study, 0, 0, study, -3.897919, -2.631409, -0.3848877, 20210825, 00:21:18.48012, 26.15359
0, McLaughlinCluster, study, 0, 0, study, -3.90329, -2.689514, -0.360321, 20210825, 00:21:18.49381, 26.16737
0, McLaughlinCluster, study, 0, 0, study, -3.886139, -2.709473, -0.3309021, 20210825, 00:21:18.50802, 26.1815
0, McLaughlinCluster, study, 0, 0, study, -3.872192, -2.713959, -0.3200073, 20210825, 00:21:18.52153, 26.19534
0, McLaughlinCluster, study, 0, 0, study, -3.863586, -2.684296, -0.3103027, 20210825, 00:21:18.53566, 26.20922
0, McLaughlinCluster, study, 0, 0, study, -3.868469, -2.66803, -0.3005676, 20210825, 00:21:18.54952, 26.22308
0, McLaughlinCluster, study, 0, 0, study, -3.864746, -2.632294, -0.3126221, 20210825, 00:21:18.56354, 26.23718
0, McLaughlinCluster, study, 0, 0, study, -3.877533, -2.588165, -0.313324, 20210825, 00:21:18.57752, 26.25106
0, McLaughlinCluster, study, 0, 0, study, -3.876099, -2.586334, -0.3089905, 20210825, 00:21:18.59141, 26.26502
0, McLaughlinCluster, study, 0, 0, study, -3.884064, -2.572601, -0.3070679, 20210825, 00:21:18.60507, 26.27888
0, McLaughlinCluster, study, 0, 0, study, -3.8974, -2.559418, -0.310791, 20210825, 00:21:18.61915, 26.29274
0, McLaughlinCluster, study, 0, 0, study, -3.917664, -2.546875, -0.3236084, 20210825, 00:21:18.63320, 26.3068
0, McLaughlinCluster, study, 0, 0, study, -3.916107, -2.533844, -0.3316345, 20210825, 00:21:18.64689, 26.32057
0, McLaughlinCluster, study, 0, 0, study, -3.924744, -2.519592, -0.3418274, 20210825, 00:21:18.66067, 26.33448
0, McLaughlinCluster, study, 0, 0, study, -3.988129, -2.539459, -0.3115234, 20210825, 00:21:18.67474, 26.34841
0, McLaughlinCluster, study, 0, 0, study, -4.076721, -2.558014, -0.2055969, 20210825, 00:21:18.68881, 26.3624
0, McLaughlinCluster, study, 0, 0, study, -4.098999, -2.593719, 0.0441386, 20210825, 00:21:18.70240, 26.37629
0, McLaughlinCluster, study, 0, 0, study, -4.186432, -2.570435, 0.5725609, 20210825, 00:21:18.71672, 26.39029
0, McLaughlinCluster, study, 0, 0, study, -4.323792, -2.547455, 1.241556, 20210825, 00:21:18.73079, 26.40408
0, McLaughlinCluster, study, 0, 0, study, -4.335693, -2.454254, 2.184608, 20210825, 00:21:18.74443, 26.41814
0, McLaughlinCluster, study, 0, 0, study, -4.242065, -2.30835, 3.281781, 20210825, 00:21:18.75839, 26.43197
0, McLaughlinCluster, study, 0, 0, study, -4.137207, -2.122772, 4.618644, 20210825, 00:21:18.77219, 26.44588
0, McLaughlinCluster, study, 0, 0, study, -4.054718, -1.966064, 6.139188, 20210825, 00:21:18.78592, 26.4598
0, McLaughlinCluster, study, 0, 0, study, -3.986725, -1.849762, 7.704427, 20210825, 00:21:18.80017, 26.4738
0, McLaughlinCluster, study, 0, 0, study, -3.939117, -1.758575, 9.450411, 20210825, 00:21:18.81412, 26.48766
0, McLaughlinCluster, study, 0, 0, study, -3.946747, -1.64682, 11.30169, 20210825, 00:21:18.82801, 26.5016
0, McLaughlinCluster, study, 0, 0, study, -4.006317, -1.487915, 13.20143, 20210825, 00:21:18.84192, 26.51558
0, McLaughlinCluster, study, 0, 0, study, -4.092529, -1.293488, 15.14299, 20210825, 00:21:18.85614, 26.52945
0, McLaughlinCluster, study, 0, 0, study, -4.169403, -1.122986, 17.09656, 20210825, 00:21:18.86989, 26.54343
0, McLaughlinCluster, study, 0, 0, study, -4.230499, -0.9527283, 19.05401, 20210825, 00:21:18.88350, 26.55731
